name,value,year,lastValue,rank,image,largeDate
Usain Bolt,25.000,196312,25.000,1,JAM,196312
Usain Bolt,25.000,196401,25.000,1,JAM,196312
Usain Bolt,25.000,196402,25.000,1,JAM,196312
Usain Bolt,25.000,196403,25.000,1,JAM,196312
Usain Bolt,25.000,196404,25.000,1,JAM,196312
Usain Bolt,25.000,196405,25.000,1,JAM,196312
Usain Bolt,25.000,196406,25.000,1,JAM,196312
Usain Bolt,25.000,196407,25.000,1,JAM,196312
Usain Bolt,25.000,196408,25.000,1,JAM,196312
Usain Bolt,25.000,196409,25.000,1,JAM,196312
Usain Bolt,25.000,196410,25.000,2,JAM,196312
Usain Bolt,25.000,196411,25.000,2,JAM,196312
Usain Bolt,25.000,196412,25.000,2,JAM,196312
Usain Bolt,25.000,196501,25.000,2,JAM,196312
Usain Bolt,25.000,196502,25.000,2,JAM,196312
Usain Bolt,25.000,196503,25.000,2,JAM,196312
Usain Bolt,25.000,196504,25.000,2,JAM,196312
Usain Bolt,25.000,196505,25.000,2,JAM,196312
Usain Bolt,25.000,196506,25.000,2,JAM,196312
Usain Bolt,25.000,196507,25.000,2,JAM,196312
Usain Bolt,25.000,196508,25.000,2,JAM,196312
Usain Bolt,25.000,196509,25.000,2,JAM,196312
Usain Bolt,25.000,196510,25.000,2,JAM,196312
Usain Bolt,25.000,196511,25.000,2,JAM,196312
Usain Bolt,25.000,196512,25.000,2,JAM,196312
Usain Bolt,25.000,196601,25.000,2,JAM,196312
Usain Bolt,25.000,196602,25.000,2,JAM,196312
Usain Bolt,25.000,196603,25.000,2,JAM,196312
Usain Bolt,25.000,196604,25.000,2,JAM,196312
Usain Bolt,25.000,196605,25.000,2,JAM,196312
Usain Bolt,25.000,196606,25.000,2,JAM,196312
Usain Bolt,25.000,196607,25.000,2,JAM,196312
Usain Bolt,25.000,196608,25.000,2,JAM,196312
Usain Bolt,25.000,196609,25.000,2,JAM,196312
Usain Bolt,25.000,196610,25.000,2,JAM,196312
Usain Bolt,25.000,196611,25.000,2,JAM,196312
Usain Bolt,25.000,196612,25.000,2,JAM,196312
Usain Bolt,25.000,196701,25.000,2,JAM,196312
Usain Bolt,25.000,196702,25.000,2,JAM,196312
Usain Bolt,25.000,196703,25.000,2,JAM,196312
Usain Bolt,25.000,196704,25.000,2,JAM,196312
Usain Bolt,25.000,196705,25.000,2,JAM,196312
Usain Bolt,25.000,196706,25.000,2,JAM,196312
Usain Bolt,25.000,196707,25.000,2,JAM,196312
Usain Bolt,25.000,196708,25.000,2,JAM,196312
Usain Bolt,25.000,196709,25.000,2,JAM,196312
Usain Bolt,25.000,196710,25.000,2,JAM,196312
Usain Bolt,25.000,196711,25.000,2,JAM,196312
Usain Bolt,25.000,196712,25.000,2,JAM,196312
Usain Bolt,25.000,196801,25.000,2,JAM,196312
Usain Bolt,25.000,196802,25.000,2,JAM,196312
Usain Bolt,25.000,196803,25.000,2,JAM,196312
Usain Bolt,25.000,196804,25.000,2,JAM,196312
Usain Bolt,25.000,196805,25.000,2,JAM,196312
Usain Bolt,25.000,196806,25.000,3,JAM,196312
Usain Bolt,25.000,196807,25.000,3,JAM,196312
Usain Bolt,25.000,196808,25.000,3,JAM,196312
Usain Bolt,25.000,196809,25.000,3,JAM,196312
Usain Bolt,25.000,196810,25.000,5,JAM,196312
Usain Bolt,25.000,196811,25.000,5,JAM,196312
Usain Bolt,25.000,196812,25.000,5,JAM,196312
Usain Bolt,25.000,196901,25.000,5,JAM,196312
Usain Bolt,25.000,196902,25.000,5,JAM,196312
Usain Bolt,25.000,196903,25.000,5,JAM,196312
Usain Bolt,25.000,196904,25.000,5,JAM,196312
Usain Bolt,25.000,196905,25.000,5,JAM,196312
Usain Bolt,25.000,196906,25.000,5,JAM,196312
Usain Bolt,25.000,196907,25.000,5,JAM,196312
Usain Bolt,25.000,196908,25.000,5,JAM,196312
Usain Bolt,25.000,196909,25.000,5,JAM,196312
Usain Bolt,25.000,196910,25.000,5,JAM,196312
Usain Bolt,25.000,196911,25.000,5,JAM,196312
Usain Bolt,25.000,196912,25.000,5,JAM,196312
Usain Bolt,25.000,197001,25.000,5,JAM,196312
Usain Bolt,25.000,197002,25.000,5,JAM,196312
Usain Bolt,25.000,197003,25.000,5,JAM,196312
Usain Bolt,25.000,197004,25.000,5,JAM,196312
Usain Bolt,25.000,197005,25.000,5,JAM,196312
Usain Bolt,25.000,197006,25.000,5,JAM,196312
Usain Bolt,25.000,197007,25.000,5,JAM,196312
Usain Bolt,25.000,197008,25.000,5,JAM,196312
Usain Bolt,25.000,197009,25.000,5,JAM,196312
Usain Bolt,25.000,197010,25.000,5,JAM,196312
Usain Bolt,25.000,197011,25.000,5,JAM,196312
Usain Bolt,25.000,197012,25.000,5,JAM,196312
Usain Bolt,25.000,197101,25.000,5,JAM,196312
Usain Bolt,25.000,197102,25.000,5,JAM,196312
Usain Bolt,25.000,197103,25.000,5,JAM,196312
Usain Bolt,25.000,197104,25.000,5,JAM,196312
Usain Bolt,25.000,197105,25.000,5,JAM,196312
Usain Bolt,25.000,197106,25.000,5,JAM,196312
Usain Bolt,25.000,197107,25.000,5,JAM,196312
Usain Bolt,25.000,197108,25.000,5,JAM,196312
Usain Bolt,25.000,197109,25.000,5,JAM,196312
Usain Bolt,25.000,197110,25.000,5,JAM,196312
Usain Bolt,25.000,197111,25.000,5,JAM,196312
Usain Bolt,25.000,197112,25.000,5,JAM,196312
Usain Bolt,25.000,197201,25.000,5,JAM,196312
Usain Bolt,25.000,197202,25.000,5,JAM,196312
Usain Bolt,25.000,197203,25.000,5,JAM,196312
Usain Bolt,25.000,197204,25.000,5,JAM,196312
Usain Bolt,25.000,197205,25.000,5,JAM,196312
Usain Bolt,25.000,197206,25.000,5,JAM,196312
Usain Bolt,25.000,197207,25.000,5,JAM,196312
Usain Bolt,25.000,197208,25.000,6,JAM,196312
Usain Bolt,25.000,197209,25.000,6,JAM,196312
Usain Bolt,25.000,197210,25.000,6,JAM,196312
Usain Bolt,25.000,197211,25.000,6,JAM,196312
Usain Bolt,25.000,197212,25.000,6,JAM,196312
Usain Bolt,25.000,197301,25.000,6,JAM,196312
Usain Bolt,25.000,197302,25.000,6,JAM,196312
Usain Bolt,25.000,197303,25.000,6,JAM,196312
Usain Bolt,25.000,197304,25.000,6,JAM,196312
Usain Bolt,25.000,197305,25.000,6,JAM,196312
Usain Bolt,25.000,197306,25.000,6,JAM,196312
Usain Bolt,25.000,197307,25.000,6,JAM,196312
Usain Bolt,25.000,197308,25.000,6,JAM,196312
