name,value,year,lastValue,rank,image,largeDate
Adele - 25,0.000,2016.0,0.000,0,25,
Adele - 25,0.599,2016.1,0.000,0,25,2016.1
Adele - 25,1.198,2016.2,0.599,0,25,2016.2
Adele - 25,1.797,2016.3,1.198,0,25,2016.3
Adele - 25,2.397,2016.4,1.797,0,25,2016.4
Adele - 25,2.996,2016.5,2.397,0,25,2016.5
Adele - 25,3.595,2016.6,2.996,0,25,2016.6
Adele - 25,4.194,2016.7,3.595,0,25,2016.7
Adele - 25,4.793,2016.8,4.194,0,25,2016.8
Adele - 25,5.392,2016.9,4.793,0,25,2016.9
Adele - 25,11.373,2017,5.392,0,25,2017
Adele - 25,11.837,2017.1,11.373,0,25,2017.1
Adele - 25,12.300,2017.2,11.837,0,25,2017.2
Adele - 25,12.764,2017.3,12.300,0,25,2017.3
Adele - 25,13.227,2017.4,12.764,0,25,2017.4
Adele - 25,13.691,2017.5,13.227,0,25,2017.5
Adele - 25,14.154,2017.6,13.691,0,25,2017.6
Adele - 25,14.618,2017.7,14.154,0,25,2017.7
Adele - 25,15.082,2017.8,14.618,0,25,2017.8
Adele - 25,15.545,2017.9,15.082,0,25,2017.9
Adele - 25,16.009,2018,15.545,0,25,2018
Adele - 25,16.376,2018.1,16.009,0,25,2018.1
Adele - 25,16.743,2018.2,16.376,0,25,2018.2
Adele - 25,17.111,2018.3,16.743,0,25,2018.3
Adele - 25,17.478,2018.4,17.111,0,25,2018.4
Adele - 25,17.845,2018.5,17.478,0,25,2018.5
Adele - 25,18.213,2018.6,17.845,0,25,2018.6
Adele - 25,18.580,2018.7,18.213,0,25,2018.7
Adele - 25,18.948,2018.8,18.580,0,25,2018.8
Adele - 25,19.315,2018.9,18.948,0,25,2018.9
Adele - 25,19.682,2019,19.315,0,25,2019
Adele - 25,19.914,2019.1,19.682,0,25,2019.1
Adele - 25,20.146,2019.2,19.914,0,25,2019.2
Adele - 25,20.378,2019.3,20.146,0,25,2019.3
Adele - 25,20.609,2019.4,20.378,0,25,2019.4
Adele - 25,20.841,2019.5,20.609,0,25,2019.5
Adele - 25,21.073,2019.6,20.841,0,25,2019.6
Adele - 25,21.305,2019.7,21.073,0,25,2019.7
Adele - 25,21.536,2019.8,21.305,0,25,2019.8
Adele - 25,21.768,2019.9,21.536,0,25,2019.9
Adele - 25,22.000,2020,21.768,0,25,2020
Adele - 21,0.000,2012.0,0.000,0,21,
Adele - 21,0.473,2012.1,0.000,0,21,2012.1
Adele - 21,0.945,2012.2,0.473,0,21,2012.2
Adele - 21,1.418,2012.3,0.945,0,21,2012.3
Adele - 21,1.890,2012.4,1.418,0,21,2012.4
Adele - 21,2.363,2012.5,1.890,0,21,2012.5
Adele - 21,2.835,2012.6,2.363,0,21,2012.6
Adele - 21,3.308,2012.7,2.835,0,21,2012.7
Adele - 21,3.781,2012.8,3.308,0,21,2012.8
Adele - 21,4.253,2012.9,3.781,0,21,2012.9
Adele - 21,9.235,2013,4.253,0,21,2013
Adele - 21,9.662,2013.1,9.235,0,21,2013.1
Adele - 21,10.089,2013.2,9.662,0,21,2013.2
Adele - 21,10.516,2013.3,10.089,0,21,2013.3
Adele - 21,10.942,2013.4,10.516,0,21,2013.4
Adele - 21,11.369,2013.5,10.942,0,21,2013.5
Adele - 21,11.796,2013.6,11.369,0,21,2013.6
Adele - 21,12.223,2013.7,11.796,0,21,2013.7
Adele - 21,12.650,2013.8,12.223,0,21,2013.8
Adele - 21,13.076,2013.9,12.650,0,21,2013.9
Adele - 21,13.503,2014,13.076,0,21,2014
Adele - 21,13.903,2014.1,13.503,0,21,2014.1
Adele - 21,14.302,2014.2,13.903,0,21,2014.2
Adele - 21,14.701,2014.3,14.302,0,21,2014.3
Adele - 21,15.101,2014.4,14.701,0,21,2014.4
Adele - 21,15.500,2014.5,15.101,0,21,2014.5
Adele - 21,15.899,2014.6,15.500,0,21,2014.6
Adele - 21,16.299,2014.7,15.899,0,21,2014.7
Adele - 21,16.698,2014.8,16.299,0,21,2014.8
Adele - 21,17.097,2014.9,16.698,0,21,2014.9
Adele - 21,17.497,2015,17.097,0,21,2015
Adele - 21,17.865,2015.1,17.497,0,21,2015.1
Adele - 21,18.232,2015.2,17.865,0,21,2015.2
Adele - 21,18.600,2015.3,18.232,0,21,2015.3
Adele - 21,18.968,2015.4,18.600,0,21,2015.4
Adele - 21,19.336,2015.5,18.968,0,21,2015.5
Adele - 21,19.703,2015.6,19.336,0,21,2015.6
Adele - 21,20.071,2015.7,19.703,0,21,2015.7
Adele - 21,20.439,2015.8,20.071,0,21,2015.8
Adele - 21,20.807,2015.9,20.439,0,21,2015.9
Adele - 21,21.174,2016,20.807,0,21,2016
Adele - 21,21.505,2016.1,21.174,0,21,2016.1
Adele - 21,21.835,2016.2,21.505,0,21,2016.2
Adele - 21,22.165,2016.3,21.835,0,21,2016.3
Adele - 21,22.496,2016.4,22.165,0,21,2016.4
Adele - 21,22.826,2016.5,22.496,0,21,2016.5
Adele - 21,23.156,2016.6,22.826,0,21,2016.6
Adele - 21,23.486,2016.7,23.156,0,21,2016.7
Adele - 21,23.817,2016.8,23.486,0,21,2016.8
Adele - 21,24.147,2016.9,23.817,0,21,2016.9
Adele - 21,24.477,2017,24.147,0,21,2017
Adele - 21,24.762,2017.1,24.477,0,21,2017.1
Adele - 21,25.046,2017.2,24.762,0,21,2017.2
Adele - 21,25.331,2017.3,25.046,0,21,2017.3
Adele - 21,25.616,2017.4,25.331,0,21,2017.4
Adele - 21,25.900,2017.5,25.616,0,21,2017.5
Adele - 21,26.185,2017.6,25.900,0,21,2017.6
Adele - 21,26.469,2017.7,26.185,0,21,2017.7
Adele - 21,26.754,2017.8,26.469,0,21,2017.8
Adele - 21,27.038,2017.9,26.754,0,21,2017.9
Adele - 21,27.323,2018,27.038,0,21,2018
Adele - 21,27.548,2018.1,27.323,0,21,2018.1
Adele - 21,27.774,2018.2,27.548,0,21,2018.2
Adele - 21,27.999,2018.3,27.774,0,21,2018.3
Adele - 21,28.225,2018.4,27.999,0,21,2018.4
Adele - 21,28.450,2018.5,28.225,0,21,2018.5
Adele - 21,28.675,2018.6,28.450,0,21,2018.6
Adele - 21,28.901,2018.7,28.675,0,21,2018.7
Adele - 21,29.126,2018.8,28.901,0,21,2018.8
Adele - 21,29.352,2018.9,29.126,0,21,2018.9
Adele - 21,29.577,2019,29.352,0,21,2019
Adele - 21,29.720,2019.1,29.577,0,21,2019.1
Adele - 21,29.862,2019.2,29.720,0,21,2019.2
Adele - 21,30.004,2019.3,29.862,0,21,2019.3
Adele - 21,30.146,2019.4,30.004,0,21,2019.4
Adele - 21,30.289,2019.5,30.146,0,21,2019.5
Adele - 21,30.431,2019.6,30.289,0,21,2019.6
Adele - 21,30.573,2019.7,30.431,0,21,2019.7
Adele - 21,30.715,2019.8,30.573,0,21,2019.8
Adele - 21,30.858,2019.9,30.715,0,21,2019.9
Adele - 21,31.000,2020,30.858,0,21,2020
Eminem - The Eminem Show,0.000,2003.0,0.000,0,The Eminem Show,
Eminem - The Eminem Show,0.202,2003.1,0.000,0,The Eminem Show,2003.1
Eminem - The Eminem Show,0.404,2003.2,0.202,0,The Eminem Show,2003.2
Eminem - The Eminem Show,0.606,2003.3,0.404,0,The Eminem Show,2003.3
Eminem - The Eminem Show,0.808,2003.4,0.606,0,The Eminem Show,2003.4
Eminem - The Eminem Show,1.010,2003.5,0.808,0,The Eminem Show,2003.5
Eminem - The Eminem Show,1.213,2003.6,1.010,0,The Eminem Show,2003.6
Eminem - The Eminem Show,1.415,2003.7,1.213,0,The Eminem Show,2003.7
Eminem - The Eminem Show,1.617,2003.8,1.415,0,The Eminem Show,2003.8
Eminem - The Eminem Show,1.819,2003.9,1.617,0,The Eminem Show,2003.9
Eminem - The Eminem Show,4.005,2004,1.819,0,The Eminem Show,2004
Eminem - The Eminem Show,4.199,2004.1,4.005,0,The Eminem Show,2004.1
Eminem - The Eminem Show,4.393,2004.2,4.199,0,The Eminem Show,2004.2
Eminem - The Eminem Show,4.588,2004.3,4.393,0,The Eminem Show,2004.3
Eminem - The Eminem Show,4.782,2004.4,4.588,0,The Eminem Show,2004.4
Eminem - The Eminem Show,4.977,2004.5,4.782,0,The Eminem Show,2004.5
Eminem - The Eminem Show,5.171,2004.6,4.977,0,The Eminem Show,2004.6
Eminem - The Eminem Show,5.366,2004.7,5.171,0,The Eminem Show,2004.7
Eminem - The Eminem Show,5.560,2004.8,5.366,0,The Eminem Show,2004.8
Eminem - The Eminem Show,5.755,2004.9,5.560,0,The Eminem Show,2004.9
Eminem - The Eminem Show,5.949,2005,5.755,0,The Eminem Show,2005
Eminem - The Eminem Show,6.139,2005.1,5.949,0,The Eminem Show,2005.1
Eminem - The Eminem Show,6.330,2005.2,6.139,0,The Eminem Show,2005.2
Eminem - The Eminem Show,6.520,2005.3,6.330,0,The Eminem Show,2005.3
Eminem - The Eminem Show,6.710,2005.4,6.520,0,The Eminem Show,2005.4
Eminem - The Eminem Show,6.901,2005.5,6.710,0,The Eminem Show,2005.5
Eminem - The Eminem Show,7.091,2005.6,6.901,0,The Eminem Show,2005.6
Eminem - The Eminem Show,7.281,2005.7,7.091,0,The Eminem Show,2005.7
Eminem - The Eminem Show,7.471,2005.8,7.281,0,The Eminem Show,2005.8
Eminem - The Eminem Show,7.662,2005.9,7.471,0,The Eminem Show,2005.9
Eminem - The Eminem Show,7.852,2006,7.662,0,The Eminem Show,2006
Eminem - The Eminem Show,8.038,2006.1,7.852,0,The Eminem Show,2006.1
Eminem - The Eminem Show,8.224,2006.2,8.038,0,The Eminem Show,2006.2
Eminem - The Eminem Show,8.410,2006.3,8.224,0,The Eminem Show,2006.3
Eminem - The Eminem Show,8.595,2006.4,8.410,0,The Eminem Show,2006.4
Eminem - The Eminem Show,8.781,2006.5,8.595,0,The Eminem Show,2006.5
Eminem - The Eminem Show,8.967,2006.6,8.781,0,The Eminem Show,2006.6
Eminem - The Eminem Show,9.153,2006.7,8.967,0,The Eminem Show,2006.7
Eminem - The Eminem Show,9.339,2006.8,9.153,0,The Eminem Show,2006.8
Eminem - The Eminem Show,9.525,2006.9,9.339,0,The Eminem Show,2006.9
Eminem - The Eminem Show,9.711,2007,9.525,0,The Eminem Show,2007
Eminem - The Eminem Show,9.892,2007.1,9.711,0,The Eminem Show,2007.1
Eminem - The Eminem Show,10.073,2007.2,9.892,0,The Eminem Show,2007.2
Eminem - The Eminem Show,10.254,2007.3,10.073,0,The Eminem Show,2007.3
Eminem - The Eminem Show,10.435,2007.4,10.254,0,The Eminem Show,2007.4
Eminem - The Eminem Show,10.616,2007.5,10.435,0,The Eminem Show,2007.5
Eminem - The Eminem Show,10.797,2007.6,10.616,0,The Eminem Show,2007.6
Eminem - The Eminem Show,10.978,2007.7,10.797,0,The Eminem Show,2007.7
Eminem - The Eminem Show,11.160,2007.8,10.978,0,The Eminem Show,2007.8
Eminem - The Eminem Show,11.341,2007.9,11.160,0,The Eminem Show,2007.9
Eminem - The Eminem Show,11.522,2008,11.341,0,The Eminem Show,2008
Eminem - The Eminem Show,11.698,2008.1,11.522,0,The Eminem Show,2008.1
Eminem - The Eminem Show,11.874,2008.2,11.698,0,The Eminem Show,2008.2
Eminem - The Eminem Show,12.050,2008.3,11.874,0,The Eminem Show,2008.3
Eminem - The Eminem Show,12.226,2008.4,12.050,0,The Eminem Show,2008.4
Eminem - The Eminem Show,12.402,2008.5,12.226,0,The Eminem Show,2008.5
Eminem - The Eminem Show,12.578,2008.6,12.402,0,The Eminem Show,2008.6
Eminem - The Eminem Show,12.754,2008.7,12.578,0,The Eminem Show,2008.7
Eminem - The Eminem Show,12.930,2008.8,12.754,0,The Eminem Show,2008.8
Eminem - The Eminem Show,13.106,2008.9,12.930,0,The Eminem Show,2008.9
Eminem - The Eminem Show,13.282,2009,13.106,0,The Eminem Show,2009
Eminem - The Eminem Show,13.453,2009.1,13.282,0,The Eminem Show,2009.1
Eminem - The Eminem Show,13.623,2009.2,13.453,0,The Eminem Show,2009.2
Eminem - The Eminem Show,13.794,2009.3,13.623,0,The Eminem Show,2009.3
Eminem - The Eminem Show,13.964,2009.4,13.794,0,The Eminem Show,2009.4
Eminem - The Eminem Show,14.135,2009.5,13.964,0,The Eminem Show,2009.5
Eminem - The Eminem Show,14.306,2009.6,14.135,0,The Eminem Show,2009.6
Eminem - The Eminem Show,14.476,2009.7,14.306,0,The Eminem Show,2009.7
Eminem - The Eminem Show,14.647,2009.8,14.476,0,The Eminem Show,2009.8
Eminem - The Eminem Show,14.817,2009.9,14.647,0,The Eminem Show,2009.9
Eminem - The Eminem Show,14.988,2010,14.817,0,The Eminem Show,2010
Eminem - The Eminem Show,15.152,2010.1,14.988,0,The Eminem Show,2010.1
Eminem - The Eminem Show,15.317,2010.2,15.152,0,The Eminem Show,2010.2
Eminem - The Eminem Show,15.481,2010.3,15.317,0,The Eminem Show,2010.3
Eminem - The Eminem Show,15.646,2010.4,15.481,0,The Eminem Show,2010.4
Eminem - The Eminem Show,15.811,2010.5,15.646,0,The Eminem Show,2010.5
Eminem - The Eminem Show,15.975,2010.6,15.811,0,The Eminem Show,2010.6
Eminem - The Eminem Show,16.140,2010.7,15.975,0,The Eminem Show,2010.7
Eminem - The Eminem Show,16.304,2010.8,16.140,0,The Eminem Show,2010.8
Eminem - The Eminem Show,16.469,2010.9,16.304,0,The Eminem Show,2010.9
Eminem - The Eminem Show,16.633,2011,16.469,0,The Eminem Show,2011
Eminem - The Eminem Show,16.791,2011.1,16.633,0,The Eminem Show,2011.1
Eminem - The Eminem Show,16.950,2011.2,16.791,0,The Eminem Show,2011.2
Eminem - The Eminem Show,17.108,2011.3,16.950,0,The Eminem Show,2011.3
Eminem - The Eminem Show,17.266,2011.4,17.108,0,The Eminem Show,2011.4
Eminem - The Eminem Show,17.424,2011.5,17.266,0,The Eminem Show,2011.5
Eminem - The Eminem Show,17.582,2011.6,17.424,0,The Eminem Show,2011.6
Eminem - The Eminem Show,17.740,2011.7,17.582,0,The Eminem Show,2011.7
Eminem - The Eminem Show,17.898,2011.8,17.740,0,The Eminem Show,2011.8
Eminem - The Eminem Show,18.056,2011.9,17.898,0,The Eminem Show,2011.9
