name,value,year,lastValue,rank,image,largeDate
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0,1944,0,0,Oklahoma(78rpmalbum),
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.014,1944.1,0,0,Oklahoma(78rpmalbum),1944.1
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.029,1944.2,0.014,0,Oklahoma(78rpmalbum),1944.2
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.043,1944.3,0.029,0,Oklahoma(78rpmalbum),1944.3
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.057,1944.4,0.043,0,Oklahoma(78rpmalbum),1944.4
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.071,1944.5,0.057,0,Oklahoma(78rpmalbum),1944.5
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.086,1944.6,0.071,0,Oklahoma(78rpmalbum),1944.6
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.1,1944.7,0.086,0,Oklahoma(78rpmalbum),1944.7
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.114,1944.8,0.1,0,Oklahoma(78rpmalbum),1944.8
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.129,1944.9,0.114,0,Oklahoma(78rpmalbum),1944.9
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.143,1945,0.129,0,Oklahoma(78rpmalbum),1945
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.157,1945.1,0.143,0,Oklahoma(78rpmalbum),1945.1
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.171,1945.2,0.157,0,Oklahoma(78rpmalbum),1945.2
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.186,1945.3,0.171,0,Oklahoma(78rpmalbum),1945.3
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.2,1945.4,0.186,0,Oklahoma(78rpmalbum),1945.4
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.214,1945.5,0.2,0,Oklahoma(78rpmalbum),1945.5
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.229,1945.6,0.214,0,Oklahoma(78rpmalbum),1945.6
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.243,1945.7,0.229,0,Oklahoma(78rpmalbum),1945.7
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.257,1945.8,0.243,0,Oklahoma(78rpmalbum),1945.8
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.271,1945.9,0.257,0,Oklahoma(78rpmalbum),1945.9
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.286,1946,0.271,0,Oklahoma(78rpmalbum),1946
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.3,1946.1,0.286,0,Oklahoma(78rpmalbum),1946.1
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.314,1946.2,0.3,0,Oklahoma(78rpmalbum),1946.2
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.329,1946.3,0.314,0,Oklahoma(78rpmalbum),1946.3
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.343,1946.4,0.329,0,Oklahoma(78rpmalbum),1946.4
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.357,1946.5,0.343,0,Oklahoma(78rpmalbum),1946.5
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.371,1946.6,0.357,0,Oklahoma(78rpmalbum),1946.6
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.386,1946.7,0.371,0,Oklahoma(78rpmalbum),1946.7
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.4,1946.8,0.386,0,Oklahoma(78rpmalbum),1946.8
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.414,1946.9,0.4,0,Oklahoma(78rpmalbum),1946.9
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.429,1947,0.414,0,Oklahoma(78rpmalbum),1947
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.443,1947.1,0.429,0,Oklahoma(78rpmalbum),1947.1
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.457,1947.2,0.443,0,Oklahoma(78rpmalbum),1947.2
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.471,1947.3,0.457,0,Oklahoma(78rpmalbum),1947.3
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.486,1947.4,0.471,0,Oklahoma(78rpmalbum),1947.4
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.5,1947.5,0.486,0,Oklahoma(78rpmalbum),1947.5
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.514,1947.6,0.5,0,Oklahoma(78rpmalbum),1947.6
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.529,1947.7,0.514,0,Oklahoma(78rpmalbum),1947.7
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.543,1947.8,0.529,0,Oklahoma(78rpmalbum),1947.8
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.557,1947.9,0.543,0,Oklahoma(78rpmalbum),1947.9
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.571,1948,0.557,0,Oklahoma(78rpmalbum),1948
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.586,1948.1,0.571,0,Oklahoma(78rpmalbum),1948.1
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.6,1948.2,0.586,0,Oklahoma(78rpmalbum),1948.2
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.614,1948.3,0.6,0,Oklahoma(78rpmalbum),1948.3
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.629,1948.4,0.614,0,Oklahoma(78rpmalbum),1948.4
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.643,1948.5,0.629,0,Oklahoma(78rpmalbum),1948.5
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.657,1948.6,0.643,0,Oklahoma(78rpmalbum),1948.6
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.671,1948.7,0.657,0,Oklahoma(78rpmalbum),1948.7
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.686,1948.8,0.671,0,Oklahoma(78rpmalbum),1948.8
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.7,1948.9,0.686,0,Oklahoma(78rpmalbum),1948.9
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.714,1949,0.7,0,Oklahoma(78rpmalbum),1949
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.729,1949.1,0.714,0,Oklahoma(78rpmalbum),1949.1
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.743,1949.2,0.729,0,Oklahoma(78rpmalbum),1949.2
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.757,1949.3,0.743,0,Oklahoma(78rpmalbum),1949.3
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.771,1949.4,0.757,0,Oklahoma(78rpmalbum),1949.4
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.786,1949.5,0.771,0,Oklahoma(78rpmalbum),1949.5
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.8,1949.6,0.786,0,Oklahoma(78rpmalbum),1949.6
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.814,1949.7,0.8,0,Oklahoma(78rpmalbum),1949.7
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.829,1949.8,0.814,0,Oklahoma(78rpmalbum),1949.8
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.843,1949.9,0.829,0,Oklahoma(78rpmalbum),1949.9
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.857,1950,0.843,0,Oklahoma(78rpmalbum),1950
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.871,1950.1,0.857,0,Oklahoma(78rpmalbum),1950.1
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.886,1950.2,0.871,0,Oklahoma(78rpmalbum),1950.2
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.9,1950.3,0.886,0,Oklahoma(78rpmalbum),1950.3
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.914,1950.4,0.9,0,Oklahoma(78rpmalbum),1950.4
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.929,1950.5,0.914,0,Oklahoma(78rpmalbum),1950.5
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.943,1950.6,0.929,0,Oklahoma(78rpmalbum),1950.6
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.957,1950.7,0.943,0,Oklahoma(78rpmalbum),1950.7
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.971,1950.8,0.957,0,Oklahoma(78rpmalbum),1950.8
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),0.986,1950.9,0.971,0,Oklahoma(78rpmalbum),1950.9
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),1,1951,0.986,0,Oklahoma(78rpmalbum),1951
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),1,1951.1,1,0,Oklahoma(78rpmalbum),1951
Various Artists - Oklahoma!ﾠ(78ﾠrpm album),1,1951.2,1,0,Oklahoma(78rpmalbum),1951
