name,value,year,lastValue,rank,image,largeDate
Michael Jackson - Thriller,0,1983,0,0,Thriller,
Michael Jackson - Thriller,0.88,1983.1,0,0,Thriller,1983.1
Michael Jackson - Thriller,1.76,1983.2,0.88,0,Thriller,1983.2
Michael Jackson - Thriller,2.64,1983.3,1.76,0,Thriller,1983.3
Michael Jackson - Thriller,3.52,1983.4,2.64,0,Thriller,1983.4
Michael Jackson - Thriller,4.4,1983.5,3.52,0,Thriller,1983.5
Michael Jackson - Thriller,5.28,1983.6,4.4,0,Thriller,1983.6
Michael Jackson - Thriller,6.16,1983.7,5.28,0,Thriller,1983.7
Michael Jackson - Thriller,7.04,1983.8,6.16,0,Thriller,1983.8
Michael Jackson - Thriller,7.92,1983.9,7.04,0,Thriller,1983.9
Michael Jackson - Thriller,17.6,1984,7.92,0,Thriller,1984
Michael Jackson - Thriller,18.48,1984.1,17.6,0,Thriller,1984.1
Michael Jackson - Thriller,19.36,1984.2,18.48,0,Thriller,1984.2
Michael Jackson - Thriller,20.24,1984.3,19.36,0,Thriller,1984.3
Michael Jackson - Thriller,21.12,1984.4,20.24,0,Thriller,1984.4
Michael Jackson - Thriller,22,1984.5,21.12,0,Thriller,1984.5
Michael Jackson - Thriller,22.88,1984.6,22,0,Thriller,1984.6
Michael Jackson - Thriller,23.76,1984.7,22.88,0,Thriller,1984.7
Michael Jackson - Thriller,24.64,1984.8,23.76,0,Thriller,1984.8
Michael Jackson - Thriller,25.52,1984.9,24.64,0,Thriller,1984.9
Michael Jackson - Thriller,26.4,1985,25.52,0,Thriller,1985
Michael Jackson - Thriller,27.28,1985.1,26.4,0,Thriller,1985.1
Michael Jackson - Thriller,28.16,1985.2,27.28,0,Thriller,1985.2
Michael Jackson - Thriller,29.04,1985.3,28.16,0,Thriller,1985.3
Michael Jackson - Thriller,29.92,1985.4,29.04,0,Thriller,1985.4
Michael Jackson - Thriller,30.8,1985.5,29.92,0,Thriller,1985.5
Michael Jackson - Thriller,31.68,1985.6,30.8,0,Thriller,1985.6
Michael Jackson - Thriller,32.56,1985.7,31.68,0,Thriller,1985.7
Michael Jackson - Thriller,33.44,1985.8,32.56,0,Thriller,1985.8
Michael Jackson - Thriller,34.32,1985.9,33.44,0,Thriller,1985.9
Michael Jackson - Thriller,35.2,1986,34.32,0,Thriller,1986
Michael Jackson - Thriller,36.08,1986.1,35.2,0,Thriller,1986.1
Michael Jackson - Thriller,36.96,1986.2,36.08,0,Thriller,1986.2
Michael Jackson - Thriller,37.84,1986.3,36.96,0,Thriller,1986.3
Michael Jackson - Thriller,38.72,1986.4,37.84,0,Thriller,1986.4
Michael Jackson - Thriller,39.6,1986.5,38.72,0,Thriller,1986.5
Michael Jackson - Thriller,40.48,1986.6,39.6,0,Thriller,1986.6
Michael Jackson - Thriller,41.36,1986.7,40.48,0,Thriller,1986.7
Michael Jackson - Thriller,42.24,1986.8,41.36,0,Thriller,1986.8
Michael Jackson - Thriller,43.12,1986.9,42.24,0,Thriller,1986.9
Michael Jackson - Thriller,44,1987,43.12,0,Thriller,1987
Michael Jackson - Thriller,44.88,1987.1,44,0,Thriller,1987.1
Michael Jackson - Thriller,45.76,1987.2,44.88,0,Thriller,1987.2
Michael Jackson - Thriller,46.64,1987.3,45.76,0,Thriller,1987.3
Michael Jackson - Thriller,47.52,1987.4,46.64,0,Thriller,1987.4
Michael Jackson - Thriller,48.4,1987.5,47.52,0,Thriller,1987.5
Michael Jackson - Thriller,49.28,1987.6,48.4,0,Thriller,1987.6
Michael Jackson - Thriller,50.16,1987.7,49.28,0,Thriller,1987.7
Michael Jackson - Thriller,51.04,1987.8,50.16,0,Thriller,1987.8
