name,value,year,lastValue,rank,image,largeDate
Frank Sinatra,0,1939,0,0,Frank Sinatra,
Frank Sinatra,1,1939.1,0,0,Frank Sinatra,1939.1
Frank Sinatra,2,1939.2,1,0,Frank Sinatra,1939.2
Frank Sinatra,3,1939.3,2,0,Frank Sinatra,1939.3
Frank Sinatra,4,1939.4,3,0,Frank Sinatra,1939.4
Frank Sinatra,5,1939.5,4,0,Frank Sinatra,1939.5
Frank Sinatra,6,1939.6,5,0,Frank Sinatra,1939.6
Frank Sinatra,7,1939.7,6,0,Frank Sinatra,1939.7
Frank Sinatra,8,1939.8,7,0,Frank Sinatra,1939.8
Frank Sinatra,9,1939.9,8,0,Frank Sinatra,1939.9
Frank Sinatra,10,1940,9,0,Frank Sinatra,1940
Frank Sinatra,11,1940.1,10,0,Frank Sinatra,1940.1
Frank Sinatra,12,1940.2,11,0,Frank Sinatra,1940.2
Frank Sinatra,13,1940.3,12,0,Frank Sinatra,1940.3
Frank Sinatra,14,1940.4,13,0,Frank Sinatra,1940.4
Frank Sinatra,15,1940.5,14,0,Frank Sinatra,1940.5
Frank Sinatra,16,1940.6,15,0,Frank Sinatra,1940.6
Frank Sinatra,17,1940.7,16,0,Frank Sinatra,1940.7
Frank Sinatra,18,1940.8,17,0,Frank Sinatra,1940.8
Frank Sinatra,19,1940.9,18,0,Frank Sinatra,1940.9
Frank Sinatra,20,1941,19,0,Frank Sinatra,1941
Frank Sinatra,21,1941.1,20,0,Frank Sinatra,1941.1
Frank Sinatra,22,1941.2,21,0,Frank Sinatra,1941.2
Frank Sinatra,23,1941.3,22,0,Frank Sinatra,1941.3
Frank Sinatra,24,1941.4,23,0,Frank Sinatra,1941.4
Frank Sinatra,25,1941.5,24,0,Frank Sinatra,1941.5
Frank Sinatra,26,1941.6,25,0,Frank Sinatra,1941.6
Frank Sinatra,27,1941.7,26,0,Frank Sinatra,1941.7
Frank Sinatra,28,1941.8,27,0,Frank Sinatra,1941.8
Frank Sinatra,29,1941.9,28,0,Frank Sinatra,1941.9
Frank Sinatra,30,1942,29,0,Frank Sinatra,1942
Frank Sinatra,31,1942.1,30,0,Frank Sinatra,1942.1
Frank Sinatra,32,1942.2,31,0,Frank Sinatra,1942.2
Frank Sinatra,33,1942.3,32,0,Frank Sinatra,1942.3
Frank Sinatra,34,1942.4,33,0,Frank Sinatra,1942.4
Frank Sinatra,35,1942.5,34,0,Frank Sinatra,1942.5
Frank Sinatra,36,1942.6,35,0,Frank Sinatra,1942.6
Frank Sinatra,37,1942.7,36,0,Frank Sinatra,1942.7
Frank Sinatra,38,1942.8,37,0,Frank Sinatra,1942.8
