name,value,year,lastValue,rank,image,largeDate
The Lord of the Rings,150.000,1954,150.000,0,The Lord of the Rings,1954
The Lord of the Rings,2.273,1954,150.000,0,The Lord of the Rings,1954
The Lord of the Rings,4.545,1955,2.273,0,The Lord of the Rings,1954
The Lord of the Rings,6.818,1956,4.545,0,The Lord of the Rings,1954
The Lord of the Rings,9.091,1957,6.818,0,The Lord of the Rings,1954
The Lord of the Rings,11.364,1958,9.091,0,The Lord of the Rings,1954
The Lord of the Rings,13.636,1959,11.364,0,The Lord of the Rings,1954
The Lord of the Rings,15.909,1960,13.636,0,The Lord of the Rings,1954
The Lord of the Rings,18.182,1961,15.909,0,The Lord of the Rings,1954
The Lord of the Rings,20.455,1962,18.182,0,The Lord of the Rings,1954
The Lord of the Rings,22.727,1963,20.455,0,The Lord of the Rings,1954
The Lord of the Rings,25.000,1964,22.727,0,The Lord of the Rings,1954
The Lord of the Rings,27.273,1965,25.000,0,The Lord of the Rings,1954
The Lord of the Rings,29.545,1966,27.273,0,The Lord of the Rings,1954
The Lord of the Rings,31.818,1967,29.545,0,The Lord of the Rings,1954
The Lord of the Rings,34.091,1968,31.818,0,The Lord of the Rings,1954
The Lord of the Rings,36.364,1969,34.091,0,The Lord of the Rings,1954
The Lord of the Rings,38.636,1970,36.364,0,The Lord of the Rings,1954
The Lord of the Rings,40.909,1971,38.636,0,The Lord of the Rings,1954
The Lord of the Rings,43.182,1972,40.909,0,The Lord of the Rings,1954
The Lord of the Rings,45.455,1973,43.182,0,The Lord of the Rings,1954
The Lord of the Rings,47.727,1974,45.455,0,The Lord of the Rings,1954
The Lord of the Rings,50.000,1975,47.727,0,The Lord of the Rings,1954
The Lord of the Rings,52.273,1976,50.000,0,The Lord of the Rings,1954
The Lord of the Rings,54.545,1977,52.273,0,The Lord of the Rings,1954
The Lord of the Rings,56.818,1978,54.545,0,The Lord of the Rings,1954
The Lord of the Rings,59.091,1979,56.818,0,The Lord of the Rings,1954
The Lord of the Rings,61.364,1980,59.091,0,The Lord of the Rings,1954
The Lord of the Rings,63.636,1981,61.364,0,The Lord of the Rings,1954
The Lord of the Rings,65.909,1982,63.636,0,The Lord of the Rings,1954
