name,value,year,lastValue,rank,image,largeDate
Frozen,3195569.085,2015,3195569.085,0,Frozen,2015
Frozen,3489811.405,2015.1,3195569.085,0,Frozen,2015.1
Frozen,3784053.725,2015.2,3489811.405,0,Frozen,2015.2
Frozen,4078296.044,2015.3,3784053.725,0,Frozen,2015.3
Frozen,4372538.364,2015.4,4078296.044,0,Frozen,2015.4
Frozen,4666780.684,2015.5,4372538.364,0,Frozen,2015.5
Frozen,4961023.004,2015.6,4666780.684,0,Frozen,2015.6
Frozen,5255265.324,2015.7,4961023.004,0,Frozen,2015.7
Frozen,5549507.644,2015.8,5255265.324,0,Frozen,2015.8
Frozen,5843749.964,2015.9,5549507.644,0,Frozen,2015.9
Frozen,6137992.284,2016,5843749.964,0,Frozen,2016
Frozen,6402293.801,2016.1,6137992.284,0,Frozen,2016.1
Frozen,6666595.318,2016.2,6402293.801,0,Frozen,2016.2
Frozen,6930896.834,2016.3,6666595.318,0,Frozen,2016.3
Frozen,7195198.351,2016.4,6930896.834,0,Frozen,2016.4
Frozen,7459499.867,2016.5,7195198.351,0,Frozen,2016.5
Frozen,7723801.384,2016.6,7459499.867,0,Frozen,2016.6
Frozen,7988102.901,2016.7,7723801.384,0,Frozen,2016.7
Frozen,8252404.417,2016.8,7988102.901,0,Frozen,2016.8
Frozen,8516705.934,2016.9,8252404.417,0,Frozen,2016.9
Frozen,8781007.451,2017,8516705.934,0,Frozen,2017
Frozen,9008664.386,2017.1,8781007.451,0,Frozen,2017.1
Frozen,9236321.321,2017.2,9008664.386,0,Frozen,2017.2
Frozen,9463978.256,2017.3,9236321.321,0,Frozen,2017.3
Frozen,9691635.191,2017.4,9463978.256,0,Frozen,2017.4
Frozen,9919292.126,2017.5,9691635.191,0,Frozen,2017.5
Frozen,10146949.061,2017.6,9919292.126,0,Frozen,2017.6
Frozen,10374605.995,2017.7,10146949.061,0,Frozen,2017.7
Frozen,10602262.930,2017.8,10374605.995,0,Frozen,2017.8
Frozen,10829919.865,2017.9,10602262.930,0,Frozen,2017.9
Frozen,11057576.800,2018,10829919.865,0,Frozen,2018
Frozen,11237990.653,2018.1,11057576.800,0,Frozen,2018.1
Frozen,11418404.505,2018.2,11237990.653,0,Frozen,2018.2
Frozen,11598818.358,2018.3,11418404.505,0,Frozen,2018.3
Frozen,11779232.210,2018.4,11598818.358,0,Frozen,2018.4
Frozen,11959646.063,2018.5,11779232.210,0,Frozen,2018.5
Frozen,12140059.915,2018.6,11959646.063,0,Frozen,2018.6
Frozen,12320473.768,2018.7,12140059.915,0,Frozen,2018.7
Frozen,12500887.620,2018.8,12320473.768,0,Frozen,2018.8
Frozen,12681301.473,2018.9,12500887.620,0,Frozen,2018.9
Frozen,12861715.325,2019,12681301.473,0,Frozen,2019
Frozen,12975543.793,2019.1,12861715.325,0,Frozen,2019.1
Frozen,13089372.260,2019.2,12975543.793,0,Frozen,2019.2
Frozen,13203200.728,2019.3,13089372.260,0,Frozen,2019.3
Frozen,13317029.195,2019.4,13203200.728,0,Frozen,2019.4
Frozen,13430857.663,2019.5,13317029.195,0,Frozen,2019.5
Frozen,13544686.130,2019.6,13430857.663,0,Frozen,2019.6
Frozen,13658514.598,2019.7,13544686.130,0,Frozen,2019.7
Frozen,13772343.065,2019.8,13658514.598,0,Frozen,2019.8
Frozen,13886171.533,2019.9,13772343.065,0,Frozen,2019.9
Frozen,14000000.000,2020,13886171.533,0,Frozen,2020
Avatar,2603085.866,2011,2603085.866,0,Avatar,2011
Avatar,2853047.855,2011.1,2603085.866,0,Avatar,2011.1
Avatar,3103009.844,2011.2,2853047.855,0,Avatar,2011.2
Avatar,3352971.833,2011.3,3103009.844,0,Avatar,2011.3
Avatar,3602933.821,2011.4,3352971.833,0,Avatar,2011.4
Avatar,3852895.810,2011.5,3602933.821,0,Avatar,2011.5
Avatar,4102857.799,2011.6,3852895.810,0,Avatar,2011.6
Avatar,4352819.788,2011.7,4102857.799,0,Avatar,2011.7
Avatar,4602781.776,2011.8,4352819.788,0,Avatar,2011.8
