name,value,year,lastValue,rank,image,largeDate
Finding Nemo,0.000,2003,0.000,0,Finding Nemo,
Finding Nemo,388000.000,2003.1,0.000,0,Finding Nemo,2003.1
Finding Nemo,776000.000,2003.2,388000.000,0,Finding Nemo,2003.2
Finding Nemo,1164000.000,2003.3,776000.000,0,Finding Nemo,2003.3
Finding Nemo,1552000.000,2003.4,1164000.000,0,Finding Nemo,2003.4
Finding Nemo,1940000.000,2003.5,1552000.000,0,Finding Nemo,2003.5
Finding Nemo,2328000.000,2003.6,1940000.000,0,Finding Nemo,2003.6
Finding Nemo,2716000.000,2003.7,2328000.000,0,Finding Nemo,2003.7
Finding Nemo,3104000.000,2003.8,2716000.000,0,Finding Nemo,2003.8
Finding Nemo,3492000.000,2003.9,3104000.000,0,Finding Nemo,2003.9
Finding Nemo,3880000.000,2004,3492000.000,0,Finding Nemo,2004
Finding Nemo,4268000.000,2004.1,3880000.000,0,Finding Nemo,2004.1
Finding Nemo,4656000.000,2004.2,4268000.000,0,Finding Nemo,2004.2
Finding Nemo,5044000.000,2004.3,4656000.000,0,Finding Nemo,2004.3
Finding Nemo,5432000.000,2004.4,5044000.000,0,Finding Nemo,2004.4
Finding Nemo,5820000.000,2004.5,5432000.000,0,Finding Nemo,2004.5
Finding Nemo,6208000.000,2004.6,5820000.000,0,Finding Nemo,2004.6
Finding Nemo,6596000.000,2004.7,6208000.000,0,Finding Nemo,2004.7
Finding Nemo,6984000.000,2004.8,6596000.000,0,Finding Nemo,2004.8
Finding Nemo,7372000.000,2004.9,6984000.000,0,Finding Nemo,2004.9
Finding Nemo,7760000.000,2005,7372000.000,0,Finding Nemo,2005
Finding Nemo,8148000.000,2005.1,7760000.000,0,Finding Nemo,2005.1
Finding Nemo,8536000.000,2005.2,8148000.000,0,Finding Nemo,2005.2
Finding Nemo,8924000.000,2005.3,8536000.000,0,Finding Nemo,2005.3
Finding Nemo,9312000.000,2005.4,8924000.000,0,Finding Nemo,2005.4
Finding Nemo,9700000.000,2005.5,9312000.000,0,Finding Nemo,2005.5
Finding Nemo,10088000.000,2005.6,9700000.000,0,Finding Nemo,2005.6
Finding Nemo,10476000.000,2005.7,10088000.000,0,Finding Nemo,2005.7
Finding Nemo,10864000.000,2005.8,10476000.000,0,Finding Nemo,2005.8
Finding Nemo,11252000.000,2005.9,10864000.000,0,Finding Nemo,2005.9
Finding Nemo,11640000.000,2006,11252000.000,0,Finding Nemo,2006
Finding Nemo,12028000.000,2006.1,11640000.000,0,Finding Nemo,2006.1
Finding Nemo,12416000.000,2006.2,12028000.000,0,Finding Nemo,2006.2
Finding Nemo,12804000.000,2006.3,12416000.000,0,Finding Nemo,2006.3
Finding Nemo,13192000.000,2006.4,12804000.000,0,Finding Nemo,2006.4
Finding Nemo,13580000.000,2006.5,13192000.000,0,Finding Nemo,2006.5
Finding Nemo,13968000.000,2006.6,13580000.000,0,Finding Nemo,2006.6
Finding Nemo,14356000.000,2006.7,13968000.000,0,Finding Nemo,2006.7
Finding Nemo,14744000.000,2006.8,14356000.000,0,Finding Nemo,2006.8
Finding Nemo,15132000.000,2006.9,14744000.000,0,Finding Nemo,2006.9
Finding Nemo,15520000.000,2007,15132000.000,0,Finding Nemo,2007
Finding Nemo,15908000.000,2007.1,15520000.000,0,Finding Nemo,2007.1
Finding Nemo,16296000.000,2007.2,15908000.000,0,Finding Nemo,2007.2
Finding Nemo,16684000.000,2007.3,16296000.000,0,Finding Nemo,2007.3
Finding Nemo,17072000.000,2007.4,16684000.000,0,Finding Nemo,2007.4
Finding Nemo,17460000.000,2007.5,17072000.000,0,Finding Nemo,2007.5
Finding Nemo,17848000.000,2007.6,17460000.000,0,Finding Nemo,2007.6
Finding Nemo,18236000.000,2007.7,17848000.000,0,Finding Nemo,2007.7
Finding Nemo,18624000.000,2007.8,18236000.000,0,Finding Nemo,2007.8
Finding Nemo,19012000.000,2007.9,18624000.000,0,Finding Nemo,2007.9
Finding Nemo,19400000.000,2008,19012000.000,0,Finding Nemo,2008
Finding Nemo,19788000.000,2008.1,19400000.000,0,Finding Nemo,2008.1
Finding Nemo,20176000.000,2008.2,19788000.000,0,Finding Nemo,2008.2
Finding Nemo,20564000.000,2008.3,20176000.000,0,Finding Nemo,2008.3
Finding Nemo,20952000.000,2008.4,20564000.000,0,Finding Nemo,2008.4
Finding Nemo,21340000.000,2008.5,20952000.000,0,Finding Nemo,2008.5
Finding Nemo,21728000.000,2008.6,21340000.000,0,Finding Nemo,2008.6
Finding Nemo,22116000.000,2008.7,21728000.000,0,Finding Nemo,2008.7
Finding Nemo,22504000.000,2008.8,22116000.000,0,Finding Nemo,2008.8
Finding Nemo,22892000.000,2008.9,22504000.000,0,Finding Nemo,2008.9
Finding Nemo,23280000.000,2009,22892000.000,0,Finding Nemo,2009
Finding Nemo,23668000.000,2009.1,23280000.000,0,Finding Nemo,2009.1
Finding Nemo,24056000.000,2009.2,23668000.000,0,Finding Nemo,2009.2
Finding Nemo,24444000.000,2009.3,24056000.000,0,Finding Nemo,2009.3
Finding Nemo,24832000.000,2009.4,24444000.000,0,Finding Nemo,2009.4
Finding Nemo,25220000.000,2009.5,24832000.000,0,Finding Nemo,2009.5
Finding Nemo,25608000.000,2009.6,25220000.000,0,Finding Nemo,2009.6
Finding Nemo,25996000.000,2009.7,25608000.000,0,Finding Nemo,2009.7
Finding Nemo,26384000.000,2009.8,25996000.000,0,Finding Nemo,2009.8
Finding Nemo,26772000.000,2009.9,26384000.000,0,Finding Nemo,2009.9
Finding Nemo,27160000.000,2010,26772000.000,0,Finding Nemo,2010
Finding Nemo,27548000.000,2010.1,27160000.000,0,Finding Nemo,2010.1
Finding Nemo,27936000.000,2010.2,27548000.000,0,Finding Nemo,2010.2
Finding Nemo,28324000.000,2010.3,27936000.000,0,Finding Nemo,2010.3
Finding Nemo,28712000.000,2010.4,28324000.000,0,Finding Nemo,2010.4
Finding Nemo,29100000.000,2010.5,28712000.000,0,Finding Nemo,2010.5
Finding Nemo,29488000.000,2010.6,29100000.000,0,Finding Nemo,2010.6
Finding Nemo,29876000.000,2010.7,29488000.000,0,Finding Nemo,2010.7
Finding Nemo,30264000.000,2010.8,29876000.000,0,Finding Nemo,2010.8
Finding Nemo,30652000.000,2010.9,30264000.000,0,Finding Nemo,2010.9
Finding Nemo,31040000.000,2011,30652000.000,0,Finding Nemo,2011
Finding Nemo,31428000.000,2011.1,31040000.000,0,Finding Nemo,2011.1
Finding Nemo,31816000.000,2011.2,31428000.000,0,Finding Nemo,2011.2
Finding Nemo,32204000.000,2011.3,31816000.000,0,Finding Nemo,2011.3
Finding Nemo,32592000.000,2011.4,32204000.000,0,Finding Nemo,2011.4
Finding Nemo,32980000.000,2011.5,32592000.000,0,Finding Nemo,2011.5
Finding Nemo,33368000.000,2011.6,32980000.000,0,Finding Nemo,2011.6
Finding Nemo,33756000.000,2011.7,33368000.000,0,Finding Nemo,2011.7
Finding Nemo,34144000.000,2011.8,33756000.000,0,Finding Nemo,2011.8
Finding Nemo,34532000.000,2011.9,34144000.000,0,Finding Nemo,2011.9
Finding Nemo,34920000.000,2012,34532000.000,0,Finding Nemo,2012
Finding Nemo,35308000.000,2012.1,34920000.000,0,Finding Nemo,2012.1
Finding Nemo,35696000.000,2012.2,35308000.000,0,Finding Nemo,2012.2
Finding Nemo,36084000.000,2012.3,35696000.000,0,Finding Nemo,2012.3
Finding Nemo,36472000.000,2012.4,36084000.000,0,Finding Nemo,2012.4
Finding Nemo,36860000.000,2012.5,36472000.000,0,Finding Nemo,2012.5
Finding Nemo,37248000.000,2012.6,36860000.000,0,Finding Nemo,2012.6
Finding Nemo,37636000.000,2012.7,37248000.000,0,Finding Nemo,2012.7
Finding Nemo,38024000.000,2012.8,37636000.000,0,Finding Nemo,2012.8
Finding Nemo,38412000.000,2012.9,38024000.000,0,Finding Nemo,2012.9
Finding Nemo,38800000.000,2013,38412000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2013.1,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2013.2,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2013.3,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2013.4,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2013.5,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2013.6,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2013.7,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2013.8,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2013.9,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2014,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2014.1,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2014.2,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2014.3,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2014.4,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2014.5,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2014.6,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2014.7,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2014.8,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2014.9,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2015,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2015.1,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2015.2,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2015.3,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2015.4,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2015.5,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2015.6,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2015.7,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2015.8,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2015.9,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2016,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2016.1,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2016.2,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2016.3,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2016.4,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2016.5,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2016.6,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2016.7,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2016.8,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2016.9,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2017,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2017.1,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2017.2,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2017.3,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2017.4,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2017.5,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2017.6,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2017.7,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2017.8,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2017.9,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2018,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2018.1,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2018.2,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2018.3,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2018.4,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2018.5,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2018.6,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2018.7,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2018.8,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2018.9,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2019,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2019.1,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2019.2,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2019.3,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2019.4,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2019.5,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2019.6,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2019.7,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2019.8,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2019.9,38800000.000,0,Finding Nemo,2013
Finding Nemo,38800000.000,2020,38800000.000,0,Finding Nemo,2013
Cars,0.000,2006,0.000,0,Cars,
Cars,231000.000,2006.1,0.000,0,Cars,2006.1
Cars,462000.000,2006.2,231000.000,0,Cars,2006.2
Cars,693000.000,2006.3,462000.000,0,Cars,2006.3
Cars,924000.000,2006.4,693000.000,0,Cars,2006.4
Cars,1155000.000,2006.5,924000.000,0,Cars,2006.5
Cars,1386000.000,2006.6,1155000.000,0,Cars,2006.6
Cars,1617000.000,2006.7,1386000.000,0,Cars,2006.7
Cars,1848000.000,2006.8,1617000.000,0,Cars,2006.8
Cars,2079000.000,2006.9,1848000.000,0,Cars,2006.9
