name,value,year,lastValue,rank,image,largeDate
Finding Nemo,0,2003,0,0,Finding Nemo,
Finding Nemo,776000,2003.1,0,0,Finding Nemo,2003.1
Finding Nemo,1552000,2003.2,776000,0,Finding Nemo,2003.2
Finding Nemo,2328000,2003.3,1552000,0,Finding Nemo,2003.3
Finding Nemo,3104000,2003.4,2328000,0,Finding Nemo,2003.4
Finding Nemo,3880000,2003.5,3104000,0,Finding Nemo,2003.5
Finding Nemo,4656000,2003.6,3880000,0,Finding Nemo,2003.6
Finding Nemo,5432000,2003.7,4656000,0,Finding Nemo,2003.7
Finding Nemo,6208000,2003.8,5432000,0,Finding Nemo,2003.8
Finding Nemo,6984000,2003.9,6208000,0,Finding Nemo,2003.9
Finding Nemo,7760000,2004,6984000,0,Finding Nemo,2004
Finding Nemo,8536000,2004.1,7760000,0,Finding Nemo,2004.1
Finding Nemo,9312000,2004.2,8536000,0,Finding Nemo,2004.2
Finding Nemo,10088000,2004.3,9312000,0,Finding Nemo,2004.3
Finding Nemo,10864000,2004.4,10088000,0,Finding Nemo,2004.4
Finding Nemo,11640000,2004.5,10864000,0,Finding Nemo,2004.5
Finding Nemo,12416000,2004.6,11640000,0,Finding Nemo,2004.6
Finding Nemo,13192000,2004.7,12416000,0,Finding Nemo,2004.7
Finding Nemo,13968000,2004.8,13192000,0,Finding Nemo,2004.8
Finding Nemo,14744000,2004.9,13968000,0,Finding Nemo,2004.9
Finding Nemo,15520000,2005,14744000,0,Finding Nemo,2005
Finding Nemo,16296000,2005.1,15520000,0,Finding Nemo,2005.1
Finding Nemo,17072000,2005.2,16296000,0,Finding Nemo,2005.2
Finding Nemo,17848000,2005.3,17072000,0,Finding Nemo,2005.3
Finding Nemo,18624000,2005.4,17848000,0,Finding Nemo,2005.4
Finding Nemo,19400000,2005.5,18624000,0,Finding Nemo,2005.5
Finding Nemo,20176000,2005.6,19400000,0,Finding Nemo,2005.6
Finding Nemo,20952000,2005.7,20176000,0,Finding Nemo,2005.7
Finding Nemo,21728000,2005.8,20952000,0,Finding Nemo,2005.8
Finding Nemo,22504000,2005.9,21728000,0,Finding Nemo,2005.9
Finding Nemo,23280000,2006,22504000,0,Finding Nemo,2006
Finding Nemo,24056000,2006.1,23280000,0,Finding Nemo,2006.1
Finding Nemo,24832000,2006.2,24056000,0,Finding Nemo,2006.2
Finding Nemo,25608000,2006.3,24832000,0,Finding Nemo,2006.3
Finding Nemo,26384000,2006.4,25608000,0,Finding Nemo,2006.4
Finding Nemo,27160000,2006.5,26384000,0,Finding Nemo,2006.5
Finding Nemo,27936000,2006.6,27160000,0,Finding Nemo,2006.6
Finding Nemo,28712000,2006.7,27936000,0,Finding Nemo,2006.7
Finding Nemo,29488000,2006.8,28712000,0,Finding Nemo,2006.8
Finding Nemo,30264000,2006.9,29488000,0,Finding Nemo,2006.9
Finding Nemo,31040000,2007,30264000,0,Finding Nemo,2007
Finding Nemo,31816000,2007.1,31040000,0,Finding Nemo,2007.1
Finding Nemo,32592000,2007.2,31816000,0,Finding Nemo,2007.2
Finding Nemo,33368000,2007.3,32592000,0,Finding Nemo,2007.3
Finding Nemo,34144000,2007.4,33368000,0,Finding Nemo,2007.4
Finding Nemo,34920000,2007.5,34144000,0,Finding Nemo,2007.5
Finding Nemo,35696000,2007.6,34920000,0,Finding Nemo,2007.6
Finding Nemo,36472000,2007.7,35696000,0,Finding Nemo,2007.7
Finding Nemo,37248000,2007.8,36472000,0,Finding Nemo,2007.8
Finding Nemo,38024000,2007.9,37248000,0,Finding Nemo,2007.9
Finding Nemo,38800000,2008,38024000,0,Finding Nemo,2008
Finding Nemo,38800000,2008.1,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2008.2,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2008.3,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2008.4,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2008.5,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2008.6,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2008.7,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2008.8,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2008.9,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2009,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2009.1,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2009.2,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2009.3,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2009.4,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2009.5,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2009.6,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2009.7,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2009.8,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2009.9,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2010,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2010.1,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2010.2,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2010.3,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2010.4,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2010.5,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2010.6,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2010.7,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2010.8,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2010.9,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2011,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2011.1,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2011.2,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2011.3,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2011.4,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2011.5,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2011.6,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2011.7,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2011.8,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2011.9,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2012,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2012.1,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2012.2,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2012.3,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2012.4,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2012.5,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2012.6,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2012.7,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2012.8,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2012.9,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2013,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2013.1,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2013.2,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2013.3,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2013.4,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2013.5,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2013.6,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2013.7,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2013.8,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2013.9,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2014,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2014.1,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2014.2,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2014.3,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2014.4,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2014.5,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2014.6,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2014.7,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2014.8,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2014.9,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2015,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2015.1,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2015.2,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2015.3,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2015.4,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2015.5,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2015.6,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2015.7,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2015.8,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2015.9,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2016,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2016.1,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2016.2,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2016.3,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2016.4,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2016.5,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2016.6,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2016.7,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2016.8,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2016.9,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2017,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2017.1,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2017.2,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2017.3,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2017.4,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2017.5,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2017.6,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2017.7,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2017.8,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2017.9,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2018,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2018.1,38800000,0,Finding Nemo,2008
Finding Nemo,38800000,2018.2,38800000,0,Finding Nemo,2008
