name,value,year,lastValue,rank,image,largeDate
Frozen II,0,1977,0,0,Frozen II,
Frozen II,0,1977.1,0,0,Frozen II,
Frozen II,0,1977.2,0,0,Frozen II,
Frozen II,0,1977.3,0,0,Frozen II,
Frozen II,0,1977.4,0,0,Frozen II,
Frozen II,0,1977.5,0,0,Frozen II,
Frozen II,0,1977.6,0,0,Frozen II,
Frozen II,0,1977.7,0,0,Frozen II,
Frozen II,0,1977.8,0,0,Frozen II,
Frozen II,0,1977.9,0,0,Frozen II,
Frozen II,0,1978,0,0,Frozen II,
Frozen II,0,1978.1,0,0,Frozen II,
Frozen II,0,1978.2,0,0,Frozen II,
Frozen II,0,1978.3,0,0,Frozen II,
Frozen II,0,1978.4,0,0,Frozen II,
Frozen II,0,1978.5,0,0,Frozen II,
Frozen II,0,1978.6,0,0,Frozen II,
Frozen II,0,1978.7,0,0,Frozen II,
Frozen II,0,1978.8,0,0,Frozen II,
Frozen II,0,1978.9,0,0,Frozen II,
Frozen II,0,1979,0,0,Frozen II,
Frozen II,0,1979.1,0,0,Frozen II,
Frozen II,0,1979.2,0,0,Frozen II,
Frozen II,0,1979.3,0,0,Frozen II,
Frozen II,0,1979.4,0,0,Frozen II,
Frozen II,0,1979.5,0,0,Frozen II,
Frozen II,0,1979.6,0,0,Frozen II,
Frozen II,0,1979.7,0,0,Frozen II,
Frozen II,0,1979.8,0,0,Frozen II,
Frozen II,0,1979.9,0,0,Frozen II,
Frozen II,0,1980,0,0,Frozen II,
Frozen II,0,1980.1,0,0,Frozen II,
Frozen II,0,1980.2,0,0,Frozen II,
Frozen II,0,1980.3,0,0,Frozen II,
Frozen II,0,1980.4,0,0,Frozen II,
Frozen II,0,1980.5,0,0,Frozen II,
Frozen II,0,1980.6,0,0,Frozen II,
Frozen II,0,1980.7,0,0,Frozen II,
Frozen II,0,1980.8,0,0,Frozen II,
Frozen II,0,1980.9,0,0,Frozen II,
Frozen II,0,1981,0,0,Frozen II,
Frozen II,0,1981.1,0,0,Frozen II,
Frozen II,0,1981.2,0,0,Frozen II,
Frozen II,0,1981.3,0,0,Frozen II,
Frozen II,0,1981.4,0,0,Frozen II,
Frozen II,0,1981.5,0,0,Frozen II,
Frozen II,0,1981.6,0,0,Frozen II,
Frozen II,0,1981.7,0,0,Frozen II,
Frozen II,0,1981.8,0,0,Frozen II,
Frozen II,0,1981.9,0,0,Frozen II,
Frozen II,0,1982,0,0,Frozen II,
Frozen II,0,1982.1,0,0,Frozen II,
Frozen II,0,1982.2,0,0,Frozen II,
Frozen II,0,1982.3,0,0,Frozen II,
Frozen II,0,1982.4,0,0,Frozen II,
Frozen II,0,1982.5,0,0,Frozen II,
Frozen II,0,1982.6,0,0,Frozen II,
Frozen II,0,1982.7,0,0,Frozen II,
Frozen II,0,1982.8,0,0,Frozen II,
Frozen II,0,1982.9,0,0,Frozen II,
Frozen II,0,1983,0,0,Frozen II,
Frozen II,0,1983.1,0,0,Frozen II,
Frozen II,0,1983.2,0,0,Frozen II,
Frozen II,0,1983.3,0,0,Frozen II,
Frozen II,0,1983.4,0,0,Frozen II,
Frozen II,0,1983.5,0,0,Frozen II,
Frozen II,0,1983.6,0,0,Frozen II,
Frozen II,0,1983.7,0,0,Frozen II,
Frozen II,0,1983.8,0,0,Frozen II,
Frozen II,0,1983.9,0,0,Frozen II,
Frozen II,0,1984,0,0,Frozen II,
Frozen II,0,1984.1,0,0,Frozen II,
Frozen II,0,1984.2,0,0,Frozen II,
Frozen II,0,1984.3,0,0,Frozen II,
Frozen II,0,1984.4,0,0,Frozen II,
Frozen II,0,1984.5,0,0,Frozen II,
Frozen II,0,1984.6,0,0,Frozen II,
Frozen II,0,1984.7,0,0,Frozen II,
Frozen II,0,1984.8,0,0,Frozen II,
Frozen II,0,1984.9,0,0,Frozen II,
Frozen II,0,1985,0,0,Frozen II,
Frozen II,0,1985.1,0,0,Frozen II,
Frozen II,0,1985.2,0,0,Frozen II,
Frozen II,0,1985.3,0,0,Frozen II,
Frozen II,0,1985.4,0,0,Frozen II,
Frozen II,0,1985.5,0,0,Frozen II,
Frozen II,0,1985.6,0,0,Frozen II,
Frozen II,0,1985.7,0,0,Frozen II,
Frozen II,0,1985.8,0,0,Frozen II,
Frozen II,0,1985.9,0,0,Frozen II,
Frozen II,0,1986,0,0,Frozen II,
Frozen II,0,1986.1,0,0,Frozen II,
Frozen II,0,1986.2,0,0,Frozen II,
Frozen II,0,1986.3,0,0,Frozen II,
Frozen II,0,1986.4,0,0,Frozen II,
Frozen II,0,1986.5,0,0,Frozen II,
Frozen II,0,1986.6,0,0,Frozen II,
Frozen II,0,1986.7,0,0,Frozen II,
Frozen II,0,1986.8,0,0,Frozen II,
Frozen II,0,1986.9,0,0,Frozen II,
Frozen II,0,1987,0,0,Frozen II,
Frozen II,0,1987.1,0,0,Frozen II,
Frozen II,0,1987.2,0,0,Frozen II,
Frozen II,0,1987.3,0,0,Frozen II,
Frozen II,0,1987.4,0,0,Frozen II,
Frozen II,0,1987.5,0,0,Frozen II,
Frozen II,0,1987.6,0,0,Frozen II,
Frozen II,0,1987.7,0,0,Frozen II,
Frozen II,0,1987.8,0,0,Frozen II,
Frozen II,0,1987.9,0,0,Frozen II,
Frozen II,0,1988,0,0,Frozen II,
Frozen II,0,1988.1,0,0,Frozen II,
Frozen II,0,1988.2,0,0,Frozen II,
Frozen II,0,1988.3,0,0,Frozen II,
Frozen II,0,1988.4,0,0,Frozen II,
Frozen II,0,1988.5,0,0,Frozen II,
Frozen II,0,1988.6,0,0,Frozen II,
Frozen II,0,1988.7,0,0,Frozen II,
Frozen II,0,1988.8,0,0,Frozen II,
Frozen II,0,1988.9,0,0,Frozen II,
Frozen II,0,1989,0,0,Frozen II,
Frozen II,0,1989.1,0,0,Frozen II,
Frozen II,0,1989.2,0,0,Frozen II,
Frozen II,0,1989.3,0,0,Frozen II,
Frozen II,0,1989.4,0,0,Frozen II,
Frozen II,0,1989.5,0,0,Frozen II,
Frozen II,0,1989.6,0,0,Frozen II,
Frozen II,0,1989.7,0,0,Frozen II,
Frozen II,0,1989.8,0,0,Frozen II,
Frozen II,0,1989.9,0,0,Frozen II,
Frozen II,0,1990,0,0,Frozen II,
Frozen II,0,1990.1,0,0,Frozen II,
Frozen II,0,1990.2,0,0,Frozen II,
Frozen II,0,1990.3,0,0,Frozen II,
Frozen II,0,1990.4,0,0,Frozen II,
Frozen II,0,1990.5,0,0,Frozen II,
Frozen II,0,1990.6,0,0,Frozen II,
Frozen II,0,1990.7,0,0,Frozen II,
