name,value,year,lastValue,rank,image,largeDate
Frozen II,0, 1977.00,0,0,Frozen II,
Frozen II,0, 1977.00.1,0,0,Frozen II,
Frozen II,0, 1977.00.2,0,0,Frozen II,
Frozen II,0, 1977.00.3,0,0,Frozen II,
Frozen II,0, 1977.00.4,0,0,Frozen II,
Frozen II,0, 1977.00.5,0,0,Frozen II,
Frozen II,0, 1977.00.6,0,0,Frozen II,
Frozen II,0, 1977.00.7,0,0,Frozen II,
Frozen II,0, 1977.00.8,0,0,Frozen II,
Frozen II,0, 1977.00.9,0,0,Frozen II,
Frozen II,0, 1978.00,0,0,Frozen II,
Frozen II,0, 1978.00.1,0,0,Frozen II,
Frozen II,0, 1978.00.2,0,0,Frozen II,
Frozen II,0, 1978.00.3,0,0,Frozen II,
Frozen II,0, 1978.00.4,0,0,Frozen II,
Frozen II,0, 1978.00.5,0,0,Frozen II,
Frozen II,0, 1978.00.6,0,0,Frozen II,
Frozen II,0, 1978.00.7,0,0,Frozen II,
Frozen II,0, 1978.00.8,0,0,Frozen II,
Frozen II,0, 1978.00.9,0,0,Frozen II,
Frozen II,0, 1979.00,0,0,Frozen II,
Frozen II,0, 1979.00.1,0,0,Frozen II,
Frozen II,0, 1979.00.2,0,0,Frozen II,
Frozen II,0, 1979.00.3,0,0,Frozen II,
Frozen II,0, 1979.00.4,0,0,Frozen II,
Frozen II,0, 1979.00.5,0,0,Frozen II,
Frozen II,0, 1979.00.6,0,0,Frozen II,
Frozen II,0, 1979.00.7,0,0,Frozen II,
Frozen II,0, 1979.00.8,0,0,Frozen II,
Frozen II,0, 1979.00.9,0,0,Frozen II,
Frozen II,0, 1980.00,0,0,Frozen II,
Frozen II,0, 1980.00.1,0,0,Frozen II,
Frozen II,0, 1980.00.2,0,0,Frozen II,
Frozen II,0, 1980.00.3,0,0,Frozen II,
Frozen II,0, 1980.00.4,0,0,Frozen II,
Frozen II,0, 1980.00.5,0,0,Frozen II,
Frozen II,0, 1980.00.6,0,0,Frozen II,
Frozen II,0, 1980.00.7,0,0,Frozen II,
Frozen II,0, 1980.00.8,0,0,Frozen II,
Frozen II,0, 1980.00.9,0,0,Frozen II,
Frozen II,0, 1981.00,0,0,Frozen II,
Frozen II,0, 1981.00.1,0,0,Frozen II,
Frozen II,0, 1981.00.2,0,0,Frozen II,
Frozen II,0, 1981.00.3,0,0,Frozen II,
Frozen II,0, 1981.00.4,0,0,Frozen II,
Frozen II,0, 1981.00.5,0,0,Frozen II,
Frozen II,0, 1981.00.6,0,0,Frozen II,
Frozen II,0, 1981.00.7,0,0,Frozen II,
Frozen II,0, 1981.00.8,0,0,Frozen II,
Frozen II,0, 1981.00.9,0,0,Frozen II,
Frozen II,0, 1983.00,0,0,Frozen II,
Frozen II,0, 1983.00.1,0,0,Frozen II,
Frozen II,0, 1983.00.2,0,0,Frozen II,
Frozen II,0, 1983.00.3,0,0,Frozen II,
Frozen II,0, 1983.00.4,0,0,Frozen II,
Frozen II,0, 1983.00.5,0,0,Frozen II,
Frozen II,0, 1983.00.6,0,0,Frozen II,
Frozen II,0, 1983.00.7,0,0,Frozen II,
Frozen II,0, 1983.00.8,0,0,Frozen II,
Frozen II,0, 1983.00.9,0,0,Frozen II,
Frozen II,0, 1985.00,0,0,Frozen II,
Frozen II,0, 1985.00.1,0,0,Frozen II,
Frozen II,0, 1985.00.2,0,0,Frozen II,
Frozen II,0, 1985.00.3,0,0,Frozen II,
Frozen II,0, 1985.00.4,0,0,Frozen II,
Frozen II,0, 1985.00.5,0,0,Frozen II,
Frozen II,0, 1985.00.6,0,0,Frozen II,
Frozen II,0, 1985.00.7,0,0,Frozen II,
Frozen II,0, 1985.00.8,0,0,Frozen II,
Frozen II,0, 1985.00.9,0,0,Frozen II,
Frozen II,0, 1986.00,0,0,Frozen II,
Frozen II,0, 1986.00.1,0,0,Frozen II,
Frozen II,0, 1986.00.2,0,0,Frozen II,
Frozen II,0, 1986.00.3,0,0,Frozen II,
Frozen II,0, 1986.00.4,0,0,Frozen II,
Frozen II,0, 1986.00.5,0,0,Frozen II,
Frozen II,0, 1986.00.6,0,0,Frozen II,
Frozen II,0, 1986.00.7,0,0,Frozen II,
Frozen II,0, 1986.00.8,0,0,Frozen II,
Frozen II,0, 1986.00.9,0,0,Frozen II,
Frozen II,0, 1987.00,0,0,Frozen II,
Frozen II,0, 1987.00.1,0,0,Frozen II,
Frozen II,0, 1987.00.2,0,0,Frozen II,
Frozen II,0, 1987.00.3,0,0,Frozen II,
Frozen II,0, 1987.00.4,0,0,Frozen II,
Frozen II,0, 1987.00.5,0,0,Frozen II,
Frozen II,0, 1987.00.6,0,0,Frozen II,
Frozen II,0, 1987.00.7,0,0,Frozen II,
Frozen II,0, 1987.00.8,0,0,Frozen II,
Frozen II,0, 1987.00.9,0,0,Frozen II,
Frozen II,0, 1988.00,0,0,Frozen II,
Frozen II,0, 1988.00.1,0,0,Frozen II,
Frozen II,0, 1988.00.2,0,0,Frozen II,
Frozen II,0, 1988.00.3,0,0,Frozen II,
Frozen II,0, 1988.00.4,0,0,Frozen II,
Frozen II,0, 1988.00.5,0,0,Frozen II,
Frozen II,0, 1988.00.6,0,0,Frozen II,
Frozen II,0, 1988.00.7,0,0,Frozen II,
Frozen II,0, 1988.00.8,0,0,Frozen II,
Frozen II,0, 1988.00.9,0,0,Frozen II,
Frozen II,0, 1989.00,0,0,Frozen II,
Frozen II,0, 1989.00.1,0,0,Frozen II,
Frozen II,0, 1989.00.2,0,0,Frozen II,
Frozen II,0, 1989.00.3,0,0,Frozen II,
Frozen II,0, 1989.00.4,0,0,Frozen II,
Frozen II,0, 1989.00.5,0,0,Frozen II,
Frozen II,0, 1989.00.6,0,0,Frozen II,
Frozen II,0, 1989.00.7,0,0,Frozen II,
Frozen II,0, 1989.00.8,0,0,Frozen II,
Frozen II,0, 1989.00.9,0,0,Frozen II,
Frozen II,0, 1990.00,0,0,Frozen II,
Frozen II,0, 1990.00.1,0,0,Frozen II,
Frozen II,0, 1990.00.2,0,0,Frozen II,
Frozen II,0, 1990.00.3,0,0,Frozen II,
Frozen II,0, 1990.00.4,0,0,Frozen II,
Frozen II,0, 1990.00.5,0,0,Frozen II,
Frozen II,0, 1990.00.6,0,0,Frozen II,
Frozen II,0, 1990.00.7,0,0,Frozen II,
Frozen II,0, 1990.00.8,0,0,Frozen II,
Frozen II,0, 1990.00.9,0,0,Frozen II,
Frozen II,0, 1991.00,0,0,Frozen II,
Frozen II,0, 1991.00.1,0,0,Frozen II,
Frozen II,0, 1991.00.2,0,0,Frozen II,
Frozen II,0, 1991.00.3,0,0,Frozen II,
Frozen II,0, 1991.00.4,0,0,Frozen II,
Frozen II,0, 1991.00.5,0,0,Frozen II,
Frozen II,0, 1991.00.6,0,0,Frozen II,
Frozen II,0, 1991.00.7,0,0,Frozen II,
Frozen II,0, 1991.00.8,0,0,Frozen II,
Frozen II,0, 1991.00.9,0,0,Frozen II,
Frozen II,0, 1992.00,0,0,Frozen II,
Frozen II,0, 1992.00.1,0,0,Frozen II,
Frozen II,0, 1992.00.2,0,0,Frozen II,
Frozen II,0, 1992.00.3,0,0,Frozen II,
Frozen II,0, 1992.00.4,0,0,Frozen II,
Frozen II,0, 1992.00.5,0,0,Frozen II,
Frozen II,0, 1992.00.6,0,0,Frozen II,
Frozen II,0, 1992.00.7,0,0,Frozen II,
Frozen II,0, 1992.00.8,0,0,Frozen II,
Frozen II,0, 1992.00.9,0,0,Frozen II,
Frozen II,0, 1994.00,0,0,Frozen II,
Frozen II,0, 1994.00.1,0,0,Frozen II,
Frozen II,0, 1994.00.2,0,0,Frozen II,
Frozen II,0, 1994.00.3,0,0,Frozen II,
Frozen II,0, 1994.00.4,0,0,Frozen II,
Frozen II,0, 1994.00.5,0,0,Frozen II,
Frozen II,0, 1994.00.6,0,0,Frozen II,
Frozen II,0, 1994.00.7,0,0,Frozen II,
Frozen II,0, 1994.00.8,0,0,Frozen II,
Frozen II,0, 1994.00.9,0,0,Frozen II,
Frozen II,0, 1995.00,0,0,Frozen II,
Frozen II,0, 1995.00.1,0,0,Frozen II,
Frozen II,0, 1995.00.2,0,0,Frozen II,
Frozen II,0, 1995.00.3,0,0,Frozen II,
Frozen II,0, 1995.00.4,0,0,Frozen II,
Frozen II,0, 1995.00.5,0,0,Frozen II,
Frozen II,0, 1995.00.6,0,0,Frozen II,
Frozen II,0, 1995.00.7,0,0,Frozen II,
Frozen II,0, 1995.00.8,0,0,Frozen II,
Frozen II,0, 1995.00.9,0,0,Frozen II,
Frozen II,0, 1996.00,0,0,Frozen II,
Frozen II,0, 1996.00.1,0,0,Frozen II,
Frozen II,0, 1996.00.2,0,0,Frozen II,
Frozen II,0, 1996.00.3,0,0,Frozen II,
Frozen II,0, 1996.00.4,0,0,Frozen II,
Frozen II,0, 1996.00.5,0,0,Frozen II,
Frozen II,0, 1996.00.6,0,0,Frozen II,
Frozen II,0, 1996.00.7,0,0,Frozen II,
Frozen II,0, 1996.00.8,0,0,Frozen II,
Frozen II,0, 1996.00.9,0,0,Frozen II,
Frozen II,0, 1997.00,0,0,Frozen II,
Frozen II,0, 1997.00.1,0,0,Frozen II,
Frozen II,0, 1997.00.2,0,0,Frozen II,
Frozen II,0, 1997.00.3,0,0,Frozen II,
Frozen II,0, 1997.00.4,0,0,Frozen II,
Frozen II,0, 1997.00.5,0,0,Frozen II,
Frozen II,0, 1997.00.6,0,0,Frozen II,
Frozen II,0, 1997.00.7,0,0,Frozen II,
Frozen II,0, 1997.00.8,0,0,Frozen II,
Frozen II,0, 1997.00.9,0,0,Frozen II,
Frozen II,0, 1998.00,0,0,Frozen II,
Frozen II,0, 1998.00.1,0,0,Frozen II,
Frozen II,0, 1998.00.2,0,0,Frozen II,
Frozen II,0, 1998.00.3,0,0,Frozen II,
Frozen II,0, 1998.00.4,0,0,Frozen II,
Frozen II,0, 1998.00.5,0,0,Frozen II,
Frozen II,0, 1998.00.6,0,0,Frozen II,
Frozen II,0, 1998.00.7,0,0,Frozen II,
Frozen II,0, 1998.00.8,0,0,Frozen II,
Frozen II,0, 1998.00.9,0,0,Frozen II,
Frozen II,0, 1999.00,0,0,Frozen II,
Frozen II,0, 1999.00.1,0,0,Frozen II,
Frozen II,0, 1999.00.2,0,0,Frozen II,
Frozen II,0, 1999.00.3,0,0,Frozen II,
Frozen II,0, 1999.00.4,0,0,Frozen II,
Frozen II,0, 1999.00.5,0,0,Frozen II,
Frozen II,0, 1999.00.6,0,0,Frozen II,
Frozen II,0, 1999.00.7,0,0,Frozen II,
Frozen II,0, 1999.00.8,0,0,Frozen II,
Frozen II,0, 1999.00.9,0,0,Frozen II,
Frozen II,0, 2000.00,0,0,Frozen II,
Frozen II,0, 2000.00.1,0,0,Frozen II,
Frozen II,0, 2000.00.2,0,0,Frozen II,
Frozen II,0, 2000.00.3,0,0,Frozen II,
Frozen II,0, 2000.00.4,0,0,Frozen II,
Frozen II,0, 2000.00.5,0,0,Frozen II,
Frozen II,0, 2000.00.6,0,0,Frozen II,
Frozen II,0, 2000.00.7,0,0,Frozen II,
Frozen II,0, 2000.00.8,0,0,Frozen II,
Frozen II,0, 2000.00.9,0,0,Frozen II,
Frozen II,0, 2001.00,0,0,Frozen II,
Frozen II,0, 2001.00.1,0,0,Frozen II,
Frozen II,0, 2001.00.2,0,0,Frozen II,
Frozen II,0, 2001.00.3,0,0,Frozen II,
Frozen II,0, 2001.00.4,0,0,Frozen II,
Frozen II,0, 2001.00.5,0,0,Frozen II,
Frozen II,0, 2001.00.6,0,0,Frozen II,
Frozen II,0, 2001.00.7,0,0,Frozen II,
Frozen II,0, 2001.00.8,0,0,Frozen II,
Frozen II,0, 2001.00.9,0,0,Frozen II,
Frozen II,0, 2002.00,0,0,Frozen II,
Frozen II,0, 2002.00.1,0,0,Frozen II,
Frozen II,0, 2002.00.2,0,0,Frozen II,
Frozen II,0, 2002.00.3,0,0,Frozen II,
Frozen II,0, 2002.00.4,0,0,Frozen II,
Frozen II,0, 2002.00.5,0,0,Frozen II,
Frozen II,0, 2002.00.6,0,0,Frozen II,
Frozen II,0, 2002.00.7,0,0,Frozen II,
Frozen II,0, 2002.00.8,0,0,Frozen II,
Frozen II,0, 2002.00.9,0,0,Frozen II,
Frozen II,0, 2003.00,0,0,Frozen II,
Frozen II,0, 2003.00.1,0,0,Frozen II,
Frozen II,0, 2003.00.2,0,0,Frozen II,
Frozen II,0, 2003.00.3,0,0,Frozen II,
Frozen II,0, 2003.00.4,0,0,Frozen II,
Frozen II,0, 2003.00.5,0,0,Frozen II,
Frozen II,0, 2003.00.6,0,0,Frozen II,
Frozen II,0, 2003.00.7,0,0,Frozen II,
Frozen II,0, 2003.00.8,0,0,Frozen II,
Frozen II,0, 2003.00.9,0,0,Frozen II,
Frozen II,0, 2004.00,0,0,Frozen II,
Frozen II,0, 2004.00.1,0,0,Frozen II,
Frozen II,0, 2004.00.2,0,0,Frozen II,
Frozen II,0, 2004.00.3,0,0,Frozen II,
Frozen II,0, 2004.00.4,0,0,Frozen II,
Frozen II,0, 2004.00.5,0,0,Frozen II,
Frozen II,0, 2004.00.6,0,0,Frozen II,
Frozen II,0, 2004.00.7,0,0,Frozen II,
Frozen II,0, 2004.00.8,0,0,Frozen II,
Frozen II,0, 2004.00.9,0,0,Frozen II,
Frozen II,0, 2005.00,0,0,Frozen II,
Frozen II,0, 2005.00.1,0,0,Frozen II,
Frozen II,0, 2005.00.2,0,0,Frozen II,
Frozen II,0, 2005.00.3,0,0,Frozen II,
Frozen II,0, 2005.00.4,0,0,Frozen II,
Frozen II,0, 2005.00.5,0,0,Frozen II,
Frozen II,0, 2005.00.6,0,0,Frozen II,
Frozen II,0, 2005.00.7,0,0,Frozen II,
Frozen II,0, 2005.00.8,0,0,Frozen II,
Frozen II,0, 2005.00.9,0,0,Frozen II,
Frozen II,0, 2006.00,0,0,Frozen II,
Frozen II,0, 2006.00.1,0,0,Frozen II,
Frozen II,0, 2006.00.2,0,0,Frozen II,
Frozen II,0, 2006.00.3,0,0,Frozen II,
Frozen II,0, 2006.00.4,0,0,Frozen II,
Frozen II,0, 2006.00.5,0,0,Frozen II,
Frozen II,0, 2006.00.6,0,0,Frozen II,
Frozen II,0, 2006.00.7,0,0,Frozen II,
Frozen II,0, 2006.00.8,0,0,Frozen II,
Frozen II,0, 2006.00.9,0,0,Frozen II,
Frozen II,0, 2007.00,0,0,Frozen II,
Frozen II,0, 2007.00.1,0,0,Frozen II,
Frozen II,0, 2007.00.2,0,0,Frozen II,
Frozen II,0, 2007.00.3,0,0,Frozen II,
Frozen II,0, 2007.00.4,0,0,Frozen II,
Frozen II,0, 2007.00.5,0,0,Frozen II,
Frozen II,0, 2007.00.6,0,0,Frozen II,
Frozen II,0, 2007.00.7,0,0,Frozen II,
Frozen II,0, 2007.00.8,0,0,Frozen II,
Frozen II,0, 2007.00.9,0,0,Frozen II,
Frozen II,0, 2008.00,0,0,Frozen II,
Frozen II,0, 2008.00.1,0,0,Frozen II,
Frozen II,0, 2008.00.2,0,0,Frozen II,
Frozen II,0, 2008.00.3,0,0,Frozen II,
Frozen II,0, 2008.00.4,0,0,Frozen II,
Frozen II,0, 2008.00.5,0,0,Frozen II,
Frozen II,0, 2008.00.6,0,0,Frozen II,
Frozen II,0, 2008.00.7,0,0,Frozen II,
Frozen II,0, 2008.00.8,0,0,Frozen II,
Frozen II,0, 2008.00.9,0,0,Frozen II,
Frozen II,0, 2009.00,0,0,Frozen II,
Frozen II,0, 2009.00.1,0,0,Frozen II,
Frozen II,0, 2009.00.2,0,0,Frozen II,
