name,value,year,lastValue,rank,image,largeDate
Avengers: Endgame,0,2019,0,1,Avengers: Endgame,
Avengers: Endgame,279780056,2019.1,0,0,Avengers: Endgame,
Avengers: Endgame,559560112,2019.2,279780056,0,Avengers: Endgame,
Avengers: Endgame,839340168,2019.3,559560112,0,Avengers: Endgame,
Avengers: Endgame,1119120224,2019.4,839340168,0,Avengers: Endgame,
Avengers: Endgame,1398900280,2019.5,1119120224,0,Avengers: Endgame,
Avengers: Endgame,1678680336,2019.6,1398900280,0,Avengers: Endgame,
Avengers: Endgame,1958460392,2019.7,1678680336,0,Avengers: Endgame,
Avengers: Endgame,2238240448,2019.8,1958460392,0,Avengers: Endgame,
Avengers: Endgame,2518020504,2019.9,2238240448,0,Avengers: Endgame,
Avengers: Endgame,2797800564,2020,0,1,Avengers: Endgame,
Avengers: Infinity War,0,2018,0,1,Avengers: Infinity War,
Avengers: Infinity War,204835975,2018.1,0,0,Avengers: Infinity War,
Avengers: Infinity War,409671950,2018.2,204835975,0,Avengers: Infinity War,
Avengers: Infinity War,614507925,2018.3,409671950,0,Avengers: Infinity War,
Avengers: Infinity War,819343900,2018.4,614507925,0,Avengers: Infinity War,
Avengers: Infinity War,1024179875,2018.5,819343900,0,Avengers: Infinity War,
Avengers: Infinity War,1229015850,2018.6,1024179875,0,Avengers: Infinity War,
Avengers: Infinity War,1433851825,2018.7,1229015850,0,Avengers: Infinity War,
Avengers: Infinity War,1638687800,2018.8,1433851825,0,Avengers: Infinity War,
Avengers: Infinity War,1843523775,2018.9,1638687800,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754,2019,1843523775,2,Avengers: Infinity War,
Avengers: Infinity War,2048359754,2019.1,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754,2019.2,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754,2019.3,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754,2019.4,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754,2019.5,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754,2019.6,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754,2019.7,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754,2019.8,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754,2019.9,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754,2020,2048359754,2,Avengers: Infinity War,
The Avengers,0,2012,0,1,The Avengers,
The Avengers,151881298,2012.1,0,0,The Avengers,
The Avengers,303762596,2012.2,151881298,0,The Avengers,
The Avengers,455643894,2012.3,303762596,0,The Avengers,
The Avengers,607525192,2012.4,455643894,0,The Avengers,
The Avengers,759406490,2012.5,607525192,0,The Avengers,
The Avengers,911287788,2012.6,759406490,0,The Avengers,
The Avengers,1063169086,2012.7,911287788,0,The Avengers,
The Avengers,1215050384,2012.8,1063169086,0,The Avengers,
The Avengers,1366931682,2012.9,1215050384,0,The Avengers,
The Avengers,1518812988,2013,1366931682,1,The Avengers,
The Avengers,1518812988,2013.1,1518812988,0,The Avengers,
The Avengers,1518812988,2013.2,1518812988,0,The Avengers,
The Avengers,1518812988,2013.3,1518812988,0,The Avengers,
The Avengers,1518812988,2013.4,1518812988,0,The Avengers,
The Avengers,1518812988,2013.5,1518812988,0,The Avengers,
The Avengers,1518812988,2013.6,1518812988,0,The Avengers,
The Avengers,1518812988,2013.7,1518812988,0,The Avengers,
The Avengers,1518812988,2013.8,1518812988,0,The Avengers,
The Avengers,1518812988,2013.9,1518812988,0,The Avengers,
The Avengers,1518812988,2014,1518812988,1,The Avengers,
The Avengers,1518812988,2014.1,1518812988,0,The Avengers,
The Avengers,1518812988,2014.2,1518812988,0,The Avengers,
The Avengers,1518812988,2014.3,1518812988,0,The Avengers,
The Avengers,1518812988,2014.4,1518812988,0,The Avengers,
The Avengers,1518812988,2014.5,1518812988,0,The Avengers,
The Avengers,1518812988,2014.6,1518812988,0,The Avengers,
The Avengers,1518812988,2014.7,1518812988,0,The Avengers,
The Avengers,1518812988,2014.8,1518812988,0,The Avengers,
The Avengers,1518812988,2014.9,1518812988,0,The Avengers,
The Avengers,1518812988,2015,1518812988,1,The Avengers,
The Avengers,1518812988,2015.1,1518812988,0,The Avengers,
The Avengers,1518812988,2015.2,1518812988,0,The Avengers,
The Avengers,1518812988,2015.3,1518812988,0,The Avengers,
The Avengers,1518812988,2015.4,1518812988,0,The Avengers,
The Avengers,1518812988,2015.5,1518812988,0,The Avengers,
The Avengers,1518812988,2015.6,1518812988,0,The Avengers,
The Avengers,1518812988,2015.7,1518812988,0,The Avengers,
The Avengers,1518812988,2015.8,1518812988,0,The Avengers,
The Avengers,1518812988,2015.9,1518812988,0,The Avengers,
The Avengers,1518812988,2016,1518812988,1,The Avengers,
The Avengers,1518812988,2016.1,1518812988,0,The Avengers,
The Avengers,1518812988,2016.2,1518812988,0,The Avengers,
The Avengers,1518812988,2016.3,1518812988,0,The Avengers,
The Avengers,1518812988,2016.4,1518812988,0,The Avengers,
The Avengers,1518812988,2016.5,1518812988,0,The Avengers,
The Avengers,1518812988,2016.6,1518812988,0,The Avengers,
The Avengers,1518812988,2016.7,1518812988,0,The Avengers,
The Avengers,1518812988,2016.8,1518812988,0,The Avengers,
The Avengers,1518812988,2016.9,1518812988,0,The Avengers,
The Avengers,1518812988,2017,1518812988,1,The Avengers,
The Avengers,1518812988,2017.1,1518812988,0,The Avengers,
The Avengers,1518812988,2017.2,1518812988,0,The Avengers,
The Avengers,1518812988,2017.3,1518812988,0,The Avengers,
The Avengers,1518812988,2017.4,1518812988,0,The Avengers,
The Avengers,1518812988,2017.5,1518812988,0,The Avengers,
The Avengers,1518812988,2017.6,1518812988,0,The Avengers,
The Avengers,1518812988,2017.7,1518812988,0,The Avengers,
The Avengers,1518812988,2017.8,1518812988,0,The Avengers,
The Avengers,1518812988,2017.9,1518812988,0,The Avengers,
The Avengers,1518812988,2018,1518812988,2,The Avengers,
The Avengers,1518812988,2018.1,1518812988,0,The Avengers,
The Avengers,1518812988,2018.2,1518812988,0,The Avengers,
The Avengers,1518812988,2018.3,1518812988,0,The Avengers,
The Avengers,1518812988,2018.4,1518812988,0,The Avengers,
The Avengers,1518812988,2018.5,1518812988,0,The Avengers,
