name,value,year,lastValue,rank,image,largeDate
Avengers: Endgame,0, 2019.00,0,1,Avengers: Endgame,
Avengers: Endgame,279780056, 2019.00.1,0,0,Avengers: Endgame,
Avengers: Endgame,559560112, 2019.00.2,279780056,0,Avengers: Endgame,
Avengers: Endgame,839340168, 2019.00.3,559560112,0,Avengers: Endgame,
Avengers: Endgame,1119120224, 2019.00.4,839340168,0,Avengers: Endgame,
Avengers: Endgame,1398900280, 2019.00.5,1119120224,0,Avengers: Endgame,
Avengers: Endgame,1678680336, 2019.00.6,1398900280,0,Avengers: Endgame,
Avengers: Endgame,1958460392, 2019.00.7,1678680336,0,Avengers: Endgame,
Avengers: Endgame,2238240448, 2019.00.8,1958460392,0,Avengers: Endgame,
Avengers: Endgame,2518020504, 2019.00.9,2238240448,0,Avengers: Endgame,
Avengers: Endgame,2797800564, 2020.00,0,1,Avengers: Endgame,
Avengers: Infinity War,0, 2018.00,0,1,Avengers: Infinity War,
Avengers: Infinity War,204835975, 2018.00.1,0,0,Avengers: Infinity War,
Avengers: Infinity War,409671950, 2018.00.2,204835975,0,Avengers: Infinity War,
Avengers: Infinity War,614507925, 2018.00.3,409671950,0,Avengers: Infinity War,
Avengers: Infinity War,819343900, 2018.00.4,614507925,0,Avengers: Infinity War,
Avengers: Infinity War,1024179875, 2018.00.5,819343900,0,Avengers: Infinity War,
Avengers: Infinity War,1229015850, 2018.00.6,1024179875,0,Avengers: Infinity War,
Avengers: Infinity War,1433851825, 2018.00.7,1229015850,0,Avengers: Infinity War,
Avengers: Infinity War,1638687800, 2018.00.8,1433851825,0,Avengers: Infinity War,
Avengers: Infinity War,1843523775, 2018.00.9,1638687800,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754, 2019.00,1843523775,2,Avengers: Infinity War,
Avengers: Infinity War,2048359754, 2019.00.1,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754, 2019.00.2,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754, 2019.00.3,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754, 2019.00.4,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754, 2019.00.5,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754, 2019.00.6,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754, 2019.00.7,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754, 2019.00.8,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754, 2019.00.9,2048359754,0,Avengers: Infinity War,
Avengers: Infinity War,2048359754, 2020.00,2048359754,2,Avengers: Infinity War,
The Avengers,0, 2012.00,0,1,The Avengers,
The Avengers,151881298, 2012.00.1,0,0,The Avengers,
The Avengers,303762596, 2012.00.2,151881298,0,The Avengers,
The Avengers,455643894, 2012.00.3,303762596,0,The Avengers,
The Avengers,607525192, 2012.00.4,455643894,0,The Avengers,
The Avengers,759406490, 2012.00.5,607525192,0,The Avengers,
The Avengers,911287788, 2012.00.6,759406490,0,The Avengers,
The Avengers,1063169086, 2012.00.7,911287788,0,The Avengers,
The Avengers,1215050384, 2012.00.8,1063169086,0,The Avengers,
The Avengers,1366931682, 2012.00.9,1215050384,0,The Avengers,
The Avengers,1518812988, 2013.00,1366931682,1,The Avengers,
The Avengers,1518812988, 2013.00.1,1518812988,0,The Avengers,
The Avengers,1518812988, 2013.00.2,1518812988,0,The Avengers,
The Avengers,1518812988, 2013.00.3,1518812988,0,The Avengers,
The Avengers,1518812988, 2013.00.4,1518812988,0,The Avengers,
The Avengers,1518812988, 2013.00.5,1518812988,0,The Avengers,
The Avengers,1518812988, 2013.00.6,1518812988,0,The Avengers,
The Avengers,1518812988, 2013.00.7,1518812988,0,The Avengers,
The Avengers,1518812988, 2013.00.8,1518812988,0,The Avengers,
The Avengers,1518812988, 2013.00.9,1518812988,0,The Avengers,
The Avengers,1518812988, 2014.00,1518812988,1,The Avengers,
The Avengers,1518812988, 2014.00.1,1518812988,0,The Avengers,
The Avengers,1518812988, 2014.00.2,1518812988,0,The Avengers,
The Avengers,1518812988, 2014.00.3,1518812988,0,The Avengers,
The Avengers,1518812988, 2014.00.4,1518812988,0,The Avengers,
The Avengers,1518812988, 2014.00.5,1518812988,0,The Avengers,
The Avengers,1518812988, 2014.00.6,1518812988,0,The Avengers,
The Avengers,1518812988, 2014.00.7,1518812988,0,The Avengers,
The Avengers,1518812988, 2014.00.8,1518812988,0,The Avengers,
The Avengers,1518812988, 2014.00.9,1518812988,0,The Avengers,
The Avengers,1518812988, 2015.00,1518812988,1,The Avengers,
The Avengers,1518812988, 2015.00.1,1518812988,0,The Avengers,
The Avengers,1518812988, 2015.00.2,1518812988,0,The Avengers,
The Avengers,1518812988, 2015.00.3,1518812988,0,The Avengers,
The Avengers,1518812988, 2015.00.4,1518812988,0,The Avengers,
The Avengers,1518812988, 2015.00.5,1518812988,0,The Avengers,
The Avengers,1518812988, 2015.00.6,1518812988,0,The Avengers,
The Avengers,1518812988, 2015.00.7,1518812988,0,The Avengers,
The Avengers,1518812988, 2015.00.8,1518812988,0,The Avengers,
