name,value,year,lastValue,rank,image,largeDate
Avengers: Endgame,0, 2019.00.0,0,0,Avengers: Endgame,
Avengers: Endgame,279780056, 2019.00.1,0,0,Avengers: Endgame,
Avengers: Endgame,559560112, 2019.00.2,279780056,0,Avengers: Endgame,
Avengers: Endgame,839340168, 2019.00.3,559560112,0,Avengers: Endgame,
Avengers: Endgame,1119120224, 2019.00.4,839340168,0,Avengers: Endgame,
Avengers: Endgame,1398900280, 2019.00.5,1119120224,0,Avengers: Endgame,
Avengers: Endgame,1678680336, 2019.00.6,1398900280,0,Avengers: Endgame,
Avengers: Endgame,1958460392, 2019.00.7,1678680336,0,Avengers: Endgame,
Avengers: Endgame,2238240448, 2019.00.8,1958460392,0,Avengers: Endgame,
Avengers: Endgame,2518020504, 2019.00.9,2238240448,0,Avengers: Endgame,
Avengers: Endgame,2797800564, 2020.00,2797800564,1,Avengers: Endgame,
Avatar,0, 2009.00.0,0,0,Avatar,
Avatar,274433679, 2009.00.1,0,0,Avatar,
Avatar,548867358, 2009.00.2,274433679,0,Avatar,
Avatar,823301037, 2009.00.3,548867358,0,Avatar,
Avatar,1097734716, 2009.00.4,823301037,0,Avatar,
Avatar,1372168395, 2009.00.5,1097734716,0,Avatar,
Avatar,1646602074, 2009.00.6,1372168395,0,Avatar,
Avatar,1921035753, 2009.00.7,1646602074,0,Avatar,
Avatar,2195469432, 2009.00.8,1921035753,0,Avatar,
Avatar,2469903111, 2009.00.9,2195469432,0,Avatar,
Avatar,2744336793, 2010.00,2469903111,1,Avatar,
Avatar,2744336793, 2010.00.1,2744336793,0,Avatar,
Avatar,2744336793, 2010.00.2,2744336793,0,Avatar,
Avatar,2744336793, 2010.00.3,2744336793,0,Avatar,
Avatar,2744336793, 2010.00.4,2744336793,0,Avatar,
Avatar,2744336793, 2010.00.5,2744336793,0,Avatar,
Avatar,2744336793, 2010.00.6,2744336793,0,Avatar,
Avatar,2744336793, 2010.00.7,2744336793,0,Avatar,
Avatar,2744336793, 2010.00.8,2744336793,0,Avatar,
Avatar,2744336793, 2010.00.9,2744336793,0,Avatar,
Avatar,2744336793, 2011.00,2744336793,1,Avatar,
Avatar,2744336793, 2011.00.1,2744336793,0,Avatar,
Avatar,2744336793, 2011.00.2,2744336793,0,Avatar,
Avatar,2744336793, 2011.00.3,2744336793,0,Avatar,
Avatar,2744336793, 2011.00.4,2744336793,0,Avatar,
Avatar,2744336793, 2011.00.5,2744336793,0,Avatar,
Avatar,2744336793, 2011.00.6,2744336793,0,Avatar,
Avatar,2744336793, 2011.00.7,2744336793,0,Avatar,
Avatar,2744336793, 2011.00.8,2744336793,0,Avatar,
Avatar,2744336793, 2011.00.9,2744336793,0,Avatar,
Avatar,2744336793, 2012.00,2744336793,1,Avatar,
Avatar,2744336793, 2012.00.1,2744336793,0,Avatar,
Avatar,2744336793, 2012.00.2,2744336793,0,Avatar,
Avatar,2744336793, 2012.00.3,2744336793,0,Avatar,
Avatar,2744336793, 2012.00.4,2744336793,0,Avatar,
Avatar,2744336793, 2012.00.5,2744336793,0,Avatar,
Avatar,2744336793, 2012.00.6,2744336793,0,Avatar,
Avatar,2744336793, 2012.00.7,2744336793,0,Avatar,
Avatar,2744336793, 2012.00.8,2744336793,0,Avatar,
Avatar,2744336793, 2012.00.9,2744336793,0,Avatar,
Avatar,2744336793, 2013.00,2744336793,1,Avatar,
Avatar,2744336793, 2013.00.1,2744336793,0,Avatar,
Avatar,2744336793, 2013.00.2,2744336793,0,Avatar,
Avatar,2744336793, 2013.00.3,2744336793,0,Avatar,
Avatar,2744336793, 2013.00.4,2744336793,0,Avatar,
Avatar,2744336793, 2013.00.5,2744336793,0,Avatar,
Avatar,2744336793, 2013.00.6,2744336793,0,Avatar,
Avatar,2744336793, 2013.00.7,2744336793,0,Avatar,
Avatar,2744336793, 2013.00.8,2744336793,0,Avatar,
Avatar,2744336793, 2013.00.9,2744336793,0,Avatar,
Avatar,2744336793, 2014.00,2744336793,1,Avatar,
Avatar,2744336793, 2014.00.1,2744336793,0,Avatar,
Avatar,2744336793, 2014.00.2,2744336793,0,Avatar,
Avatar,2744336793, 2014.00.3,2744336793,0,Avatar,
Avatar,2744336793, 2014.00.4,2744336793,0,Avatar,
Avatar,2744336793, 2014.00.5,2744336793,0,Avatar,
Avatar,2744336793, 2014.00.6,2744336793,0,Avatar,
Avatar,2744336793, 2014.00.7,2744336793,0,Avatar,
Avatar,2744336793, 2014.00.8,2744336793,0,Avatar,
Avatar,2744336793, 2014.00.9,2744336793,0,Avatar,
Avatar,2744336793, 2015.00,2744336793,1,Avatar,
Avatar,2744336793, 2015.00.1,2744336793,0,Avatar,
Avatar,2744336793, 2015.00.2,2744336793,0,Avatar,
Avatar,2744336793, 2015.00.3,2744336793,0,Avatar,
Avatar,2744336793, 2015.00.4,2744336793,0,Avatar,
Avatar,2744336793, 2015.00.5,2744336793,0,Avatar,
