name,value,year,lastValue,rank,image,largeDate
United Kingdom,2552,1751,2552,1,United Kingdom,
United Kingdom,2807,1751.1,2552,0,United Kingdom,
United Kingdom,3062,1751.2,2807,0,United Kingdom,
United Kingdom,3317,1751.3,3062,0,United Kingdom,
United Kingdom,3572,1751.4,3317,0,United Kingdom,
United Kingdom,3827,1751.5,3572,0,United Kingdom,
United Kingdom,4082,1751.6,3827,0,United Kingdom,
United Kingdom,4337,1751.7,4082,0,United Kingdom,
United Kingdom,4592,1751.8,4337,0,United Kingdom,
United Kingdom,4847,1751.9,4592,0,United Kingdom,
United Kingdom,5105,1752,4847,1,United Kingdom,
United Kingdom,5360,1752.1,5105,0,United Kingdom,
United Kingdom,5615,1752.2,5360,0,United Kingdom,
United Kingdom,5870,1752.3,5615,0,United Kingdom,
United Kingdom,6125,1752.4,5870,0,United Kingdom,
United Kingdom,6380,1752.5,6125,0,United Kingdom,
United Kingdom,6635,1752.6,6380,0,United Kingdom,
United Kingdom,6890,1752.7,6635,0,United Kingdom,
United Kingdom,7145,1752.8,6890,0,United Kingdom,
United Kingdom,7400,1752.9,7145,0,United Kingdom,
United Kingdom,7658,1753,7400,1,United Kingdom,
United Kingdom,7913,1753.1,7658,0,United Kingdom,
United Kingdom,8168,1753.2,7913,0,United Kingdom,
United Kingdom,8423,1753.3,8168,0,United Kingdom,
United Kingdom,8678,1753.4,8423,0,United Kingdom,
United Kingdom,8933,1753.5,8678,0,United Kingdom,
United Kingdom,9188,1753.6,8933,0,United Kingdom,
United Kingdom,9443,1753.7,9188,0,United Kingdom,
United Kingdom,9698,1753.8,9443,0,United Kingdom,
United Kingdom,9953,1753.9,9698,0,United Kingdom,
United Kingdom,10212,1754,9953,1,United Kingdom,
United Kingdom,10467,1754.1,10212,0,United Kingdom,
United Kingdom,10722,1754.2,10467,0,United Kingdom,
United Kingdom,10977,1754.3,10722,0,United Kingdom,
United Kingdom,11232,1754.4,10977,0,United Kingdom,
United Kingdom,11487,1754.5,11232,0,United Kingdom,
United Kingdom,11742,1754.6,11487,0,United Kingdom,
United Kingdom,11997,1754.7,11742,0,United Kingdom,
United Kingdom,12252,1754.8,11997,0,United Kingdom,
United Kingdom,12507,1754.9,12252,0,United Kingdom,
United Kingdom,12767,1755,12507,1,United Kingdom,
United Kingdom,13040,1755.1,12767,0,United Kingdom,
United Kingdom,13313,1755.2,13040,0,United Kingdom,
United Kingdom,13586,1755.3,13313,0,United Kingdom,
United Kingdom,13859,1755.4,13586,0,United Kingdom,
United Kingdom,14132,1755.5,13859,0,United Kingdom,
United Kingdom,14405,1755.6,14132,0,United Kingdom,
United Kingdom,14678,1755.7,14405,0,United Kingdom,
United Kingdom,14951,1755.8,14678,0,United Kingdom,
United Kingdom,15224,1755.9,14951,0,United Kingdom,
United Kingdom,15498,1756,15224,1,United Kingdom,
United Kingdom,15771,1756.1,15498,0,United Kingdom,
United Kingdom,16044,1756.2,15771,0,United Kingdom,
United Kingdom,16317,1756.3,16044,0,United Kingdom,
United Kingdom,16590,1756.4,16317,0,United Kingdom,
United Kingdom,16863,1756.5,16590,0,United Kingdom,
United Kingdom,17136,1756.6,16863,0,United Kingdom,
United Kingdom,17409,1756.7,17136,0,United Kingdom,
United Kingdom,17682,1756.8,17409,0,United Kingdom,
United Kingdom,17955,1756.9,17682,0,United Kingdom,
United Kingdom,18230,1757,17955,1,United Kingdom,
United Kingdom,18503,1757.1,18230,0,United Kingdom,
United Kingdom,18776,1757.2,18503,0,United Kingdom,
United Kingdom,19049,1757.3,18776,0,United Kingdom,
United Kingdom,19322,1757.4,19049,0,United Kingdom,
United Kingdom,19595,1757.5,19322,0,United Kingdom,
United Kingdom,19868,1757.6,19595,0,United Kingdom,
United Kingdom,20141,1757.7,19868,0,United Kingdom,
United Kingdom,20414,1757.8,20141,0,United Kingdom,
