name,value,year,lastValue,rank,image,largeDate
iPhone 11,18.650,2019,18.650,0,Apple,2019
iPhone 11,20.515,2019.1,18.650,0,Apple,2019.1
iPhone 11,22.380,2019.2,20.515,0,Apple,2019.2
iPhone 11,24.245,2019.3,22.380,0,Apple,2019.3
iPhone 11,26.110,2019.4,24.245,0,Apple,2019.4
iPhone 11,27.975,2019.5,26.110,0,Apple,2019.5
iPhone 11,29.840,2019.6,27.975,0,Apple,2019.6
iPhone 11,31.705,2019.7,29.840,0,Apple,2019.7
iPhone 11,33.570,2019.8,31.705,0,Apple,2019.8
iPhone 11,35.435,2019.9,33.570,0,Apple,2019.9
iPhone 11,37.300,2020,18.650,0,Apple,2020
iPhone 11 Pro?and?iPhone 11 Pro Max,16.550,2019,16.550,0,Apple,2019
iPhone 11 Pro?and?iPhone 11 Pro Max,18.205,2019.1,16.550,0,Apple,2019.1
iPhone 11 Pro?and?iPhone 11 Pro Max,19.860,2019.2,18.205,0,Apple,2019.2
iPhone 11 Pro?and?iPhone 11 Pro Max,21.515,2019.3,19.860,0,Apple,2019.3
iPhone 11 Pro?and?iPhone 11 Pro Max,23.170,2019.4,21.515,0,Apple,2019.4
iPhone 11 Pro?and?iPhone 11 Pro Max,24.825,2019.5,23.170,0,Apple,2019.5
iPhone 11 Pro?and?iPhone 11 Pro Max,26.480,2019.6,24.825,0,Apple,2019.6
iPhone 11 Pro?and?iPhone 11 Pro Max,28.135,2019.7,26.480,0,Apple,2019.7
iPhone 11 Pro?and?iPhone 11 Pro Max,29.790,2019.8,28.135,0,Apple,2019.8
iPhone 11 Pro?and?iPhone 11 Pro Max,31.445,2019.9,29.790,0,Apple,2019.9
iPhone 11 Pro?and?iPhone 11 Pro Max,33.100,2020,16.550,0,Apple,2020
Galaxy A10,15.150,2019,15.150,0,Samsung,2019
Galaxy A10,16.665,2019.1,15.150,0,Samsung,2019.1
Galaxy A10,18.180,2019.2,16.665,0,Samsung,2019.2
Galaxy A10,19.695,2019.3,18.180,0,Samsung,2019.3
Galaxy A10,21.210,2019.4,19.695,0,Samsung,2019.4
Galaxy A10,22.725,2019.5,21.210,0,Samsung,2019.5
Galaxy A10,24.240,2019.6,22.725,0,Samsung,2019.6
Galaxy A10,25.755,2019.7,24.240,0,Samsung,2019.7
Galaxy A10,27.270,2019.8,25.755,0,Samsung,2019.8
Galaxy A10,28.785,2019.9,27.270,0,Samsung,2019.9
Galaxy A10,30.300,2020,15.150,0,Samsung,2020
Galaxy A50,12.100,2019,12.100,0,Samsung,2019
Galaxy A50,13.310,2019.1,12.100,0,Samsung,2019.1
Galaxy A50,14.520,2019.2,13.310,0,Samsung,2019.2
Galaxy A50,15.730,2019.3,14.520,0,Samsung,2019.3
Galaxy A50,16.940,2019.4,15.730,0,Samsung,2019.4
Galaxy A50,18.150,2019.5,16.940,0,Samsung,2019.5
Galaxy A50,19.360,2019.6,18.150,0,Samsung,2019.6
Galaxy A50,20.570,2019.7,19.360,0,Samsung,2019.7
Galaxy A50,21.780,2019.8,20.570,0,Samsung,2019.8
Galaxy A50,22.990,2019.9,21.780,0,Samsung,2019.9
Galaxy A50,24.200,2020,12.100,0,Samsung,2020
Galaxy A20,11.550,2019,11.550,0,Samsung,2019
Galaxy A20,12.705,2019.1,11.550,0,Samsung,2019.1
Galaxy A20,13.860,2019.2,12.705,0,Samsung,2019.2
Galaxy A20,15.015,2019.3,13.860,0,Samsung,2019.3
Galaxy A20,16.170,2019.4,15.015,0,Samsung,2019.4
Galaxy A20,17.325,2019.5,16.170,0,Samsung,2019.5
Galaxy A20,18.480,2019.6,17.325,0,Samsung,2019.6
Galaxy A20,19.635,2019.7,18.480,0,Samsung,2019.7
Galaxy A20,20.790,2019.8,19.635,0,Samsung,2019.8
Galaxy A20,21.945,2019.9,20.790,0,Samsung,2019.9
Galaxy A20,23.100,2020,11.550,0,Samsung,2020
Redmi Note 7?and?Redmi Note 7 Pro,10.000,2019,10.000,0,Xiaomi,2019
Redmi Note 7?and?Redmi Note 7 Pro,11.000,2019.1,10.000,0,Xiaomi,2019.1
Redmi Note 7?and?Redmi Note 7 Pro,12.000,2019.2,11.000,0,Xiaomi,2019.2
Redmi Note 7?and?Redmi Note 7 Pro,13.000,2019.3,12.000,0,Xiaomi,2019.3
Redmi Note 7?and?Redmi Note 7 Pro,14.000,2019.4,13.000,0,Xiaomi,2019.4
Redmi Note 7?and?Redmi Note 7 Pro,15.000,2019.5,14.000,0,Xiaomi,2019.5
Redmi Note 7?and?Redmi Note 7 Pro,16.000,2019.6,15.000,0,Xiaomi,2019.6
Redmi Note 7?and?Redmi Note 7 Pro,17.000,2019.7,16.000,0,Xiaomi,2019.7
Redmi Note 7?and?Redmi Note 7 Pro,18.000,2019.8,17.000,0,Xiaomi,2019.8
Redmi Note 7?and?Redmi Note 7 Pro,19.000,2019.9,18.000,0,Xiaomi,2019.9
Redmi Note 7?and?Redmi Note 7 Pro,20.000,2020,10.000,0,Xiaomi,2020
P30?and?P30 Pro,10.000,2019,10.000,0,Huawei,2019
P30?and?P30 Pro,11.000,2019.1,10.000,0,Huawei,2019.1
P30?and?P30 Pro,12.000,2019.2,11.000,0,Huawei,2019.2
P30?and?P30 Pro,13.000,2019.3,12.000,0,Huawei,2019.3
P30?and?P30 Pro,14.000,2019.4,13.000,0,Huawei,2019.4
P30?and?P30 Pro,15.000,2019.5,14.000,0,Huawei,2019.5
P30?and?P30 Pro,16.000,2019.6,15.000,0,Huawei,2019.6
P30?and?P30 Pro,17.000,2019.7,16.000,0,Huawei,2019.7
P30?and?P30 Pro,18.000,2019.8,17.000,0,Huawei,2019.8
