name,value,year,lastValue,rank,image,largeDate
iPhone 11,37.300,2019,37.300,0,Apple,2019
iPhone 11,37.300,2019.1,37.300,0,Apple,2019
iPhone 11,37.300,2019.2,37.300,0,Apple,2019
iPhone 11,37.300,2019.3,37.300,0,Apple,2019
iPhone 11,37.300,2019.4,37.300,0,Apple,2019
iPhone 11,37.300,2019.5,37.300,0,Apple,2019
iPhone 11,37.300,2019.6,37.300,0,Apple,2019
iPhone 11,37.300,2019.7,37.300,0,Apple,2019
iPhone 11,37.300,2019.8,37.300,0,Apple,2019
iPhone 11,37.300,2019.9,37.300,0,Apple,2019
iPhone 11,37.300,2020,37.300,0,Apple,2019
iPhone 11 Pro?and?iPhone 11 Pro Max,33.100,2019,33.100,0,Apple,2019
iPhone 11 Pro?and?iPhone 11 Pro Max,33.100,2019.1,33.100,0,Apple,2019
iPhone 11 Pro?and?iPhone 11 Pro Max,33.100,2019.2,33.100,0,Apple,2019
iPhone 11 Pro?and?iPhone 11 Pro Max,33.100,2019.3,33.100,0,Apple,2019
iPhone 11 Pro?and?iPhone 11 Pro Max,33.100,2019.4,33.100,0,Apple,2019
iPhone 11 Pro?and?iPhone 11 Pro Max,33.100,2019.5,33.100,0,Apple,2019
iPhone 11 Pro?and?iPhone 11 Pro Max,33.100,2019.6,33.100,0,Apple,2019
iPhone 11 Pro?and?iPhone 11 Pro Max,33.100,2019.7,33.100,0,Apple,2019
iPhone 11 Pro?and?iPhone 11 Pro Max,33.100,2019.8,33.100,0,Apple,2019
iPhone 11 Pro?and?iPhone 11 Pro Max,33.100,2019.9,33.100,0,Apple,2019
iPhone 11 Pro?and?iPhone 11 Pro Max,33.100,2020,33.100,0,Apple,2019
Galaxy A10,30.300,2019,30.300,0,Samsung,2019
Galaxy A10,30.300,2019.1,30.300,0,Samsung,2019
Galaxy A10,30.300,2019.2,30.300,0,Samsung,2019
Galaxy A10,30.300,2019.3,30.300,0,Samsung,2019
Galaxy A10,30.300,2019.4,30.300,0,Samsung,2019
Galaxy A10,30.300,2019.5,30.300,0,Samsung,2019
Galaxy A10,30.300,2019.6,30.300,0,Samsung,2019
Galaxy A10,30.300,2019.7,30.300,0,Samsung,2019
Galaxy A10,30.300,2019.8,30.300,0,Samsung,2019
Galaxy A10,30.300,2019.9,30.300,0,Samsung,2019
Galaxy A10,30.300,2020,30.300,0,Samsung,2019
Galaxy A50,24.200,2019,24.200,0,Samsung,2019
Galaxy A50,24.200,2019.1,24.200,0,Samsung,2019
Galaxy A50,24.200,2019.2,24.200,0,Samsung,2019
