name,value,year,lastValue,rank,image,largeDate
iPhone 11,12.433,2019,12.433,0,Apple,2019
iPhone 11,13.677,2019.1,12.433,0,Apple,2019.1
iPhone 11,14.92,2019.2,13.677,0,Apple,2019.2
iPhone 11,16.163,2019.3,14.92,0,Apple,2019.3
iPhone 11,17.407,2019.4,16.163,0,Apple,2019.4
iPhone 11,18.65,2019.5,17.407,0,Apple,2019.5
iPhone 11,19.893,2019.6,18.65,0,Apple,2019.6
iPhone 11,21.137,2019.7,19.893,0,Apple,2019.7
iPhone 11,22.38,2019.8,21.137,0,Apple,2019.8
iPhone 11,23.623,2019.9,22.38,0,Apple,2019.9
iPhone 11,24.867,2020,23.623,0,Apple,2020
iPhone 11,26.11,2020.1,24.867,0,Apple,2020.1
iPhone 11,27.353,2020.2,26.11,0,Apple,2020.2
iPhone 11,28.597,2020.3,27.353,0,Apple,2020.3
iPhone 11,29.84,2020.4,28.597,0,Apple,2020.4
iPhone 11,31.083,2020.5,29.84,0,Apple,2020.5
iPhone 11,32.327,2020.6,31.083,0,Apple,2020.6
iPhone 11,33.57,2020.7,32.327,0,Apple,2020.7
iPhone 11,34.813,2020.8,33.57,0,Apple,2020.8
iPhone 11,36.057,2020.9,34.813,0,Apple,2020.9
iPhone 11,37.3,2021,24.867,0,Apple,2021
iPhone 11 Pro,11.033,2019,11.033,0,Apple,2019
iPhone 11 Pro,12.137,2019.1,11.033,0,Apple,2019.1
iPhone 11 Pro,13.24,2019.2,12.137,0,Apple,2019.2
iPhone 11 Pro,14.343,2019.3,13.24,0,Apple,2019.3
iPhone 11 Pro,15.447,2019.4,14.343,0,Apple,2019.4
iPhone 11 Pro,16.55,2019.5,15.447,0,Apple,2019.5
iPhone 11 Pro,17.653,2019.6,16.55,0,Apple,2019.6
iPhone 11 Pro,18.757,2019.7,17.653,0,Apple,2019.7
iPhone 11 Pro,19.86,2019.8,18.757,0,Apple,2019.8
iPhone 11 Pro,20.963,2019.9,19.86,0,Apple,2019.9
iPhone 11 Pro,22.067,2020,20.963,0,Apple,2020
iPhone 11 Pro,23.17,2020.1,22.067,0,Apple,2020.1
iPhone 11 Pro,24.273,2020.2,23.17,0,Apple,2020.2
iPhone 11 Pro,25.377,2020.3,24.273,0,Apple,2020.3
iPhone 11 Pro,26.48,2020.4,25.377,0,Apple,2020.4
iPhone 11 Pro,27.583,2020.5,26.48,0,Apple,2020.5
iPhone 11 Pro,28.687,2020.6,27.583,0,Apple,2020.6
iPhone 11 Pro,29.79,2020.7,28.687,0,Apple,2020.7
iPhone 11 Pro,30.893,2020.8,29.79,0,Apple,2020.8
iPhone 11 Pro,31.997,2020.9,30.893,0,Apple,2020.9
iPhone 11 Pro,33.1,2021,22.067,0,Apple,2021
Galaxy A10,10.1,2019,10.1,0,Samsung,2019
Galaxy A10,11.11,2019.1,10.1,0,Samsung,2019.1
Galaxy A10,12.12,2019.2,11.11,0,Samsung,2019.2
Galaxy A10,13.13,2019.3,12.12,0,Samsung,2019.3
Galaxy A10,14.14,2019.4,13.13,0,Samsung,2019.4
Galaxy A10,15.15,2019.5,14.14,0,Samsung,2019.5
Galaxy A10,16.16,2019.6,15.15,0,Samsung,2019.6
Galaxy A10,17.17,2019.7,16.16,0,Samsung,2019.7
Galaxy A10,18.18,2019.8,17.17,0,Samsung,2019.8
Galaxy A10,19.19,2019.9,18.18,0,Samsung,2019.9
Galaxy A10,20.2,2020,19.19,0,Samsung,2020
Galaxy A10,21.21,2020.1,20.2,0,Samsung,2020.1
Galaxy A10,22.22,2020.2,21.21,0,Samsung,2020.2
Galaxy A10,23.23,2020.3,22.22,0,Samsung,2020.3
Galaxy A10,24.24,2020.4,23.23,0,Samsung,2020.4
Galaxy A10,25.25,2020.5,24.24,0,Samsung,2020.5
Galaxy A10,26.26,2020.6,25.25,0,Samsung,2020.6
Galaxy A10,27.27,2020.7,26.26,0,Samsung,2020.7
Galaxy A10,28.28,2020.8,27.27,0,Samsung,2020.8
Galaxy A10,29.29,2020.9,28.28,0,Samsung,2020.9
Galaxy A10,30.3,2021,20.2,0,Samsung,2021
Galaxy A50,8.067,2019,8.067,0,Samsung,2019
Galaxy A50,8.873,2019.1,8.067,0,Samsung,2019.1
Galaxy A50,9.68,2019.2,8.873,0,Samsung,2019.2
Galaxy A50,10.487,2019.3,9.68,0,Samsung,2019.3
Galaxy A50,11.293,2019.4,10.487,0,Samsung,2019.4
Galaxy A50,12.1,2019.5,11.293,0,Samsung,2019.5
Galaxy A50,12.907,2019.6,12.1,0,Samsung,2019.6
Galaxy A50,13.713,2019.7,12.907,0,Samsung,2019.7
Galaxy A50,14.52,2019.8,13.713,0,Samsung,2019.8
Galaxy A50,15.327,2019.9,14.52,0,Samsung,2019.9
Galaxy A50,16.133,2020,15.327,0,Samsung,2020
Galaxy A50,16.94,2020.1,16.133,0,Samsung,2020.1
Galaxy A50,17.747,2020.2,16.94,0,Samsung,2020.2
Galaxy A50,18.553,2020.3,17.747,0,Samsung,2020.3
Galaxy A50,19.36,2020.4,18.553,0,Samsung,2020.4
Galaxy A50,20.167,2020.5,19.36,0,Samsung,2020.5
Galaxy A50,20.973,2020.6,20.167,0,Samsung,2020.6
Galaxy A50,21.78,2020.7,20.973,0,Samsung,2020.7
Galaxy A50,22.587,2020.8,21.78,0,Samsung,2020.8
Galaxy A50,23.393,2020.9,22.587,0,Samsung,2020.9
Galaxy A50,24.2,2021,16.133,0,Samsung,2021
Galaxy A20,7.7,2019,7.7,0,Samsung,2019
Galaxy A20,8.47,2019.1,7.7,0,Samsung,2019.1
Galaxy A20,9.24,2019.2,8.47,0,Samsung,2019.2
Galaxy A20,10.01,2019.3,9.24,0,Samsung,2019.3
Galaxy A20,10.78,2019.4,10.01,0,Samsung,2019.4
