name,value,year,lastValue,rank,image,largeDate
iPhone 11,0,2018,0,0,Apple,
iPhone 11,1.865,2018.1,0,0,Apple,2018.1
iPhone 11,3.73,2018.2,1.865,0,Apple,2018.2
iPhone 11,5.595,2018.3,3.73,0,Apple,2018.3
iPhone 11,7.46,2018.4,5.595,0,Apple,2018.4
iPhone 11,9.325,2018.5,7.46,0,Apple,2018.5
iPhone 11,11.19,2018.6,9.325,0,Apple,2018.6
iPhone 11,13.055,2018.7,11.19,0,Apple,2018.7
iPhone 11,14.92,2018.8,13.055,0,Apple,2018.8
iPhone 11,16.785,2018.9,14.92,0,Apple,2018.9
iPhone 11,18.65,2019,16.785,0,Apple,2019
iPhone 11,20.515,2019.1,18.65,0,Apple,2019.1
iPhone 11,22.38,2019.2,20.515,0,Apple,2019.2
iPhone 11,24.245,2019.3,22.38,0,Apple,2019.3
iPhone 11,26.11,2019.4,24.245,0,Apple,2019.4
iPhone 11,27.975,2019.5,26.11,0,Apple,2019.5
iPhone 11,29.84,2019.6,27.975,0,Apple,2019.6
iPhone 11,31.705,2019.7,29.84,0,Apple,2019.7
iPhone 11,33.57,2019.8,31.705,0,Apple,2019.8
iPhone 11,35.435,2019.9,33.57,0,Apple,2019.9
iPhone 11,37.3,2020,18.65,0,Apple,2020
iPhone 11 Pro,0,2018,0,0,Apple,
iPhone 11 Pro,1.655,2018.1,0,0,Apple,2018.1
iPhone 11 Pro,3.31,2018.2,1.655,0,Apple,2018.2
iPhone 11 Pro,4.965,2018.3,3.31,0,Apple,2018.3
iPhone 11 Pro,6.62,2018.4,4.965,0,Apple,2018.4
iPhone 11 Pro,8.275,2018.5,6.62,0,Apple,2018.5
iPhone 11 Pro,9.93,2018.6,8.275,0,Apple,2018.6
iPhone 11 Pro,11.585,2018.7,9.93,0,Apple,2018.7
iPhone 11 Pro,13.24,2018.8,11.585,0,Apple,2018.8
iPhone 11 Pro,14.895,2018.9,13.24,0,Apple,2018.9
iPhone 11 Pro,16.55,2019,14.895,0,Apple,2019
iPhone 11 Pro,18.205,2019.1,16.55,0,Apple,2019.1
iPhone 11 Pro,19.86,2019.2,18.205,0,Apple,2019.2
iPhone 11 Pro,21.515,2019.3,19.86,0,Apple,2019.3
iPhone 11 Pro,23.17,2019.4,21.515,0,Apple,2019.4
iPhone 11 Pro,24.825,2019.5,23.17,0,Apple,2019.5
iPhone 11 Pro,26.48,2019.6,24.825,0,Apple,2019.6
iPhone 11 Pro,28.135,2019.7,26.48,0,Apple,2019.7
iPhone 11 Pro,29.79,2019.8,28.135,0,Apple,2019.8
iPhone 11 Pro,31.445,2019.9,29.79,0,Apple,2019.9
iPhone 11 Pro,33.1,2020,16.55,0,Apple,2020
Galaxy A10,0,2018,0,0,Samsung,
Galaxy A10,1.515,2018.1,0,0,Samsung,2018.1
Galaxy A10,3.03,2018.2,1.515,0,Samsung,2018.2
Galaxy A10,4.545,2018.3,3.03,0,Samsung,2018.3
Galaxy A10,6.06,2018.4,4.545,0,Samsung,2018.4
Galaxy A10,7.575,2018.5,6.06,0,Samsung,2018.5
Galaxy A10,9.09,2018.6,7.575,0,Samsung,2018.6
Galaxy A10,10.605,2018.7,9.09,0,Samsung,2018.7
Galaxy A10,12.12,2018.8,10.605,0,Samsung,2018.8
Galaxy A10,13.635,2018.9,12.12,0,Samsung,2018.9
Galaxy A10,15.15,2019,13.635,0,Samsung,2019
Galaxy A10,16.665,2019.1,15.15,0,Samsung,2019.1
Galaxy A10,18.18,2019.2,16.665,0,Samsung,2019.2
Galaxy A10,19.695,2019.3,18.18,0,Samsung,2019.3
Galaxy A10,21.21,2019.4,19.695,0,Samsung,2019.4
Galaxy A10,22.725,2019.5,21.21,0,Samsung,2019.5
Galaxy A10,24.24,2019.6,22.725,0,Samsung,2019.6
Galaxy A10,25.755,2019.7,24.24,0,Samsung,2019.7
Galaxy A10,27.27,2019.8,25.755,0,Samsung,2019.8
Galaxy A10,28.785,2019.9,27.27,0,Samsung,2019.9
Galaxy A10,30.3,2020,15.15,0,Samsung,2020
Galaxy A50,0,2018,0,0,Samsung,
Galaxy A50,1.21,2018.1,0,0,Samsung,2018.1
Galaxy A50,2.42,2018.2,1.21,0,Samsung,2018.2
Galaxy A50,3.63,2018.3,2.42,0,Samsung,2018.3
Galaxy A50,4.84,2018.4,3.63,0,Samsung,2018.4
Galaxy A50,6.05,2018.5,4.84,0,Samsung,2018.5
Galaxy A50,7.26,2018.6,6.05,0,Samsung,2018.6
Galaxy A50,8.47,2018.7,7.26,0,Samsung,2018.7
Galaxy A50,9.68,2018.8,8.47,0,Samsung,2018.8
Galaxy A50,10.89,2018.9,9.68,0,Samsung,2018.9
Galaxy A50,12.1,2019,10.89,0,Samsung,2019
Galaxy A50,13.31,2019.1,12.1,0,Samsung,2019.1
Galaxy A50,14.52,2019.2,13.31,0,Samsung,2019.2
Galaxy A50,15.73,2019.3,14.52,0,Samsung,2019.3
Galaxy A50,16.94,2019.4,15.73,0,Samsung,2019.4
Galaxy A50,18.15,2019.5,16.94,0,Samsung,2019.5
Galaxy A50,19.36,2019.6,18.15,0,Samsung,2019.6
Galaxy A50,20.57,2019.7,19.36,0,Samsung,2019.7
Galaxy A50,21.78,2019.8,20.57,0,Samsung,2019.8
Galaxy A50,22.99,2019.9,21.78,0,Samsung,2019.9
Galaxy A50,24.2,2020,12.1,0,Samsung,2020
Galaxy A20,0,2018,0,0,Samsung,
