name,value,year,lastValue,rank,image,largeDate
iPhone 11,12.433,2019,12.433,0,Apple,2019
iPhone 11,13.677,2019.1,12.433,0,Apple,2019.1
iPhone 11,14.920,2019.2,13.677,0,Apple,2019.2
iPhone 11,16.163,2019.3,14.920,0,Apple,2019.3
iPhone 11,17.407,2019.4,16.163,0,Apple,2019.4
iPhone 11,18.650,2019.5,17.407,0,Apple,2019.5
iPhone 11,19.893,2019.6,18.650,0,Apple,2019.6
iPhone 11,21.137,2019.7,19.893,0,Apple,2019.7
iPhone 11,22.380,2019.8,21.137,0,Apple,2019.8
iPhone 11,23.623,2019.9,22.380,0,Apple,2019.9
iPhone 11,24.867,2020,23.623,0,Apple,2020
iPhone 11,26.110,2020.1,24.867,0,Apple,2020.1
iPhone 11,27.353,2020.2,26.110,0,Apple,2020.2
iPhone 11,28.597,2020.3,27.353,0,Apple,2020.3
iPhone 11,29.840,2020.4,28.597,0,Apple,2020.4
iPhone 11,31.083,2020.5,29.840,0,Apple,2020.5
iPhone 11,32.327,2020.6,31.083,0,Apple,2020.6
iPhone 11,33.570,2020.7,32.327,0,Apple,2020.7
iPhone 11,34.813,2020.8,33.570,0,Apple,2020.8
iPhone 11,36.057,2020.9,34.813,0,Apple,2020.9
iPhone 11,37.300,2021,24.867,0,Apple,2021
iPhone 11 Pro?and?iPhone 11 Pro Max,11.033,2019,11.033,0,Apple,2019
iPhone 11 Pro?and?iPhone 11 Pro Max,12.137,2019.1,11.033,0,Apple,2019.1
iPhone 11 Pro?and?iPhone 11 Pro Max,13.240,2019.2,12.137,0,Apple,2019.2
iPhone 11 Pro?and?iPhone 11 Pro Max,14.343,2019.3,13.240,0,Apple,2019.3
iPhone 11 Pro?and?iPhone 11 Pro Max,15.447,2019.4,14.343,0,Apple,2019.4
iPhone 11 Pro?and?iPhone 11 Pro Max,16.550,2019.5,15.447,0,Apple,2019.5
iPhone 11 Pro?and?iPhone 11 Pro Max,17.653,2019.6,16.550,0,Apple,2019.6
iPhone 11 Pro?and?iPhone 11 Pro Max,18.757,2019.7,17.653,0,Apple,2019.7
iPhone 11 Pro?and?iPhone 11 Pro Max,19.860,2019.8,18.757,0,Apple,2019.8
iPhone 11 Pro?and?iPhone 11 Pro Max,20.963,2019.9,19.860,0,Apple,2019.9
iPhone 11 Pro?and?iPhone 11 Pro Max,22.067,2020,20.963,0,Apple,2020
iPhone 11 Pro?and?iPhone 11 Pro Max,23.170,2020.1,22.067,0,Apple,2020.1
iPhone 11 Pro?and?iPhone 11 Pro Max,24.273,2020.2,23.170,0,Apple,2020.2
iPhone 11 Pro?and?iPhone 11 Pro Max,25.377,2020.3,24.273,0,Apple,2020.3
iPhone 11 Pro?and?iPhone 11 Pro Max,26.480,2020.4,25.377,0,Apple,2020.4
iPhone 11 Pro?and?iPhone 11 Pro Max,27.583,2020.5,26.480,0,Apple,2020.5
iPhone 11 Pro?and?iPhone 11 Pro Max,28.687,2020.6,27.583,0,Apple,2020.6
iPhone 11 Pro?and?iPhone 11 Pro Max,29.790,2020.7,28.687,0,Apple,2020.7
iPhone 11 Pro?and?iPhone 11 Pro Max,30.893,2020.8,29.790,0,Apple,2020.8
iPhone 11 Pro?and?iPhone 11 Pro Max,31.997,2020.9,30.893,0,Apple,2020.9
iPhone 11 Pro?and?iPhone 11 Pro Max,33.100,2021,22.067,0,Apple,2021
Galaxy A10,10.100,2019,10.100,0,Samsung,2019
Galaxy A10,11.110,2019.1,10.100,0,Samsung,2019.1
Galaxy A10,12.120,2019.2,11.110,0,Samsung,2019.2
Galaxy A10,13.130,2019.3,12.120,0,Samsung,2019.3
Galaxy A10,14.140,2019.4,13.130,0,Samsung,2019.4
Galaxy A10,15.150,2019.5,14.140,0,Samsung,2019.5
Galaxy A10,16.160,2019.6,15.150,0,Samsung,2019.6
Galaxy A10,17.170,2019.7,16.160,0,Samsung,2019.7
Galaxy A10,18.180,2019.8,17.170,0,Samsung,2019.8
Galaxy A10,19.190,2019.9,18.180,0,Samsung,2019.9
Galaxy A10,20.200,2020,19.190,0,Samsung,2020
Galaxy A10,21.210,2020.1,20.200,0,Samsung,2020.1
Galaxy A10,22.220,2020.2,21.210,0,Samsung,2020.2
Galaxy A10,23.230,2020.3,22.220,0,Samsung,2020.3
Galaxy A10,24.240,2020.4,23.230,0,Samsung,2020.4
Galaxy A10,25.250,2020.5,24.240,0,Samsung,2020.5
Galaxy A10,26.260,2020.6,25.250,0,Samsung,2020.6
Galaxy A10,27.270,2020.7,26.260,0,Samsung,2020.7
Galaxy A10,28.280,2020.8,27.270,0,Samsung,2020.8
Galaxy A10,29.290,2020.9,28.280,0,Samsung,2020.9
Galaxy A10,30.300,2021,20.200,0,Samsung,2021
Galaxy A50,8.067,2019,8.067,0,Samsung,2019
Galaxy A50,8.873,2019.1,8.067,0,Samsung,2019.1
Galaxy A50,9.680,2019.2,8.873,0,Samsung,2019.2
Galaxy A50,10.487,2019.3,9.680,0,Samsung,2019.3
Galaxy A50,11.293,2019.4,10.487,0,Samsung,2019.4
Galaxy A50,12.100,2019.5,11.293,0,Samsung,2019.5
Galaxy A50,12.907,2019.6,12.100,0,Samsung,2019.6
Galaxy A50,13.713,2019.7,12.907,0,Samsung,2019.7
Galaxy A50,14.520,2019.8,13.713,0,Samsung,2019.8
Galaxy A50,15.327,2019.9,14.520,0,Samsung,2019.9
Galaxy A50,16.133,2020,15.327,0,Samsung,2020
Galaxy A50,16.940,2020.1,16.133,0,Samsung,2020.1
Galaxy A50,17.747,2020.2,16.940,0,Samsung,2020.2
Galaxy A50,18.553,2020.3,17.747,0,Samsung,2020.3
Galaxy A50,19.360,2020.4,18.553,0,Samsung,2020.4
Galaxy A50,20.167,2020.5,19.360,0,Samsung,2020.5
