name,value,year,lastValue,rank,image,largeDate
Asia,1404909.0, 1950.00,1404909.0,1,, 1950.00
Asia,1435819.0, 1951.00,1404909.0,1,, 1951.00
Asia,1464834.0, 1952.00,1435819.0,1,, 1952.00
Asia,1492895.0, 1953.00,1464834.0,1,, 1953.00
Asia,1520768.0, 1954.00,1492895.0,1,, 1954.00
Asia,1549042.0, 1955.00,1520768.0,1,, 1955.00
Asia,1578122.0, 1956.00,1549042.0,1,, 1956.00
Asia,1608237.0, 1957.00,1578122.0,1,, 1957.00
Asia,1639461.0, 1958.00,1608237.0,1,, 1958.00
Asia,1671748.0, 1959.00,1639461.0,1,, 1959.00
Asia,1705041.0, 1960.00,1671748.0,1,, 1960.00
Asia,1739386.0, 1961.00,1705041.0,1,, 1961.00
Asia,1775031.0, 1962.00,1739386.0,1,, 1962.00
Asia,1812470.0, 1963.00,1775031.0,1,, 1963.00
Asia,1852323.0, 1964.00,1812470.0,1,, 1964.00
Asia,1894974.0, 1965.00,1852323.0,1,, 1965.00
Asia,1940602.0, 1966.00,1894974.0,1,, 1966.00
Asia,1988923.0, 1967.00,1940602.0,1,, 1967.00
Asia,2039270.0, 1968.00,1988923.0,1,, 1968.00
Asia,2090702.0, 1969.00,2039270.0,1,, 1969.00
Asia,2142480.0, 1970.00,2090702.0,1,, 1970.00
Asia,2194451.0, 1971.00,2142480.0,1,, 1971.00
Asia,2246636.0, 1972.00,2194451.0,1,, 1972.00
Asia,2298696.0, 1973.00,2246636.0,1,, 1973.00
Asia,2350279.0, 1974.00,2298696.0,1,, 1974.00
Asia,2401171.0, 1975.00,2350279.0,1,, 1975.00
Asia,2451184.0, 1976.00,2401171.0,1,, 1976.00
Asia,2500444.0, 1977.00,2451184.0,1,, 1977.00
Asia,2549466.0, 1978.00,2500444.0,1,, 1978.00
Asia,2598988.0, 1979.00,2549466.0,1,, 1979.00
Asia,2649578.0, 1980.00,2598988.0,1,, 1980.00
Asia,2701225.0, 1981.00,2649578.0,1,, 1981.00
Asia,2753838.0, 1982.00,2701225.0,1,, 1982.00
Asia,2807785.0, 1983.00,2753838.0,1,, 1983.00
Asia,2863497.0, 1984.00,2807785.0,1,, 1984.00
Asia,2921173.0, 1985.00,2863497.0,1,, 1985.00
Asia,2981064.0, 1986.00,2921173.0,1,, 1986.00
Asia,3042806.0, 1987.00,2981064.0,1,, 1987.00
Asia,3105220.0, 1988.00,3042806.0,1,, 1988.00
Asia,3166706.0, 1989.00,3105220.0,1,, 1989.00
Asia,3226099.0, 1990.00,3166706.0,1,, 1990.00
Asia,3282945.0, 1991.00,3226099.0,1,, 1991.00
Asia,3337512.0, 1992.00,3282945.0,1,, 1992.00
Asia,3390245.0, 1993.00,3337512.0,1,, 1993.00
Asia,3441913.0, 1994.00,3390245.0,1,, 1994.00
Asia,3493087.0, 1995.00,3441913.0,1,, 1995.00
Asia,3543851.0, 1996.00,3493087.0,1,, 1996.00
Asia,3594033.0, 1997.00,3543851.0,1,, 1997.00
Asia,3643663.0, 1998.00,3594033.0,1,, 1998.00
Asia,3692736.0, 1999.00,3643663.0,1,, 1999.00
Asia,3741263.0, 2000.00,3692736.0,1,, 2000.00
Asia,3789285.0, 2001.00,3741263.0,1,, 2001.00
Asia,3836880.0, 2002.00,3789285.0,1,, 2002.00
Asia,3884135.0, 2003.00,3836880.0,1,, 2003.00
Asia,3931146.0, 2004.00,3884135.0,1,, 2004.00
Asia,3977986.0, 2005.00,3931146.0,1,, 2005.00
Asia,4024680.0, 2006.00,3977986.0,1,, 2006.00
Asia,4071215.0, 2007.00,4024680.0,1,, 2007.00
Asia,4117572.0, 2008.00,4071215.0,1,, 2008.00
Asia,4163713.0, 2009.00,4117572.0,1,, 2009.00
Asia,4209594.0, 2010.00,4163713.0,1,, 2010.00
Asia,4255190.0, 2011.00,4209594.0,1,, 2011.00
Asia,4300462.0, 2012.00,4255190.0,1,, 2012.00
Asia,4345331.0, 2013.00,4300462.0,1,, 2013.00
Asia,4389699.0, 2014.00,4345331.0,1,, 2014.00
Asia,4433475.0, 2015.00,4389699.0,1,, 2015.00
Asia,4476608.0, 2016.00,4433475.0,1,, 2016.00
Asia,4519040.0, 2017.00,4476608.0,1,, 2017.00
Asia,4560667.0, 2018.00,4519040.0,1,, 2018.00
Asia,4601371.0, 2019.00,4560667.0,1,, 2019.00
Asia,4641055.0, 2020.00,4601371.0,1,, 2020.00
Africa,227794.0, 1950.00,227794.0,3,, 1950.00
Africa,232328.0, 1951.00,227794.0,3,, 1951.00
Africa,237097.0, 1952.00,232328.0,3,, 1952.00
Africa,242092.0, 1953.00,237097.0,3,, 1953.00
Africa,247311.0, 1954.00,242092.0,3,, 1954.00
Africa,252749.0, 1955.00,247311.0,3,, 1955.00
Africa,258408.0, 1956.00,252749.0,3,, 1956.00
Africa,264292.0, 1957.00,258408.0,3,, 1957.00
Africa,270407.0, 1958.00,264292.0,3,, 1958.00
Africa,276761.0, 1959.00,270407.0,3,, 1959.00
Africa,283361.0, 1960.00,276761.0,3,, 1960.00
Africa,290214.0, 1961.00,283361.0,3,, 1961.00
Africa,297323.0, 1962.00,290214.0,3,, 1962.00
Africa,304683.0, 1963.00,297323.0,3,, 1963.00
Africa,312292.0, 1964.00,304683.0,3,, 1964.00
Africa,320147.0, 1965.00,312292.0,3,, 1965.00
Africa,328257.0, 1966.00,320147.0,3,, 1966.00
Africa,336631.0, 1967.00,328257.0,3,, 1967.00
Africa,345280.0, 1968.00,336631.0,3,, 1968.00
Africa,354215.0, 1969.00,345280.0,3,, 1969.00
Africa,363448.0, 1970.00,354215.0,3,, 1970.00
Africa,372984.0, 1971.00,363448.0,3,, 1971.00
Africa,382838.0, 1972.00,372984.0,3,, 1972.00
Africa,393044.0, 1973.00,382838.0,3,, 1973.00
Africa,403646.0, 1974.00,393044.0,3,, 1974.00
Africa,414675.0, 1975.00,403646.0,3,, 1975.00
Africa,426144.0, 1976.00,414675.0,3,, 1976.00
Africa,438055.0, 1977.00,426144.0,3,, 1977.00
Africa,450404.0, 1978.00,438055.0,3,, 1978.00
Africa,463184.0, 1979.00,450404.0,3,, 1979.00
Africa,476386.0, 1980.00,463184.0,3,, 1980.00
Africa,490004.0, 1981.00,476386.0,3,, 1981.00
Africa,504034.0, 1982.00,490004.0,3,, 1982.00
Africa,518480.0, 1983.00,504034.0,3,, 1983.00
Africa,533345.0, 1984.00,518480.0,3,, 1984.00
Africa,548626.0, 1985.00,533345.0,3,, 1985.00
Africa,564327.0, 1986.00,548626.0,3,, 1986.00
Africa,580424.0, 1987.00,564327.0,3,, 1987.00
Africa,596849.0, 1988.00,580424.0,3,, 1988.00
Africa,613512.0, 1989.00,596849.0,3,, 1989.00
Africa,630350.0, 1990.00,613512.0,3,, 1990.00
Africa,647344.0, 1991.00,630350.0,3,, 1991.00
Africa,664512.0, 1992.00,647344.0,3,, 1992.00
Africa,681869.0, 1993.00,664512.0,3,, 1993.00
