name,value,year,lastValue,rank,image,largeDate
Win10,0.000,200301,0.000,8,null,
Win10,0.000,200301.1,0.000,0,null,
Win10,0.000,200301.2,0.000,0,null,
Win10,0.000,200301.3,0.000,0,null,
Win10,0.000,200301.4,0.000,0,null,
Win10,0.000,200301.5,0.000,0,null,
Win10,0.000,200301.6,0.000,0,null,
Win10,0.000,200301.7,0.000,0,null,
Win10,0.000,200301.8,0.000,0,null,
Win10,0.000,200301.9,0.000,0,null,
Win10,0.000,200302,0.000,8,null,
Win10,0.000,200302.1,0.000,0,null,
Win10,0.000,200302.2,0.000,0,null,
Win10,0.000,200302.3,0.000,0,null,
Win10,0.000,200302.4,0.000,0,null,
Win10,0.000,200302.5,0.000,0,null,
Win10,0.000,200302.6,0.000,0,null,
Win10,0.000,200302.7,0.000,0,null,
Win10,0.000,200302.8,0.000,0,null,
Win10,0.000,200302.9,0.000,0,null,
Win10,0.000,200303,0.000,8,null,
Win10,0.000,200303.1,0.000,0,null,
Win10,0.000,200303.2,0.000,0,null,
Win10,0.000,200303.3,0.000,0,null,
Win10,0.000,200303.4,0.000,0,null,
Win10,0.000,200303.5,0.000,0,null,
Win10,0.000,200303.6,0.000,0,null,
Win10,0.000,200303.7,0.000,0,null,
Win10,0.000,200303.8,0.000,0,null,
Win10,0.000,200303.9,0.000,0,null,
Win10,0.000,200304,0.000,8,null,
Win10,0.000,200304.1,0.000,0,null,
Win10,0.000,200304.2,0.000,0,null,
Win10,0.000,200304.3,0.000,0,null,
Win10,0.000,200304.4,0.000,0,null,
Win10,0.000,200304.5,0.000,0,null,
Win10,0.000,200304.6,0.000,0,null,
Win10,0.000,200304.7,0.000,0,null,
Win10,0.000,200304.8,0.000,0,null,
Win10,0.000,200304.9,0.000,0,null,
Win10,0.000,200305,0.000,8,null,
Win10,0.000,200305.1,0.000,0,null,
Win10,0.000,200305.2,0.000,0,null,
Win10,0.000,200305.3,0.000,0,null,
Win10,0.000,200305.4,0.000,0,null,
Win10,0.000,200305.5,0.000,0,null,
Win10,0.000,200305.6,0.000,0,null,
Win10,0.000,200305.7,0.000,0,null,
Win10,0.000,200305.8,0.000,0,null,
Win10,0.000,200305.9,0.000,0,null,
Win10,0.000,200306,0.000,8,null,
Win10,0.000,200306.1,0.000,0,null,
Win10,0.000,200306.2,0.000,0,null,
Win10,0.000,200306.3,0.000,0,null,
Win10,0.000,200306.4,0.000,0,null,
Win10,0.000,200306.5,0.000,0,null,
Win10,0.000,200306.6,0.000,0,null,
Win10,0.000,200306.7,0.000,0,null,
Win10,0.000,200306.8,0.000,0,null,
Win10,0.000,200306.9,0.000,0,null,
Win10,0.000,200307,0.000,8,null,
Win10,0.000,200307.1,0.000,0,null,
Win10,0.000,200307.2,0.000,0,null,
Win10,0.000,200307.3,0.000,0,null,
Win10,0.000,200307.4,0.000,0,null,
Win10,0.000,200307.5,0.000,0,null,
Win10,0.000,200307.6,0.000,0,null,
Win10,0.000,200307.7,0.000,0,null,
Win10,0.000,200307.8,0.000,0,null,
Win10,0.000,200307.9,0.000,0,null,
Win10,0.000,200308,0.000,8,null,
Win10,0.000,200308.1,0.000,0,null,
Win10,0.000,200308.2,0.000,0,null,
Win10,0.000,200308.3,0.000,0,null,
Win10,0.000,200308.4,0.000,0,null,
Win10,0.000,200308.5,0.000,0,null,
Win10,0.000,200308.6,0.000,0,null,
Win10,0.000,200308.7,0.000,0,null,
Win10,0.000,200308.8,0.000,0,null,
Win10,0.000,200308.9,0.000,0,null,
Win10,0.000,200309,0.000,8,null,
Win10,0.000,200309.1,0.000,0,null,
Win10,0.000,200309.2,0.000,0,null,
Win10,0.000,200309.3,0.000,0,null,
