name,value,year,lastValue,rank,image,largeDate
Mobile,0.670,200901,0.670,2,null,200901
Mobile,0.672,200901.1,0.670,0,null,200901.1
Mobile,0.674,200901.2,0.672,0,null,200901.2
Mobile,0.676,200901.3,0.674,0,null,200901.3
Mobile,0.678,200901.4,0.676,0,null,200901.4
Mobile,0.680,200901.5,0.678,0,null,200901.5
Mobile,0.682,200901.6,0.680,0,null,200901.6
Mobile,0.684,200901.7,0.682,0,null,200901.7
Mobile,0.686,200901.8,0.684,0,null,200901.8
Mobile,0.688,200901.9,0.686,0,null,200901.9
Mobile,0.690,200902,0.688,2,null,200902
Mobile,0.701,200902.1,0.690,0,null,200902.1
Mobile,0.712,200902.2,0.701,0,null,200902.2
Mobile,0.723,200902.3,0.712,0,null,200902.3
Mobile,0.734,200902.4,0.723,0,null,200902.4
Mobile,0.745,200902.5,0.734,0,null,200902.5
Mobile,0.756,200902.6,0.745,0,null,200902.6
Mobile,0.767,200902.7,0.756,0,null,200902.7
Mobile,0.778,200902.8,0.767,0,null,200902.8
Mobile,0.789,200902.9,0.778,0,null,200902.9
Mobile,0.800,200903,0.789,2,null,200903
Mobile,0.806,200903.1,0.800,0,null,200903.1
Mobile,0.812,200903.2,0.806,0,null,200903.2
Mobile,0.818,200903.3,0.812,0,null,200903.3
Mobile,0.824,200903.4,0.818,0,null,200903.4
Mobile,0.830,200903.5,0.824,0,null,200903.5
Mobile,0.836,200903.6,0.830,0,null,200903.6
Mobile,0.842,200903.7,0.836,0,null,200903.7
Mobile,0.848,200903.8,0.842,0,null,200903.8
Mobile,0.854,200903.9,0.848,0,null,200903.9
Mobile,0.860,200904,0.854,2,null,200904
Mobile,0.860,200904.1,0.860,0,null,200904
Mobile,0.860,200904.2,0.860,0,null,200904
Mobile,0.860,200904.3,0.860,0,null,200904
Mobile,0.860,200904.4,0.860,0,null,200904
Mobile,0.860,200904.5,0.860,0,null,200904
Mobile,0.860,200904.6,0.860,0,null,200904
Mobile,0.860,200904.7,0.860,0,null,200904
Mobile,0.860,200904.8,0.860,0,null,200904
Mobile,0.860,200904.9,0.860,0,null,200904
Mobile,0.860,200905,0.860,2,null,200904
Mobile,0.868,200905.1,0.860,0,null,200905.1
Mobile,0.876,200905.2,0.868,0,null,200905.2
Mobile,0.884,200905.3,0.876,0,null,200905.3
Mobile,0.892,200905.4,0.884,0,null,200905.4
Mobile,0.900,200905.5,0.892,0,null,200905.5
Mobile,0.908,200905.6,0.900,0,null,200905.6
Mobile,0.916,200905.7,0.908,0,null,200905.7
Mobile,0.924,200905.8,0.916,0,null,200905.8
Mobile,0.932,200905.9,0.924,0,null,200905.9
Mobile,0.940,200906,0.932,2,null,200906
Mobile,0.951,200906.1,0.940,0,null,200906.1
Mobile,0.962,200906.2,0.951,0,null,200906.2
Mobile,0.973,200906.3,0.962,0,null,200906.3
Mobile,0.984,200906.4,0.973,0,null,200906.4
Mobile,0.995,200906.5,0.984,0,null,200906.5
Mobile,1.006,200906.6,0.995,0,null,200906.6
Mobile,1.017,200906.7,1.006,0,null,200906.7
Mobile,1.028,200906.8,1.017,0,null,200906.8
Mobile,1.039,200906.9,1.028,0,null,200906.9
Mobile,1.050,200907,1.039,2,null,200907
