,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mike Tyson,upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Mike_Tyson_2019_by_Glenn_Francis.jpg/220px-Mike_Tyson_2019_by_Glenn_Francis.jpg,28.6,31.5,,,,40,75,27,,33,48,48,23,,,,,,,,,,,,,,,,,
Buster Douglas,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar Ray Leonard,upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Sugar_Ray_Leonard.jpg/220px-Sugar_Ray_Leonard.jpg,13,8.5,9.2,,,15.1,,,,,,,,,,,,,,,,,,,,,,,,
Ayrton Senna,upload.wikimedia.org/wikipedia/commons/thumb/3/38/Ayrton_Senna_8_%28cropped%29.jpg/220px-Ayrton_Senna_8_%28cropped%29.jpg,10,13,22,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Alain Prost,upload.wikimedia.org/wikipedia/commons/thumb/9/95/Festival_automobile_international_2012_-_Photocall_-_Alain_Prost_-_013.jpg/220px-Festival_automobile_international_2012_-_Photocall_-_Alain_Prost_-_013.jpg,9,11,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Nicklaus,upload.wikimedia.org/wikipedia/commons/thumb/7/7f/JackNicklaus.cropped.jpg/230px-JackNicklaus.cropped.jpg,8.6,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Norman,upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Greg_Norman_2014.jpg/220px-Greg_Norman_2014.jpg,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Jordan,upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Michael_Jordan_in_2014.jpg/220px-Michael_Jordan_in_2014.jpg,8.1,16,35.9,36,30.01,43.9,52.6,78.3,69,40,37,37,36,35,35,33,32,31,45,45,,,,,,,,,,
Arnold Palmer,upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Arnold_Palmer_%28cropped%29.jpg/220px-Arnold_Palmer_%28cropped%29.jpg,8.1,9.3,11.1,,13.6,,15.1,,18.1,,,,,,,,,,,,,,,,,,,,,
Evander Holyfield,upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Evander_Holyfield_LA_2011.jpg/220px-Evander_Holyfield_LA_2011.jpg,8.1,60.5,28,,12,,15.5,54.3,,35.5,,,,,,,,,,,,,,,,,,,,
George Foreman,upload.wikimedia.org/wikipedia/commons/thumb/5/50/George_Foreman_071516.jpg/220px-George_Foreman_071516.jpg,,14.5,,15.8,,18,,,,,,,,,,,,,,,,,,,,,,,,
Donovan Razor Ruddock,boxing247.com/fotos/ruddock46464.jpg,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigel Mansell,upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Nigel_Mansell_-_Mexican_Grand_Prix_01.JPG/220px-Nigel_Mansell_-_Mexican_Grand_Prix_01.JPG,,9,14.5,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Agassi,upload.wikimedia.org/wikipedia/commons/thumb/9/93/Andre_Agassi_%282011%29.jpg/220px-Andre_Agassi_%282011%29.jpg,,,11,,11.4,16,15.2,,,,,,,24,28.2,,,,,,,,,,,,,,,
Joe Montana,upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Joe_Montana_ESPN_cropped2.jpg/220px-Joe_Montana_ESPN_cropped2.jpg,,,9.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Courier,upload.wikimedia.org/wikipedia/commons/thumb/5/55/Jim_Courier.jpg/220px-Jim_Courier.jpg,,,9,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Monica Seles,upload.wikimedia.org/wikipedia/commons/thumb/0/08/Monica_Seles_1999.jpg/220px-Monica_Seles_1999.jpg,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riddick Bowe,upload.wikimedia.org/wikipedia/commons/thumb/f/fb/RiddickBowe.jpg/220px-RiddickBowe.jpg,,,,25,,22.2,,,,,,,,,,,,,,,,,,,,,,,,
Shaquille O'Neal,upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Shaquille_O%27Neal_in_2011_%28cropped%29.jpg/220px-Shaquille_O%27Neal_in_2011_%28cropped%29.jpg,,,,15.2,16.7,21.9,24.4,25.4,,31,24,24,24,30.5,31.9,33.4,30,32,,,,,,,,,,,,
Lennox Lewis,upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Lenox_Lewis_2010.jpg/220px-Lenox_Lewis_2010.jpg,,,,15,,,,,,29,23,23,28,,,,,,,,,,,,,,,,,
Cecil Fielder,upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Cecil_Fielder_1996.jpg/220px-Cecil_Fielder_1996.jpg,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerhard Berger,upload.wikimedia.org/wikipedia/commons/thumb/2/21/Gerhard_Berger_1991USA.jpg/220px-Gerhard_Berger_1991USA.jpg,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Gretzky,upload.wikimedia.org/wikipedia/commons/thumb/0/03/Wayne_Gretzky_2006-02-18_Turin_001.jpg/230px-Wayne_Gretzky_2006-02-18_Turin_001.jpg,,,,,13.5,14.5,,,,,,,,,,,,,,,,,,,,,,,,
Michael Moorer,boxrec.com/media/images/thumb/3/3a/Michael_Moorer.jpg/200px-Michael_Moorer.jpg,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,
Deion Sanders,upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Deion_Sanders_2011_CROP.jpg/220px-Deion_Sanders_2011_CROP.jpg,,,,,,22.5,,,,,,,,,,,,,,,,,,,,,,,,
Michael Schumacher,upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Schumacher_china_2012_crop.jpg/220px-Schumacher_china_2012_crop.jpg,,,,,,15,33,35,38,49,59,59,67,75,80,60,58,36,,,,34,,,,,,,,
Emmit Smith,upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Super_Bowl_44_Emmitt_Smith_%284344089199%29_%28cropped%29.jpg/200px-Super_Bowl_44_Emmitt_Smith_%284344089199%29_%28cropped%29.jpg,,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,
Dennis Rodman,upload.wikimedia.org/wikipedia/commons/thumb/8/86/Dennis_Rodman%2C_2001.jpg/220px-Dennis_Rodman%2C_2001.jpg,,,,,,,12.9,,,,,,,,,,,,,,,,,,,,,,,
Patrick Ewing,upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Ewing_on_court.jpg/275px-Ewing_on_court.jpg,,,,,,,12.9,,18.3,,,,,,,,,,,,,,,,,,,,,
Oscar De La Hoya,upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Oscar_De_La_Hoya%2C_Feb_2011.jpg/220px-Oscar_De_La_Hoya%2C_Feb_2011.jpg,,,,,,,,38,18.5,43.5,23,23,,30,,38,,43,,,,,,,,,,,,
Tiger Woods,upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Tiger_Woods_in_May_2019.jpg/220px-Tiger_Woods_in_May_2019.jpg,,,,,,,,26.1,26.8,47,53,53,69,78,80.3,87,90,100,115,110,105,75,59.4,78.1,61.2,50.6,,,,
Dale Earnhardt,upload.wikimedia.org/wikipedia/commons/thumb/b/bc/DaleEarnhardtSunglassesDriversSuit.jpg/220px-DaleEarnhardtSunglassesDriversSuit.jpg,,,,,,,,19.1,24.1,26.5,24.5,24.5,,,,,,,,,,,,,,,,,,
Joe Sakic,upload.wikimedia.org/wikipedia/commons/thumb/5/51/Joe_sakic.jpg/230px-Joe_sakic.jpg,,,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,
Grant Hill,upload.wikimedia.org/wikipedia/commons/thumb/0/05/Grant_Hill_2007-12-08.jpg/220px-Grant_Hill_2007-12-08.jpg,,,,,,,,17,21.6,23,26,26,24,25.5,,,,,,,,,,,,,,,,
Sergei Federov,upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Sergey_Fyodorov_for_Prosport.jpg/230px-Sergey_Fyodorov_for_Prosport.jpg,,,,,,,,,29.8,,,,,,,,,,,,,,,,,,,,,
Gary Sheffield,upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Gary_Sheffield2.jpg/220px-Gary_Sheffield2.jpg,,,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,
Kevin Garnett,upload.wikimedia.org/wikipedia/commons/thumb/6/60/Kevin_Garnett_2008-01-13.jpg/220px-Kevin_Garnett_2008-01-13.jpg,,,,,,,,,,,21,21,23,28,29.7,,,,,,,,,,,,,,,
previous year,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
