name,value,year,lastValue,rank,image,largeDate
Hong Kong,70.691,1968,70.326,26,Hong Kong,1968
Hong Kong,70.726,1968.1,70.691,0,Hong Kong,1968.1
Hong Kong,70.762,1968.2,70.726,0,Hong Kong,1968.2
Hong Kong,70.797,1968.3,70.762,0,Hong Kong,1968.3
Hong Kong,70.833,1968.4,70.797,0,Hong Kong,1968.4
Hong Kong,70.868,1968.5,70.833,0,Hong Kong,1968.5
Hong Kong,70.903,1968.6,70.868,0,Hong Kong,1968.6
Hong Kong,70.939,1968.7,70.903,0,Hong Kong,1968.7
Hong Kong,70.974,1968.8,70.939,0,Hong Kong,1968.8
Hong Kong,71.01,1968.9,70.974,0,Hong Kong,1968.9
Hong Kong,71.045,1969,71.01,17,Hong Kong,1969
Hong Kong,71.079,1969.1,71.045,0,Hong Kong,1969.1
Hong Kong,71.113,1969.2,71.079,0,Hong Kong,1969.2
Hong Kong,71.148,1969.3,71.113,0,Hong Kong,1969.3
Hong Kong,71.182,1969.4,71.148,0,Hong Kong,1969.4
Hong Kong,71.216,1969.5,71.182,0,Hong Kong,1969.5
Hong Kong,71.25,1969.6,71.216,0,Hong Kong,1969.6
Hong Kong,71.284,1969.7,71.25,0,Hong Kong,1969.7
Hong Kong,71.319,1969.8,71.284,0,Hong Kong,1969.8
Hong Kong,71.353,1969.9,71.319,0,Hong Kong,1969.9
Hong Kong,71.387,1970,71.353,16,Hong Kong,1970
Hong Kong,71.394,1970.1,71.387,0,Hong Kong,1970.1
Hong Kong,71.401,1970.2,71.394,0,Hong Kong,1970.2
Hong Kong,71.409,1970.3,71.401,0,Hong Kong,1970.3
Hong Kong,71.416,1970.4,71.409,0,Hong Kong,1970.4
Hong Kong,71.423,1970.5,71.416,0,Hong Kong,1970.5
Hong Kong,71.43,1970.6,71.423,0,Hong Kong,1970.6
Hong Kong,71.437,1970.7,71.43,0,Hong Kong,1970.7
Hong Kong,71.445,1970.8,71.437,0,Hong Kong,1970.8
Hong Kong,71.452,1970.9,71.445,0,Hong Kong,1970.9
Hong Kong,71.459,1971,71.452,20,Hong Kong,1971
Hong Kong,71.459,1971.1,71.459,0,Hong Kong,1971
Hong Kong,71.458,1971.2,71.459,0,Hong Kong,1971
