name,value,year,lastValue,rank,image,largeDate
Pete Rose,9541.000,1977,8886.000,19,8/89979ba5_davis.jpg,1977
Pete Rose,9606.500,1977.1,9541.000,0,8/89979ba5_davis.jpg,1977.1
Pete Rose,9672.000,1977.2,9606.500,0,8/89979ba5_davis.jpg,1977.2
Pete Rose,9737.500,1977.3,9672.000,0,8/89979ba5_davis.jpg,1977.3
Pete Rose,9803.000,1977.4,9737.500,0,8/89979ba5_davis.jpg,1977.4
Pete Rose,9868.500,1977.5,9803.000,0,8/89979ba5_davis.jpg,1977.5
Pete Rose,9934.000,1977.6,9868.500,0,8/89979ba5_davis.jpg,1977.6
Pete Rose,9999.500,1977.7,9934.000,0,8/89979ba5_davis.jpg,1977.7
Pete Rose,10065.000,1977.8,9999.500,0,8/89979ba5_davis.jpg,1977.8
Pete Rose,10130.500,1977.9,10065.000,0,8/89979ba5_davis.jpg,1977.9
Pete Rose,10196.000,1978,10130.500,9,8/89979ba5_davis.jpg,1978
Pete Rose,10258.800,1978.1,10196.000,0,8/89979ba5_davis.jpg,1978.1
Pete Rose,10321.600,1978.2,10258.800,0,8/89979ba5_davis.jpg,1978.2
Pete Rose,10384.400,1978.3,10321.600,0,8/89979ba5_davis.jpg,1978.3
Pete Rose,10447.200,1978.4,10384.400,0,8/89979ba5_davis.jpg,1978.4
Pete Rose,10510.000,1978.5,10447.200,0,8/89979ba5_davis.jpg,1978.5
Pete Rose,10572.800,1978.6,10510.000,0,8/89979ba5_davis.jpg,1978.6
Pete Rose,10635.600,1978.7,10572.800,0,8/89979ba5_davis.jpg,1978.7
Pete Rose,10698.400,1978.8,10635.600,0,8/89979ba5_davis.jpg,1978.8
Pete Rose,10761.200,1978.9,10698.400,0,8/89979ba5_davis.jpg,1978.9
Pete Rose,10824.000,1979,10761.200,5,8/89979ba5_davis.jpg,1979
Pete Rose,10889.500,1979.1,10824.000,0,8/89979ba5_davis.jpg,1979.1
Pete Rose,10955.000,1979.2,10889.500,0,8/89979ba5_davis.jpg,1979.2
Pete Rose,11020.500,1979.3,10955.000,0,8/89979ba5_davis.jpg,1979.3
Pete Rose,11086.000,1979.4,11020.500,0,8/89979ba5_davis.jpg,1979.4
Pete Rose,11151.500,1979.5,11086.000,0,8/89979ba5_davis.jpg,1979.5
Pete Rose,11217.000,1979.6,11151.500,0,8/89979ba5_davis.jpg,1979.6
Pete Rose,11282.500,1979.7,11217.000,0,8/89979ba5_davis.jpg,1979.7
Pete Rose,11348.000,1979.8,11282.500,0,8/89979ba5_davis.jpg,1979.8
Pete Rose,11413.500,1979.9,11348.000,0,8/89979ba5_davis.jpg,1979.9
Pete Rose,11479.000,1980,11413.500,2,8/89979ba5_davis.jpg,1980
Pete Rose,11522.100,1980.1,11479.000,0,8/89979ba5_davis.jpg,1980.1
