name,value,year,lastValue,rank,image,largeDate
Ty Cobb,0.324,1907,0.293,24,7/7551754a_davis.jpg,1907
Ty Cobb,0.324,1907.1,0.324,0,7/7551754a_davis.jpg,1907
Ty Cobb,0.324,1907.2,0.324,0,7/7551754a_davis.jpg,1907
Ty Cobb,0.324,1907.3,0.324,0,7/7551754a_davis.jpg,1907
Ty Cobb,0.324,1907.4,0.324,0,7/7551754a_davis.jpg,1907
Ty Cobb,0.324,1907.5,0.324,0,7/7551754a_davis.jpg,1907
Ty Cobb,0.324,1907.6,0.324,0,7/7551754a_davis.jpg,1907
Ty Cobb,0.324,1907.7,0.324,0,7/7551754a_davis.jpg,1907
Ty Cobb,0.324,1907.8,0.324,0,7/7551754a_davis.jpg,1907
Ty Cobb,0.324,1907.9,0.324,0,7/7551754a_davis.jpg,1907
Ty Cobb,0.324,1908,0.324,23,7/7551754a_davis.jpg,1907
Ty Cobb,0.325,1908.1,0.324,0,7/7551754a_davis.jpg,1908.1
Ty Cobb,0.327,1908.2,0.325,0,7/7551754a_davis.jpg,1908.2
Ty Cobb,0.328,1908.3,0.327,0,7/7551754a_davis.jpg,1908.3
Ty Cobb,0.330,1908.4,0.328,0,7/7551754a_davis.jpg,1908.4
Ty Cobb,0.331,1908.5,0.330,0,7/7551754a_davis.jpg,1908.5
Ty Cobb,0.332,1908.6,0.331,0,7/7551754a_davis.jpg,1908.6
Ty Cobb,0.334,1908.7,0.332,0,7/7551754a_davis.jpg,1908.7
Ty Cobb,0.335,1908.8,0.334,0,7/7551754a_davis.jpg,1908.8
Ty Cobb,0.337,1908.9,0.335,0,7/7551754a_davis.jpg,1908.9
Ty Cobb,0.338,1909,0.337,14,7/7551754a_davis.jpg,1909
Ty Cobb,0.339,1909.1,0.338,0,7/7551754a_davis.jpg,1909.1
Ty Cobb,0.340,1909.2,0.339,0,7/7551754a_davis.jpg,1909.2
Ty Cobb,0.340,1909.3,0.340,0,7/7551754a_davis.jpg,1909.3
Ty Cobb,0.341,1909.4,0.340,0,7/7551754a_davis.jpg,1909.4
Ty Cobb,0.342,1909.5,0.341,0,7/7551754a_davis.jpg,1909.5
Ty Cobb,0.343,1909.6,0.342,0,7/7551754a_davis.jpg,1909.6
Ty Cobb,0.344,1909.7,0.343,0,7/7551754a_davis.jpg,1909.7
Ty Cobb,0.344,1909.8,0.344,0,7/7551754a_davis.jpg,1909.8
Ty Cobb,0.345,1909.9,0.344,0,7/7551754a_davis.jpg,1909.9
Ty Cobb,0.346,1910,0.345,6,7/7551754a_davis.jpg,1910
Ty Cobb,0.347,1910.1,0.346,0,7/7551754a_davis.jpg,1910.1
Ty Cobb,0.349,1910.2,0.347,0,7/7551754a_davis.jpg,1910.2
Ty Cobb,0.350,1910.3,0.349,0,7/7551754a_davis.jpg,1910.3
Ty Cobb,0.351,1910.4,0.350,0,7/7551754a_davis.jpg,1910.4
Ty Cobb,0.353,1910.5,0.351,0,7/7551754a_davis.jpg,1910.5
Ty Cobb,0.354,1910.6,0.353,0,7/7551754a_davis.jpg,1910.6
Ty Cobb,0.355,1910.7,0.354,0,7/7551754a_davis.jpg,1910.7
Ty Cobb,0.356,1910.8,0.355,0,7/7551754a_davis.jpg,1910.8
Ty Cobb,0.358,1910.9,0.356,0,7/7551754a_davis.jpg,1910.9
Ty Cobb,0.359,1911,0.358,3,7/7551754a_davis.jpg,1911
Ty Cobb,0.360,1911.1,0.359,0,7/7551754a_davis.jpg,1911.1
Ty Cobb,0.360,1911.2,0.360,0,7/7551754a_davis.jpg,1911.2
Ty Cobb,0.361,1911.3,0.360,0,7/7551754a_davis.jpg,1911.3
Ty Cobb,0.362,1911.4,0.361,0,7/7551754a_davis.jpg,1911.4
Ty Cobb,0.363,1911.5,0.362,0,7/7551754a_davis.jpg,1911.5
Ty Cobb,0.363,1911.6,0.363,0,7/7551754a_davis.jpg,1911.6
Ty Cobb,0.364,1911.7,0.363,0,7/7551754a_davis.jpg,1911.7
Ty Cobb,0.365,1911.8,0.364,0,7/7551754a_davis.jpg,1911.8
Ty Cobb,0.365,1911.9,0.365,0,7/7551754a_davis.jpg,1911.9
Ty Cobb,0.366,1912,0.365,2,7/7551754a_davis.jpg,1912
Ty Cobb,0.366,1912.1,0.366,0,7/7551754a_davis.jpg,1912.1
Ty Cobb,0.366,1912.2,0.366,0,7/7551754a_davis.jpg,1912.2
Ty Cobb,0.367,1912.3,0.366,0,7/7551754a_davis.jpg,1912.3
Ty Cobb,0.367,1912.4,0.367,0,7/7551754a_davis.jpg,1912.4
Ty Cobb,0.367,1912.5,0.367,0,7/7551754a_davis.jpg,1912.5
Ty Cobb,0.367,1912.6,0.367,0,7/7551754a_davis.jpg,1912.6
Ty Cobb,0.367,1912.7,0.367,0,7/7551754a_davis.jpg,1912.7
Ty Cobb,0.368,1912.8,0.367,0,7/7551754a_davis.jpg,1912.8
Ty Cobb,0.368,1912.9,0.368,0,7/7551754a_davis.jpg,1912.9
Ty Cobb,0.368,1913,0.368,2,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.1,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.2,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.3,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.4,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.5,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.6,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.7,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.8,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.9,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914,0.368,2,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.1,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.2,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.3,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.4,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.5,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.6,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.7,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.8,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.9,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915,0.368,1,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.1,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.2,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.3,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.4,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.5,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.6,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.7,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.8,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.9,0.368,0,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1916,0.368,1,7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1916.1,0.368,0,7/7551754a_davis.jpg,1916.1
Ty Cobb,0.368,1916.2,0.368,0,7/7551754a_davis.jpg,1916.2
Ty Cobb,0.369,1916.3,0.368,0,7/7551754a_davis.jpg,1916.3
Ty Cobb,0.369,1916.4,0.369,0,7/7551754a_davis.jpg,1916.4
Ty Cobb,0.369,1916.5,0.369,0,7/7551754a_davis.jpg,1916.5
Ty Cobb,0.369,1916.6,0.369,0,7/7551754a_davis.jpg,1916.6
Ty Cobb,0.369,1916.7,0.369,0,7/7551754a_davis.jpg,1916.7
Ty Cobb,0.370,1916.8,0.369,0,7/7551754a_davis.jpg,1916.8
Ty Cobb,0.370,1916.9,0.370,0,7/7551754a_davis.jpg,1916.9
Ty Cobb,0.370,1917,0.370,1,7/7551754a_davis.jpg,1917
Ty Cobb,0.370,1917.1,0.370,0,7/7551754a_davis.jpg,1917
Ty Cobb,0.370,1917.2,0.370,0,7/7551754a_davis.jpg,1917
Ty Cobb,0.370,1917.3,0.370,0,7/7551754a_davis.jpg,1917
Ty Cobb,0.370,1917.4,0.370,0,7/7551754a_davis.jpg,1917
Ty Cobb,0.370,1917.5,0.370,0,7/7551754a_davis.jpg,1917
Ty Cobb,0.370,1917.6,0.370,0,7/7551754a_davis.jpg,1917
Ty Cobb,0.370,1917.7,0.370,0,7/7551754a_davis.jpg,1917
Ty Cobb,0.370,1917.8,0.370,0,7/7551754a_davis.jpg,1917
Ty Cobb,0.370,1917.9,0.370,0,7/7551754a_davis.jpg,1917
Ty Cobb,0.370,1918,0.370,1,7/7551754a_davis.jpg,1917
Ty Cobb,0.370,1918.1,0.370,0,7/7551754a_davis.jpg,1918.1
Ty Cobb,0.370,1918.2,0.370,0,7/7551754a_davis.jpg,1918.2
Ty Cobb,0.370,1918.3,0.370,0,7/7551754a_davis.jpg,1918.3
Ty Cobb,0.370,1918.4,0.370,0,7/7551754a_davis.jpg,1918.4
Ty Cobb,0.371,1918.5,0.370,0,7/7551754a_davis.jpg,1918.5
Ty Cobb,0.371,1918.6,0.371,0,7/7551754a_davis.jpg,1918.6
Ty Cobb,0.371,1918.7,0.371,0,7/7551754a_davis.jpg,1918.7
Ty Cobb,0.371,1918.8,0.371,0,7/7551754a_davis.jpg,1918.8
Ty Cobb,0.371,1918.9,0.371,0,7/7551754a_davis.jpg,1918.9
Ty Cobb,0.371,1919,0.371,1,7/7551754a_davis.jpg,1919
Ty Cobb,0.371,1919.1,0.371,0,7/7551754a_davis.jpg,1919
Ty Cobb,0.371,1919.2,0.371,0,7/7551754a_davis.jpg,1919
Ty Cobb,0.370,1919.3,0.371,0,7/7551754a_davis.jpg,1919
Ty Cobb,0.370,1919.4,0.370,0,7/7551754a_davis.jpg,1919
Ty Cobb,0.370,1919.5,0.370,0,7/7551754a_davis.jpg,1919
