name,value,year,lastValue,rank,image,largeDate
Ty Cobb,0.358,1911,0.000,2,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1911
Ty Cobb,0.359,1911.1,0.358,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1911.1
Ty Cobb,0.360,1911.2,0.359,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1911.2
Ty Cobb,0.360,1911.3,0.360,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1911.3
Ty Cobb,0.361,1911.4,0.360,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1911.4
Ty Cobb,0.362,1911.5,0.361,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1911.5
Ty Cobb,0.363,1911.6,0.362,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1911.6
Ty Cobb,0.364,1911.7,0.363,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1911.7
Ty Cobb,0.364,1911.8,0.364,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1911.8
Ty Cobb,0.365,1911.9,0.364,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1911.9
Ty Cobb,0.366,1912,0.365,1,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1912
Ty Cobb,0.366,1912.1,0.366,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1912.1
Ty Cobb,0.366,1912.2,0.366,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1912.2
Ty Cobb,0.367,1912.3,0.366,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1912.3
Ty Cobb,0.367,1912.4,0.367,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1912.4
Ty Cobb,0.367,1912.5,0.367,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1912.5
Ty Cobb,0.367,1912.6,0.367,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1912.6
Ty Cobb,0.367,1912.7,0.367,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1912.7
Ty Cobb,0.368,1912.8,0.367,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1912.8
Ty Cobb,0.368,1912.9,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1912.9
Ty Cobb,0.368,1913,0.368,1,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.1,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.2,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.3,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.4,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.5,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.6,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.7,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.8,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1913.9,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914,0.368,1,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.1,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.2,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.3,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.4,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.5,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.6,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.7,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.8,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1914.9,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915,0.368,1,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.1,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.2,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.3,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.4,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.5,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.6,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.7,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.8,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1915.9,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1916,0.368,1,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1913
Ty Cobb,0.368,1916.1,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1916.1
Ty Cobb,0.368,1916.2,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1916.2
Ty Cobb,0.369,1916.3,0.368,0,https://www.baseball-reference.com/req/202012150/images/headshots/7/7551754a_davis.jpg,1916.3
