name,value,year,lastValue,rank,image,largeDate
Tris Speaker,327.300,1917.1,324.000,0,6/6d9f34bd_sabr_bos.jpg,1917.1
Tris Speaker,330.600,1917.2,327.300,0,6/6d9f34bd_sabr_bos.jpg,1917.2
Tris Speaker,333.900,1917.3,330.600,0,6/6d9f34bd_sabr_bos.jpg,1917.3
Tris Speaker,337.200,1917.4,333.900,0,6/6d9f34bd_sabr_bos.jpg,1917.4
Tris Speaker,340.500,1917.5,337.200,0,6/6d9f34bd_sabr_bos.jpg,1917.5
Tris Speaker,343.800,1917.6,340.500,0,6/6d9f34bd_sabr_bos.jpg,1917.6
Tris Speaker,347.100,1917.7,343.800,0,6/6d9f34bd_sabr_bos.jpg,1917.7
Tris Speaker,350.400,1917.8,347.100,0,6/6d9f34bd_sabr_bos.jpg,1917.8
Tris Speaker,353.700,1917.9,350.400,0,6/6d9f34bd_sabr_bos.jpg,1917.9
Tris Speaker,357.000,1918,353.700,22,6/6d9f34bd_sabr_bos.jpg,1918
Tris Speaker,360.800,1918.1,357.000,0,6/6d9f34bd_sabr_bos.jpg,1918.1
Tris Speaker,364.600,1918.2,360.800,0,6/6d9f34bd_sabr_bos.jpg,1918.2
Tris Speaker,368.400,1918.3,364.600,0,6/6d9f34bd_sabr_bos.jpg,1918.3
Tris Speaker,372.200,1918.4,368.400,0,6/6d9f34bd_sabr_bos.jpg,1918.4
Tris Speaker,376.000,1918.5,372.200,0,6/6d9f34bd_sabr_bos.jpg,1918.5
Tris Speaker,379.800,1918.6,376.000,0,6/6d9f34bd_sabr_bos.jpg,1918.6
Tris Speaker,383.600,1918.7,379.800,0,6/6d9f34bd_sabr_bos.jpg,1918.7
Tris Speaker,387.400,1918.8,383.600,0,6/6d9f34bd_sabr_bos.jpg,1918.8
Tris Speaker,391.200,1918.9,387.400,0,6/6d9f34bd_sabr_bos.jpg,1918.9
Tris Speaker,395.000,1919,391.200,17,6/6d9f34bd_sabr_bos.jpg,1919
Tris Speaker,400.000,1919.1,395.000,0,6/6d9f34bd_sabr_bos.jpg,1919.1
Tris Speaker,405.000,1919.2,400.000,0,6/6d9f34bd_sabr_bos.jpg,1919.2
Tris Speaker,410.000,1919.3,405.000,0,6/6d9f34bd_sabr_bos.jpg,1919.3
Tris Speaker,415.000,1919.4,410.000,0,6/6d9f34bd_sabr_bos.jpg,1919.4
Tris Speaker,420.000,1919.5,415.000,0,6/6d9f34bd_sabr_bos.jpg,1919.5
Tris Speaker,425.000,1919.6,420.000,0,6/6d9f34bd_sabr_bos.jpg,1919.6
Tris Speaker,430.000,1919.7,425.000,0,6/6d9f34bd_sabr_bos.jpg,1919.7
Tris Speaker,435.000,1919.8,430.000,0,6/6d9f34bd_sabr_bos.jpg,1919.8
Tris Speaker,440.000,1919.9,435.000,0,6/6d9f34bd_sabr_bos.jpg,1919.9
Tris Speaker,445.000,1920,440.000,12,6/6d9f34bd_sabr_bos.jpg,1920
Tris Speaker,450.200,1920.1,445.000,0,6/6d9f34bd_sabr_bos.jpg,1920.1
Tris Speaker,455.400,1920.2,450.200,0,6/6d9f34bd_sabr_bos.jpg,1920.2
Tris Speaker,460.600,1920.3,455.400,0,6/6d9f34bd_sabr_bos.jpg,1920.3
Tris Speaker,465.800,1920.4,460.600,0,6/6d9f34bd_sabr_bos.jpg,1920.4
Tris Speaker,471.000,1920.5,465.800,0,6/6d9f34bd_sabr_bos.jpg,1920.5
Tris Speaker,476.200,1920.6,471.000,0,6/6d9f34bd_sabr_bos.jpg,1920.6
Tris Speaker,481.400,1920.7,476.200,0,6/6d9f34bd_sabr_bos.jpg,1920.7
Tris Speaker,486.600,1920.8,481.400,0,6/6d9f34bd_sabr_bos.jpg,1920.8
Tris Speaker,491.800,1920.9,486.600,0,6/6d9f34bd_sabr_bos.jpg,1920.9
Tris Speaker,497.000,1921,491.800,5,6/6d9f34bd_sabr_bos.jpg,1921
Tris Speaker,501.800,1921.1,497.000,0,6/6d9f34bd_sabr_bos.jpg,1921.1
Tris Speaker,506.600,1921.2,501.800,0,6/6d9f34bd_sabr_bos.jpg,1921.2
Tris Speaker,511.400,1921.3,506.600,0,6/6d9f34bd_sabr_bos.jpg,1921.3
Tris Speaker,516.200,1921.4,511.400,0,6/6d9f34bd_sabr_bos.jpg,1921.4
Tris Speaker,521.000,1921.5,516.200,0,6/6d9f34bd_sabr_bos.jpg,1921.5
Tris Speaker,525.800,1921.6,521.000,0,6/6d9f34bd_sabr_bos.jpg,1921.6
Tris Speaker,530.600,1921.7,525.800,0,6/6d9f34bd_sabr_bos.jpg,1921.7
Tris Speaker,535.400,1921.8,530.600,0,6/6d9f34bd_sabr_bos.jpg,1921.8
Tris Speaker,540.200,1921.9,535.400,0,6/6d9f34bd_sabr_bos.jpg,1921.9
Tris Speaker,545.000,1922,540.200,4,6/6d9f34bd_sabr_bos.jpg,1922
Tris Speaker,550.900,1922.1,545.000,0,6/6d9f34bd_sabr_bos.jpg,1922.1
Tris Speaker,556.800,1922.2,550.900,0,6/6d9f34bd_sabr_bos.jpg,1922.2
Tris Speaker,562.700,1922.3,556.800,0,6/6d9f34bd_sabr_bos.jpg,1922.3
Tris Speaker,568.600,1922.4,562.700,0,6/6d9f34bd_sabr_bos.jpg,1922.4
Tris Speaker,574.500,1922.5,568.600,0,6/6d9f34bd_sabr_bos.jpg,1922.5
Tris Speaker,580.400,1922.6,574.500,0,6/6d9f34bd_sabr_bos.jpg,1922.6
Tris Speaker,586.300,1922.7,580.400,0,6/6d9f34bd_sabr_bos.jpg,1922.7
Tris Speaker,592.200,1922.8,586.300,0,6/6d9f34bd_sabr_bos.jpg,1922.8
Tris Speaker,598.100,1922.9,592.200,0,6/6d9f34bd_sabr_bos.jpg,1922.9
Tris Speaker,604.000,1923,598.100,3,6/6d9f34bd_sabr_bos.jpg,1923
Tris Speaker,607.600,1923.1,604.000,0,6/6d9f34bd_sabr_bos.jpg,1923.1
Tris Speaker,611.200,1923.2,607.600,0,6/6d9f34bd_sabr_bos.jpg,1923.2
Tris Speaker,614.800,1923.3,611.200,0,6/6d9f34bd_sabr_bos.jpg,1923.3
Tris Speaker,618.400,1923.4,614.800,0,6/6d9f34bd_sabr_bos.jpg,1923.4
Tris Speaker,622.000,1923.5,618.400,0,6/6d9f34bd_sabr_bos.jpg,1923.5
Tris Speaker,625.600,1923.6,622.000,0,6/6d9f34bd_sabr_bos.jpg,1923.6
Tris Speaker,629.200,1923.7,625.600,0,6/6d9f34bd_sabr_bos.jpg,1923.7
Tris Speaker,632.800,1923.8,629.200,0,6/6d9f34bd_sabr_bos.jpg,1923.8
Tris Speaker,636.400,1923.9,632.800,0,6/6d9f34bd_sabr_bos.jpg,1923.9
