name,value,year,lastValue,rank,image,largeDate
Barry Bonds,0.000,1871.1,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.2,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.3,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.4,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.5,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.6,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.7,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.8,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.9,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,414.400,1998.1,411.000,0,e/e79d202f_br.jpg,1998.1
Barry Bonds,417.800,1998.2,414.400,0,e/e79d202f_br.jpg,1998.2
Barry Bonds,421.200,1998.3,417.800,0,e/e79d202f_br.jpg,1998.3
Barry Bonds,424.600,1998.4,421.200,0,e/e79d202f_br.jpg,1998.4
Barry Bonds,428.000,1998.5,424.600,0,e/e79d202f_br.jpg,1998.5
Barry Bonds,431.400,1998.6,428.000,0,e/e79d202f_br.jpg,1998.6
Barry Bonds,434.800,1998.7,431.400,0,e/e79d202f_br.jpg,1998.7
Barry Bonds,438.200,1998.8,434.800,0,e/e79d202f_br.jpg,1998.8
Barry Bonds,441.600,1998.9,438.200,0,e/e79d202f_br.jpg,1998.9
Barry Bonds,445.000,1999,441.600,22,e/e79d202f_br.jpg,1999
Barry Bonds,449.900,1999.1,445.000,0,e/e79d202f_br.jpg,1999.1
Barry Bonds,454.800,1999.2,449.900,0,e/e79d202f_br.jpg,1999.2
Barry Bonds,459.700,1999.3,454.800,0,e/e79d202f_br.jpg,1999.3
Barry Bonds,464.600,1999.4,459.700,0,e/e79d202f_br.jpg,1999.4
Barry Bonds,469.500,1999.5,464.600,0,e/e79d202f_br.jpg,1999.5
Barry Bonds,474.400,1999.6,469.500,0,e/e79d202f_br.jpg,1999.6
Barry Bonds,479.300,1999.7,474.400,0,e/e79d202f_br.jpg,1999.7
Barry Bonds,484.200,1999.8,479.300,0,e/e79d202f_br.jpg,1999.8
Barry Bonds,489.100,1999.9,484.200,0,e/e79d202f_br.jpg,1999.9
Barry Bonds,494.000,2000,489.100,17,e/e79d202f_br.jpg,2000
Barry Bonds,501.300,2000.1,494.000,0,e/e79d202f_br.jpg,2000.1
Barry Bonds,508.600,2000.2,501.300,0,e/e79d202f_br.jpg,2000.2
Barry Bonds,515.900,2000.3,508.600,0,e/e79d202f_br.jpg,2000.3
Barry Bonds,523.200,2000.4,515.900,0,e/e79d202f_br.jpg,2000.4
Barry Bonds,530.500,2000.5,523.200,0,e/e79d202f_br.jpg,2000.5
Barry Bonds,537.800,2000.6,530.500,0,e/e79d202f_br.jpg,2000.6
Barry Bonds,545.100,2000.7,537.800,0,e/e79d202f_br.jpg,2000.7
Barry Bonds,552.400,2000.8,545.100,0,e/e79d202f_br.jpg,2000.8
Barry Bonds,559.700,2000.9,552.400,0,e/e79d202f_br.jpg,2000.9
Barry Bonds,567.000,2001,559.700,7,e/e79d202f_br.jpg,2001
Barry Bonds,571.600,2001.1,567.000,0,e/e79d202f_br.jpg,2001.1
Barry Bonds,576.200,2001.2,571.600,0,e/e79d202f_br.jpg,2001.2
Barry Bonds,580.800,2001.3,576.200,0,e/e79d202f_br.jpg,2001.3
Barry Bonds,585.400,2001.4,580.800,0,e/e79d202f_br.jpg,2001.4
Barry Bonds,590.000,2001.5,585.400,0,e/e79d202f_br.jpg,2001.5
Barry Bonds,594.600,2001.6,590.000,0,e/e79d202f_br.jpg,2001.6
Barry Bonds,599.200,2001.7,594.600,0,e/e79d202f_br.jpg,2001.7
Barry Bonds,603.800,2001.8,599.200,0,e/e79d202f_br.jpg,2001.8
Barry Bonds,608.400,2001.9,603.800,0,e/e79d202f_br.jpg,2001.9
Barry Bonds,613.000,2002,608.400,4,e/e79d202f_br.jpg,2002
Barry Bonds,617.500,2002.1,613.000,0,e/e79d202f_br.jpg,2002.1
Barry Bonds,622.000,2002.2,617.500,0,e/e79d202f_br.jpg,2002.2
Barry Bonds,626.500,2002.3,622.000,0,e/e79d202f_br.jpg,2002.3
Barry Bonds,631.000,2002.4,626.500,0,e/e79d202f_br.jpg,2002.4
Barry Bonds,635.500,2002.5,631.000,0,e/e79d202f_br.jpg,2002.5
