name,value,year,lastValue,rank,image,largeDate
Barry Bonds,0.000,1871,0.000,1,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.1,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.2,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.3,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.4,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.5,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.6,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.7,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.8,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1871.9,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1872,0.000,1,e/e79d202f_br.jpg,
Barry Bonds,0.000,1872.1,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1872.2,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1872.3,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1872.4,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1872.5,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1872.6,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1872.7,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1872.8,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1872.9,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1873,0.000,1,e/e79d202f_br.jpg,
Barry Bonds,0.000,1873.1,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1873.2,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1873.3,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1873.4,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1873.5,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1873.6,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1873.7,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1873.8,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1873.9,0.000,0,e/e79d202f_br.jpg,
Barry Bonds,0.000,1874,0.000,1,e/e79d202f_br.jpg,
Barry Bonds,0.000,1874.1,0.000,0,e/e79d202f_br.jpg,
