name,value,year,lastValue,rank,image,largeDate
Babe Ruth,0.000,1871,0.000,1,9/9dcdd01c_sabr_bos.jpg,
Babe Ruth,0.000,1871.1,0.000,0,9/9dcdd01c_sabr_bos.jpg,
Babe Ruth,0.000,1871.2,0.000,0,9/9dcdd01c_sabr_bos.jpg,
Babe Ruth,0.000,1871.3,0.000,0,9/9dcdd01c_sabr_bos.jpg,
Babe Ruth,0.000,1871.4,0.000,0,9/9dcdd01c_sabr_bos.jpg,
Babe Ruth,0.000,1871.5,0.000,0,9/9dcdd01c_sabr_bos.jpg,
Babe Ruth,0.000,1871.6,0.000,0,9/9dcdd01c_sabr_bos.jpg,
Babe Ruth,0.000,1871.7,0.000,0,9/9dcdd01c_sabr_bos.jpg,
Babe Ruth,0.000,1871.8,0.000,0,9/9dcdd01c_sabr_bos.jpg,
Babe Ruth,0.000,1871.9,0.000,0,9/9dcdd01c_sabr_bos.jpg,
Babe Ruth,0.981,1919,0.000,1,9/9dcdd01c_sabr_bos.jpg,1919
Babe Ruth,0.993,1919.1,0.981,0,9/9dcdd01c_sabr_bos.jpg,1919.1
Babe Ruth,1.005,1919.2,0.993,0,9/9dcdd01c_sabr_bos.jpg,1919.2
Babe Ruth,1.017,1919.3,1.005,0,9/9dcdd01c_sabr_bos.jpg,1919.3
Babe Ruth,1.029,1919.4,1.017,0,9/9dcdd01c_sabr_bos.jpg,1919.4
Babe Ruth,1.041,1919.5,1.029,0,9/9dcdd01c_sabr_bos.jpg,1919.5
Babe Ruth,1.053,1919.6,1.041,0,9/9dcdd01c_sabr_bos.jpg,1919.6
Babe Ruth,1.065,1919.7,1.053,0,9/9dcdd01c_sabr_bos.jpg,1919.7
Babe Ruth,1.077,1919.8,1.065,0,9/9dcdd01c_sabr_bos.jpg,1919.8
Babe Ruth,1.089,1919.9,1.077,0,9/9dcdd01c_sabr_bos.jpg,1919.9
Babe Ruth,1.101,1920,1.089,1,9/9dcdd01c_sabr_bos.jpg,1920
Babe Ruth,1.108,1920.1,1.101,0,9/9dcdd01c_sabr_bos.jpg,1920.1
Babe Ruth,1.114,1920.2,1.108,0,9/9dcdd01c_sabr_bos.jpg,1920.2
Babe Ruth,1.121,1920.3,1.114,0,9/9dcdd01c_sabr_bos.jpg,1920.3
Babe Ruth,1.127,1920.4,1.121,0,9/9dcdd01c_sabr_bos.jpg,1920.4
Babe Ruth,1.134,1920.5,1.127,0,9/9dcdd01c_sabr_bos.jpg,1920.5
Babe Ruth,1.141,1920.6,1.134,0,9/9dcdd01c_sabr_bos.jpg,1920.6
Babe Ruth,1.147,1920.7,1.141,0,9/9dcdd01c_sabr_bos.jpg,1920.7
Babe Ruth,1.154,1920.8,1.147,0,9/9dcdd01c_sabr_bos.jpg,1920.8
Babe Ruth,1.160,1920.9,1.154,0,9/9dcdd01c_sabr_bos.jpg,1920.9
Babe Ruth,1.167,1921,1.160,1,9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,1.166,1921.1,1.167,0,9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,1.165,1921.2,1.166,0,9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,1.164,1921.3,1.165,0,9/9dcdd01c_sabr_bos.jpg,1921
