name,value,year,lastValue,rank,image,largeDate
Ted Williams,0.000,1871,0.000,1,3/35baa190_davis.jpg,
Ted Williams,0.000,1871.1,0.000,0,3/35baa190_davis.jpg,
Ted Williams,0.000,1871.2,0.000,0,3/35baa190_davis.jpg,
Ted Williams,0.000,1871.3,0.000,0,3/35baa190_davis.jpg,
Ted Williams,0.000,1871.4,0.000,0,3/35baa190_davis.jpg,
Ted Williams,0.000,1871.5,0.000,0,3/35baa190_davis.jpg,
Ted Williams,0.000,1871.6,0.000,0,3/35baa190_davis.jpg,
Ted Williams,0.000,1871.7,0.000,0,3/35baa190_davis.jpg,
Ted Williams,0.000,1871.8,0.000,0,3/35baa190_davis.jpg,
Ted Williams,0.000,1871.9,0.000,0,3/35baa190_davis.jpg,
Ted Williams,0.475,1941,0.000,1,3/35baa190_davis.jpg,1941
Ted Williams,0.476,1941.1,0.475,0,3/35baa190_davis.jpg,1941.1
Ted Williams,0.476,1941.2,0.476,0,3/35baa190_davis.jpg,1941.2
Ted Williams,0.477,1941.3,0.476,0,3/35baa190_davis.jpg,1941.3
Ted Williams,0.477,1941.4,0.477,0,3/35baa190_davis.jpg,1941.4
Ted Williams,0.478,1941.5,0.477,0,3/35baa190_davis.jpg,1941.5
Ted Williams,0.479,1941.6,0.478,0,3/35baa190_davis.jpg,1941.6
Ted Williams,0.479,1941.7,0.479,0,3/35baa190_davis.jpg,1941.7
Ted Williams,0.480,1941.8,0.479,0,3/35baa190_davis.jpg,1941.8
Ted Williams,0.480,1941.9,0.480,0,3/35baa190_davis.jpg,1941.9
Ted Williams,0.481,1942,0.480,1,3/35baa190_davis.jpg,1942
Ted Williams,0.481,1942.1,0.481,0,3/35baa190_davis.jpg,1942
Ted Williams,0.481,1942.2,0.481,0,3/35baa190_davis.jpg,1942
Ted Williams,0.481,1942.3,0.481,0,3/35baa190_davis.jpg,1942
Ted Williams,0.481,1942.4,0.481,0,3/35baa190_davis.jpg,1942
Ted Williams,0.481,1942.5,0.481,0,3/35baa190_davis.jpg,1942
Ted Williams,0.481,1942.6,0.481,0,3/35baa190_davis.jpg,1942
Ted Williams,0.481,1942.7,0.481,0,3/35baa190_davis.jpg,1942
Ted Williams,0.481,1942.8,0.481,0,3/35baa190_davis.jpg,1942
