name,value,year,lastValue,rank,image,largeDate
Babe Ruth,0.700,1921,0.000,1,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.700,1921.1,0.700,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.699,1921.2,0.700,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.699,1921.3,0.699,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.698,1921.4,0.699,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.698,1921.5,0.698,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.698,1921.6,0.698,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.697,1921.7,0.698,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.697,1921.8,0.697,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.696,1921.9,0.697,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.696,1922,0.696,1,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.697,1922.1,0.696,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.698,1922.2,0.697,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.700,1922.3,0.698,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1921
Babe Ruth,0.701,1922.4,0.700,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1922.4
Babe Ruth,0.702,1922.5,0.701,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1922.5
Babe Ruth,0.703,1922.6,0.702,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1922.6
Babe Ruth,0.704,1922.7,0.703,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1922.7
Babe Ruth,0.706,1922.8,0.704,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1922.8
Babe Ruth,0.707,1922.9,0.706,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1922.9
Babe Ruth,0.708,1923,0.707,1,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1923
Babe Ruth,0.708,1923.1,0.708,0,https://www.baseball-reference.com/req/202012150/images/headshots/9/9dcdd01c_sabr_bos.jpg,1923.1
