name,value,year,lastValue,rank,image,largeDate
Reggie Jackson,1139.800,1975.1,1129.000,0,3/365acf13_sabr-oak.jpg,1975.1
Reggie Jackson,1150.600,1975.2,1139.800,0,3/365acf13_sabr-oak.jpg,1975.2
Reggie Jackson,1161.400,1975.3,1150.600,0,3/365acf13_sabr-oak.jpg,1975.3
Reggie Jackson,1172.200,1975.4,1161.400,0,3/365acf13_sabr-oak.jpg,1975.4
Reggie Jackson,1183.000,1975.5,1172.200,0,3/365acf13_sabr-oak.jpg,1975.5
Reggie Jackson,1193.800,1975.6,1183.000,0,3/365acf13_sabr-oak.jpg,1975.6
Reggie Jackson,1204.600,1975.7,1193.800,0,3/365acf13_sabr-oak.jpg,1975.7
Reggie Jackson,1215.400,1975.8,1204.600,0,3/365acf13_sabr-oak.jpg,1975.8
Reggie Jackson,1226.200,1975.9,1215.400,0,3/365acf13_sabr-oak.jpg,1975.9
Reggie Jackson,1237.000,1976,1226.200,20,3/365acf13_sabr-oak.jpg,1976
Reggie Jackson,1249.900,1976.1,1237.000,0,3/365acf13_sabr-oak.jpg,1976.1
Reggie Jackson,1262.800,1976.2,1249.900,0,3/365acf13_sabr-oak.jpg,1976.2
Reggie Jackson,1275.700,1976.3,1262.800,0,3/365acf13_sabr-oak.jpg,1976.3
Reggie Jackson,1288.600,1976.4,1275.700,0,3/365acf13_sabr-oak.jpg,1976.4
Reggie Jackson,1301.500,1976.5,1288.600,0,3/365acf13_sabr-oak.jpg,1976.5
Reggie Jackson,1314.400,1976.6,1301.500,0,3/365acf13_sabr-oak.jpg,1976.6
Reggie Jackson,1327.300,1976.7,1314.400,0,3/365acf13_sabr-oak.jpg,1976.7
Reggie Jackson,1340.200,1976.8,1327.300,0,3/365acf13_sabr-oak.jpg,1976.8
Reggie Jackson,1353.100,1976.9,1340.200,0,3/365acf13_sabr-oak.jpg,1976.9
Reggie Jackson,1366.000,1977,1353.100,14,3/365acf13_sabr-oak.jpg,1977
Reggie Jackson,1379.300,1977.1,1366.000,0,3/365acf13_sabr-oak.jpg,1977.1
Reggie Jackson,1392.600,1977.2,1379.300,0,3/365acf13_sabr-oak.jpg,1977.2
Reggie Jackson,1405.900,1977.3,1392.600,0,3/365acf13_sabr-oak.jpg,1977.3
