name,value,year,lastValue,rank,image,largeDate
Barry Bonds,1364.300,1998.1,1357.000,0,e/e79d202f_br.jpg,1998.1
Barry Bonds,1371.600,1998.2,1364.300,0,e/e79d202f_br.jpg,1998.2
Barry Bonds,1378.900,1998.3,1371.600,0,e/e79d202f_br.jpg,1998.3
Barry Bonds,1386.200,1998.4,1378.900,0,e/e79d202f_br.jpg,1998.4
Barry Bonds,1393.500,1998.5,1386.200,0,e/e79d202f_br.jpg,1998.5
Barry Bonds,1400.800,1998.6,1393.500,0,e/e79d202f_br.jpg,1998.6
Barry Bonds,1408.100,1998.7,1400.800,0,e/e79d202f_br.jpg,1998.7
Barry Bonds,1415.400,1998.8,1408.100,0,e/e79d202f_br.jpg,1998.8
Barry Bonds,1422.700,1998.9,1415.400,0,e/e79d202f_br.jpg,1998.9
Barry Bonds,1430.000,1999,1422.700,19,e/e79d202f_br.jpg,1999
Barry Bonds,1441.700,1999.1,1430.000,0,e/e79d202f_br.jpg,1999.1
Barry Bonds,1453.400,1999.2,1441.700,0,e/e79d202f_br.jpg,1999.2
Barry Bonds,1465.100,1999.3,1453.400,0,e/e79d202f_br.jpg,1999.3
Barry Bonds,1476.800,1999.4,1465.100,0,e/e79d202f_br.jpg,1999.4
Barry Bonds,1488.500,1999.5,1476.800,0,e/e79d202f_br.jpg,1999.5
Barry Bonds,1500.200,1999.6,1488.500,0,e/e79d202f_br.jpg,1999.6
Barry Bonds,1511.900,1999.7,1500.200,0,e/e79d202f_br.jpg,1999.7
Barry Bonds,1523.600,1999.8,1511.900,0,e/e79d202f_br.jpg,1999.8
Barry Bonds,1535.300,1999.9,1523.600,0,e/e79d202f_br.jpg,1999.9
Barry Bonds,1547.000,2000,1535.300,13,e/e79d202f_br.jpg,2000
Barry Bonds,1564.700,2000.1,1547.000,0,e/e79d202f_br.jpg,2000.1
Barry Bonds,1582.400,2000.2,1564.700,0,e/e79d202f_br.jpg,2000.2
Barry Bonds,1600.100,2000.3,1582.400,0,e/e79d202f_br.jpg,2000.3
Barry Bonds,1617.800,2000.4,1600.100,0,e/e79d202f_br.jpg,2000.4
Barry Bonds,1635.500,2000.5,1617.800,0,e/e79d202f_br.jpg,2000.5
Barry Bonds,1653.200,2000.6,1635.500,0,e/e79d202f_br.jpg,2000.6
Barry Bonds,1670.900,2000.7,1653.200,0,e/e79d202f_br.jpg,2000.7
Barry Bonds,1688.600,2000.8,1670.900,0,e/e79d202f_br.jpg,2000.8
Barry Bonds,1706.300,2000.9,1688.600,0,e/e79d202f_br.jpg,2000.9
Barry Bonds,1724.000,2001,1706.300,7,e/e79d202f_br.jpg,2001
Barry Bonds,1743.800,2001.1,1724.000,0,e/e79d202f_br.jpg,2001.1
Barry Bonds,1763.600,2001.2,1743.800,0,e/e79d202f_br.jpg,2001.2
Barry Bonds,1783.400,2001.3,1763.600,0,e/e79d202f_br.jpg,2001.3
Barry Bonds,1803.200,2001.4,1783.400,0,e/e79d202f_br.jpg,2001.4
Barry Bonds,1823.000,2001.5,1803.200,0,e/e79d202f_br.jpg,2001.5
Barry Bonds,1842.800,2001.6,1823.000,0,e/e79d202f_br.jpg,2001.6
Barry Bonds,1862.600,2001.7,1842.800,0,e/e79d202f_br.jpg,2001.7
Barry Bonds,1882.400,2001.8,1862.600,0,e/e79d202f_br.jpg,2001.8
Barry Bonds,1902.200,2001.9,1882.400,0,e/e79d202f_br.jpg,2001.9
