name,value,year,lastValue,rank,image,largeDate
United States,3823.000,1816,3823.000,0,2,1816
United States,2466.000,1817,3823.000,0,2,1816
United States,1910.000,1818,2466.000,0,2,1816
United States,2301.000,1819,1910.000,0,2,1816
United States,1556.000,1820,2301.000,0,2,1816
United States,1612.000,1821,1556.000,0,2,1816
United States,1079.000,1822,1612.000,0,2,1816
United States,1170.000,1823,1079.000,0,2,1816
United States,1261.000,1824,1170.000,0,2,1816
United States,1336.000,1825,1261.000,0,2,1816
United States,1658.000,1826,1336.000,0,2,1816
United States,1663.000,1827,1658.000,0,2,1816
United States,1622.000,1828,1663.000,0,2,1816
United States,1678.000,1829,1622.000,0,2,1816
United States,1687.000,1830,1678.000,0,2,1816
United States,1835.000,1831,1687.000,0,2,1816
United States,1896.000,1832,1835.000,0,2,1816
United States,2445.000,1833,1896.000,0,2,1816
United States,2073.000,1834,2445.000,0,2,1816
United States,2001.000,1835,2073.000,0,2,1816
United States,2571.000,1836,2001.000,0,2,1816
United States,3121.000,1837,2571.000,0,2,1816
United States,3083.000,1838,3121.000,0,2,1816
United States,2012.000,1839,3083.000,0,2,1816
United States,2755.000,1840,2012.000,0,2,1816
United States,3042.000,1841,2755.000,0,2,1816
United States,3011.000,1842,3042.000,0,2,1816
United States,1364.000,1843,3011.000,0,2,1816
United States,2432.000,1844,1364.000,0,2,1816
United States,3534.000,1845,2432.000,0,2,1816
United States,9506.000,1846,3534.000,0,2,1846
United States,7431.000,1847,9506.000,0,2,1846
United States,8106.000,1848,7431.000,0,2,1846
United States,3558.000,1849,8106.000,0,2,1846
United States,4302.000,1850,3558.000,0,2,1846
United States,3525.000,1851,4302.000,0,2,1846
United States,4226.000,1852,3525.000,0,2,1846
United States,4605.000,1853,4226.000,0,2,1846
United States,5765.000,1854,4605.000,0,2,1846
United States,5892.000,1855,5765.000,0,2,1846
United States,6117.000,1856,5892.000,0,2,1846
United States,7499.000,1857,6117.000,0,2,1846
United States,7297.000,1858,7499.000,0,2,1846
United States,5638.000,1859,7297.000,0,2,1846
United States,7060.000,1860,5638.000,0,2,1846
United States,95362.000,1861,7060.000,0,2,1861
United States,136769.000,1862,95362.000,0,2,1862
United States,119662.000,1863,136769.000,0,2,1862
United States,157390.000,1864,119662.000,0,2,1864
United States,30471.000,1865,157390.000,0,2,1864
United States,17821.000,1866,30471.000,0,2,1864
United States,30698.000,1867,17821.000,0,2,1864
United States,20154.000,1868,30698.000,0,2,1864
United States,16559.000,1869,20154.000,0,2,1864
United States,13128.000,1870,16559.000,0,2,1864
United States,11811.000,1871,13128.000,0,2,1864
United States,14246.000,1872,11811.000,0,2,1864
United States,15014.000,1873,14246.000,0,2,1864
United States,12899.000,1874,15014.000,0,2,1864
United States,11720.000,1875,12899.000,0,2,1864
United States,10749.000,1876,11720.000,0,2,1864
United States,9074.000,1877,10749.000,0,2,1864
United States,11367.000,1878,9074.000,0,2,1864
United States,10527.000,1879,11367.000,0,2,1864
United States,11414.000,1880,10527.000,0,2,1864
United States,11973.000,1881,11414.000,0,2,1864
United States,13040.000,1882,11973.000,0,2,1864
United States,11425.000,1883,13040.000,0,2,1864
United States,11438.000,1884,11425.000,0,2,1864
United States,9748.000,1885,11438.000,0,2,1864
United States,10382.000,1886,9748.000,0,2,1864
United States,10765.000,1887,10382.000,0,2,1864
United States,12647.000,1888,10765.000,0,2,1864
United States,13195.000,1889,12647.000,0,2,1864
United States,14788.000,1890,13195.000,0,2,1864
United States,15315.000,1891,14788.000,0,2,1864
United States,15654.000,1892,15315.000,0,2,1864
United States,16964.000,1893,15654.000,0,2,1864
United States,16001.000,1894,16964.000,0,2,1864
United States,15187.000,1895,16001.000,0,2,1864
United States,16382.000,1896,15187.000,0,2,1864
United States,30249.000,1897,16382.000,0,2,1864
United States,60011.000,1898,30249.000,0,2,1864
United States,38588.000,1899,60011.000,0,2,1864
United States,41481.000,1900,38588.000,0,2,1864
United States,36087.000,1901,41481.000,0,2,1864
United States,39722.000,1902,36087.000,0,2,1864
United States,43814.000,1903,39722.000,0,2,1864
United States,47918.000,1904,43814.000,0,2,1864
United States,45098.000,1905,47918.000,0,2,1864
United States,43602.000,1906,45098.000,0,2,1864
United States,58725.000,1907,43602.000,0,2,1864
United States,54189.000,1908,58725.000,0,2,1864
United States,56177.000,1909,54189.000,0,2,1864
United States,55880.000,1910,56177.000,0,2,1864
United States,57157.000,1911,55880.000,0,2,1864
United States,58992.000,1912,57157.000,0,2,1864
United States,62825.000,1913,58992.000,0,2,1864
United States,253205.000,1914,62825.000,0,2,1914
United States,257648.000,1915,253205.000,0,2,1915
United States,277421.000,1916,257648.000,0,2,1916
United States,658584.000,1917,277421.000,0,2,1917
United States,7014226.000,1918,658584.000,0,2,1918
United States,11217796.000,1919,7014226.000,0,2,1919
United States,1657118.000,1920,11217796.000,0,2,1919
United States,1116342.000,1921,1657118.000,0,2,1919
United States,860853.000,1922,1116342.000,0,2,1919
United States,678256.000,1923,860853.000,0,2,1919
United States,570142.000,1924,678256.000,0,2,1919
United States,589706.000,1925,570142.000,0,2,1919
United States,558004.000,1926,589706.000,0,2,1919
United States,596501.000,1927,558004.000,0,2,1919
United States,678100.000,1928,596501.000,0,2,1919
United States,701300.000,1929,678100.000,0,2,1919
United States,699200.000,1930,701300.000,0,2,1919
United States,698900.000,1931,699200.000,0,2,1919
United States,641600.000,1932,698900.000,0,2,1919
United States,570400.000,1933,641600.000,0,2,1919
United States,803100.000,1934,570400.000,0,2,1919
United States,806400.000,1935,803100.000,0,2,1919
United States,932600.000,1936,806400.000,0,2,1919
United States,1032900.000,1937,932600.000,0,2,1919
United States,1131499.000,1938,1032900.000,0,2,1919
United States,980000.000,1939,1131499.000,0,2,1919
United States,1657000.000,1940,980000.000,0,2,1919
United States,6301000.000,1941,1657000.000,0,2,1919
United States,26001000.000,1942,6301000.000,0,2,1942
United States,72109000.000,1943,26001000.000,0,2,1943
United States,87000000.000,1944,72109000.000,0,2,1944
United States,90000000.000,1945,87000000.000,0,2,1945
United States,45133984.000,1946,90000000.000,0,2,1945
United States,14315999.000,1947,45133984.000,0,2,1945
United States,10960998.000,1948,14315999.000,0,2,1945
