name,value,year,lastValue,rank,image,largeDate,country
Cuba,100,1950,100,26,Cuba,1950,Cuba
Cuba,100,1950.05,100,0,Cuba,1950,Cuba
Cuba,100,1950.1,100,0,Cuba,1950,Cuba
Cuba,100,1950.15,100,0,Cuba,1950,Cuba
Cuba,100,1950.2,100,0,Cuba,1950,Cuba
Cuba,100,1950.25,100,0,Cuba,1950,Cuba
Cuba,100,1950.3,100,0,Cuba,1950,Cuba
Cuba,100,1950.35,100,0,Cuba,1950,Cuba
Cuba,100,1950.4,100,0,Cuba,1950,Cuba
Cuba,100,1950.45,100,0,Cuba,1950,Cuba
Cuba,100,1950.5,100,0,Cuba,1950,Cuba
Cuba,100,1950.55,100,0,Cuba,1950,Cuba
Cuba,100,1950.6,100,0,Cuba,1950,Cuba
Cuba,100,1950.65,100,0,Cuba,1950,Cuba
Cuba,100,1950.7,100,0,Cuba,1950,Cuba
Cuba,100,1950.75,100,0,Cuba,1950,Cuba
Cuba,100,1950.8,100,0,Cuba,1950,Cuba
Cuba,100,1950.85,100,0,Cuba,1950,Cuba
Cuba,100,1950.9,100,0,Cuba,1950,Cuba
Cuba,100,1950.95,100,0,Cuba,1950,Cuba
Sri Lanka,4.757,1950,4.757,11,SriLanka,1950,SriLanka
Sri Lanka,4.749,1950.05,4.757,0,SriLanka,1950,SriLanka
Sri Lanka,4.741,1950.1,4.749,0,SriLanka,1950,SriLanka
Sri Lanka,4.733,1950.15,4.741,0,SriLanka,1950,SriLanka
Sri Lanka,4.725,1950.2,4.733,0,SriLanka,1950,SriLanka
Sri Lanka,4.717,1950.25,4.725,0,SriLanka,1950,SriLanka
Sri Lanka,4.71,1950.3,4.717,0,SriLanka,1950,SriLanka
Sri Lanka,4.702,1950.35,4.71,0,SriLanka,1950,SriLanka
Sri Lanka,4.694,1950.4,4.702,0,SriLanka,1950,SriLanka
Sri Lanka,4.686,1950.45,4.694,0,SriLanka,1950,SriLanka
Sri Lanka,4.678,1950.5,4.686,0,SriLanka,1950,SriLanka
Sri Lanka,4.67,1950.55,4.678,0,SriLanka,1950,SriLanka
Sri Lanka,4.662,1950.6,4.67,0,SriLanka,1950,SriLanka
Sri Lanka,4.654,1950.65,4.662,0,SriLanka,1950,SriLanka
Sri Lanka,4.646,1950.7,4.654,0,SriLanka,1950,SriLanka
Sri Lanka,4.638,1950.75,4.646,0,SriLanka,1950,SriLanka
Sri Lanka,4.631,1950.8,4.638,0,SriLanka,1950,SriLanka
Sri Lanka,4.623,1950.85,4.631,0,SriLanka,1950,SriLanka
Sri Lanka,4.615,1950.9,4.623,0,SriLanka,1950,SriLanka
Sri Lanka,4.607,1950.95,4.615,0,SriLanka,1950,SriLanka
Sri Lanka,4.599,1951,4.607,16,SriLanka,1950,SriLanka
Sri Lanka,4.604,1951.05,4.599,0,SriLanka,1950,SriLanka
Sri Lanka,4.609,1951.1,4.604,0,SriLanka,1950,SriLanka
Sri Lanka,4.614,1951.15,4.609,0,SriLanka,1950,SriLanka
Sri Lanka,4.619,1951.2,4.614,0,SriLanka,1950,SriLanka
Sri Lanka,4.624,1951.25,4.619,0,SriLanka,1950,SriLanka
Sri Lanka,4.629,1951.3,4.624,0,SriLanka,1950,SriLanka
Sri Lanka,4.634,1951.35,4.629,0,SriLanka,1950,SriLanka
Sri Lanka,4.639,1951.4,4.634,0,SriLanka,1950,SriLanka
Sri Lanka,4.644,1951.45,4.639,0,SriLanka,1950,SriLanka
Sri Lanka,4.65,1951.5,4.644,0,SriLanka,1950,SriLanka
Sri Lanka,4.655,1951.55,4.65,0,SriLanka,1950,SriLanka
Sri Lanka,4.66,1951.6,4.655,0,SriLanka,1950,SriLanka
Sri Lanka,4.665,1951.65,4.66,0,SriLanka,1950,SriLanka
Sri Lanka,4.67,1951.7,4.665,0,SriLanka,1950,SriLanka
Sri Lanka,4.675,1951.75,4.67,0,SriLanka,1950,SriLanka
Sri Lanka,4.68,1951.8,4.675,0,SriLanka,1950,SriLanka
Sri Lanka,4.685,1951.85,4.68,0,SriLanka,1950,SriLanka
Sri Lanka,4.69,1951.9,4.685,0,SriLanka,1950,SriLanka
Sri Lanka,4.695,1951.95,4.69,0,SriLanka,1950,SriLanka
Sri Lanka,4.7,1952,4.695,19,SriLanka,1950,SriLanka
Sri Lanka,4.701,1952.05,4.7,0,SriLanka,1950,SriLanka
Sri Lanka,4.701,1952.1,4.701,0,SriLanka,1950,SriLanka
Sri Lanka,4.702,1952.15,4.701,0,SriLanka,1950,SriLanka
Sri Lanka,4.702,1952.2,4.702,0,SriLanka,1950,SriLanka
Sri Lanka,4.703,1952.25,4.702,0,SriLanka,1950,SriLanka
Sri Lanka,4.703,1952.3,4.703,0,SriLanka,1950,SriLanka
Sri Lanka,4.704,1952.35,4.703,0,SriLanka,1950,SriLanka
Sri Lanka,4.704,1952.4,4.704,0,SriLanka,1950,SriLanka
Sri Lanka,4.705,1952.45,4.704,0,SriLanka,1950,SriLanka
Sri Lanka,4.706,1952.5,4.705,0,SriLanka,1950,SriLanka
Sri Lanka,4.706,1952.55,4.706,0,SriLanka,1950,SriLanka
Sri Lanka,4.707,1952.6,4.706,0,SriLanka,1950,SriLanka
Sri Lanka,4.707,1952.65,4.707,0,SriLanka,1950,SriLanka
Sri Lanka,4.708,1952.7,4.707,0,SriLanka,1950,SriLanka
Sri Lanka,4.708,1952.75,4.708,0,SriLanka,1950,SriLanka
Sri Lanka,4.709,1952.8,4.708,0,SriLanka,1950,SriLanka
Sri Lanka,4.709,1952.85,4.709,0,SriLanka,1950,SriLanka
Sri Lanka,4.71,1952.9,4.709,0,SriLanka,1950,SriLanka
Sri Lanka,4.71,1952.95,4.71,0,SriLanka,1950,SriLanka
Sri Lanka,4.711,1953,4.71,20,SriLanka,1950,SriLanka
Sri Lanka,4.795,1953.05,4.711,0,SriLanka,1953.05,SriLanka
Sri Lanka,4.879,1953.1,4.795,0,SriLanka,1953.1,SriLanka
