name,value,year,lastValue,rank,image,largeDate
Steve Nash,781, 2001,272,23,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001
Steve Nash,844.4, 2001.1,781,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.1
Steve Nash,907.8, 2001.2,844.4,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.2
Steve Nash,971.2, 2001.3,907.8,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.3
Steve Nash,1034.6, 2001.4,971.2,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.4
Steve Nash,1098, 2001.5,1034.6,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.5
Steve Nash,1161.4, 2001.6,1098,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.6
Steve Nash,1224.8, 2001.7,1161.4,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.7
Steve Nash,1288.2, 2001.8,1224.8,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.8
Steve Nash,1351.6, 2001.9,1288.2,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.9
Steve Nash,1415, 2002,1351.6,14,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002
Steve Nash,1474.8, 2002.1,1415,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.1
Steve Nash,1534.6, 2002.2,1474.8,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.2
Steve Nash,1594.4, 2002.3,1534.6,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.3
Steve Nash,1654.2, 2002.4,1594.4,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.4
Steve Nash,1714, 2002.5,1654.2,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.5
Steve Nash,1773.8, 2002.6,1714,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.6
Steve Nash,1833.6, 2002.7,1773.8,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.7
Steve Nash,1893.4, 2002.8,1833.6,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.8
Steve Nash,1953.2, 2002.9,1893.4,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.9
Steve Nash,2013, 2003,1953.2,11,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2003
Steve Nash,2081.7, 2003.1,2013,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2003.1
Steve Nash,2150.4, 2003.2,2081.7,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2003.2
Steve Nash,2219.1, 2003.3,2150.4,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2003.3
Steve Nash,2287.8, 2003.4,2219.1,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2003.4
Steve Nash,2356.5, 2003.5,2287.8,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2003.5
Steve Nash,2425.2, 2003.6,2356.5,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2003.6
Steve Nash,2493.9, 2003.7,2425.2,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2003.7
Steve Nash,2562.6, 2003.8,2493.9,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2003.8
Steve Nash,2631.3, 2003.9,2562.6,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2003.9
Steve Nash,2700, 2004,2631.3,7,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2004
Steve Nash,2786.1, 2004.1,2700,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2004.1
Steve Nash,2872.2, 2004.2,2786.1,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2004.2
Steve Nash,2958.3, 2004.3,2872.2,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2004.3
Steve Nash,3044.4, 2004.4,2958.3,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2004.4
Steve Nash,3130.5, 2004.5,3044.4,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2004.5
Steve Nash,3216.6, 2004.6,3130.5,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2004.6
Steve Nash,3302.7, 2004.7,3216.6,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2004.7
Steve Nash,3388.8, 2004.8,3302.7,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2004.8
Steve Nash,3474.9, 2004.9,3388.8,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2004.9
Steve Nash,3561, 2005,3474.9,5,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2005
Steve Nash,3643.6, 2005.1,3561,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2005.1
Steve Nash,3726.2, 2005.2,3643.6,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2005.2
Steve Nash,3808.8, 2005.3,3726.2,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2005.3
Steve Nash,3891.4, 2005.4,3808.8,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2005.4
