name,value,year,lastValue,rank,image,largeDate
Steve Nash,781.000, 2001,272.000,23,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001
Steve Nash,844.400, 2001.1,781.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.1
Steve Nash,907.800, 2001.2,844.400,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.2
Steve Nash,971.200, 2001.3,907.800,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.3
Steve Nash,1034.600, 2001.4,971.200,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.4
Steve Nash,1098.000, 2001.5,1034.600,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.5
Steve Nash,1161.400, 2001.6,1098.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.6
Steve Nash,1224.800, 2001.7,1161.400,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.7
Steve Nash,1288.200, 2001.8,1224.800,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.8
Steve Nash,1351.600, 2001.9,1288.200,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2001.9
Steve Nash,1415.000, 2002,1351.600,14,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002
Steve Nash,1474.800, 2002.1,1415.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.1
Steve Nash,1534.600, 2002.2,1474.800,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.2
Steve Nash,1594.400, 2002.3,1534.600,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.3
Steve Nash,1654.200, 2002.4,1594.400,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.4
Steve Nash,1714.000, 2002.5,1654.200,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.5
Steve Nash,1773.800, 2002.6,1714.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.6
Steve Nash,1833.600, 2002.7,1773.800,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.7
Steve Nash,1893.400, 2002.8,1833.600,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.8
Steve Nash,1953.200, 2002.9,1893.400,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2002.9
Steve Nash,2013.000, 2003,1953.200,11,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nashst01.jpg, 2003
