name,value,year,lastValue,rank,image,largeDate
Reggie Miller,0.919, 2000,0.919,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2000
Reggie Miller,0.919, 2000.1,0.919,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2000.1
Reggie Miller,0.92, 2000.2,0.919,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2000.2
Reggie Miller,0.92, 2000.3,0.92,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2000.3
Reggie Miller,0.921, 2000.4,0.92,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2000.4
Reggie Miller,0.921, 2000.5,0.921,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2000.5
Reggie Miller,0.921, 2000.6,0.921,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2000.6
Reggie Miller,0.922, 2000.7,0.921,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2000.7
Reggie Miller,0.922, 2000.8,0.922,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2000.8
Reggie Miller,0.923, 2000.9,0.922,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2000.9
Reggie Miller,0.923, 2001,0.923,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.923, 2001.1,0.923,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.922, 2001.2,0.923,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.922, 2001.3,0.922,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.921, 2001.4,0.922,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.921, 2001.5,0.921,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.921, 2001.6,0.921,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.92, 2001.7,0.921,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.92, 2001.8,0.92,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.919, 2001.9,0.92,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.919, 2002,0.919,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.919, 2002.1,0.919,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.918, 2002.2,0.919,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.918, 2002.3,0.918,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.918, 2002.4,0.918,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.918, 2002.5,0.918,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.917, 2002.6,0.918,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.917, 2002.7,0.917,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.917, 2002.8,0.917,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.916, 2002.9,0.917,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.916, 2003,0.916,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.916, 2003.1,0.916,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.915, 2003.2,0.916,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.915, 2003.3,0.915,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
Reggie Miller,0.914, 2003.4,0.915,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/millere01.jpg, 2001
