name,value,year,lastValue,rank,image,largeDate
Dirk Nowitzki,2938.000, 2000,2938.000,21,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2000
Dirk Nowitzki,3250.500, 2000.1,2938.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2000.1
Dirk Nowitzki,3563.000, 2000.2,3250.500,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2000.2
Dirk Nowitzki,3875.500, 2000.3,3563.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2000.3
Dirk Nowitzki,4188.000, 2000.4,3875.500,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2000.4
Dirk Nowitzki,4500.500, 2000.5,4188.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2000.5
Dirk Nowitzki,4813.000, 2000.6,4500.500,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2000.6
Dirk Nowitzki,5125.500, 2000.7,4813.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2000.7
Dirk Nowitzki,5438.000, 2000.8,5125.500,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2000.8
Dirk Nowitzki,5750.500, 2000.9,5438.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2000.9
Dirk Nowitzki,6063.000, 2001,5750.500,14,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2001
Dirk Nowitzki,6352.100, 2001.1,6063.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2001.1
Dirk Nowitzki,6641.200, 2001.2,6352.100,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2001.2
Dirk Nowitzki,6930.300, 2001.3,6641.200,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2001.3
Dirk Nowitzki,7219.400, 2001.4,6930.300,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2001.4
Dirk Nowitzki,7508.500, 2001.5,7219.400,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2001.5
Dirk Nowitzki,7797.600, 2001.6,7508.500,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2001.6
Dirk Nowitzki,8086.700, 2001.7,7797.600,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2001.7
Dirk Nowitzki,8375.800, 2001.8,8086.700,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nowitdi01.jpg, 2001.8
