name,value,year,lastValue,rank,image,largeDate
Chris Paul,1010.000, 2011,822.000,21,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2011
Chris Paul,1025.200, 2011.1,1010.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2011.1
Chris Paul,1040.400, 2011.2,1025.200,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2011.2
Chris Paul,1055.600, 2011.3,1040.400,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2011.3
Chris Paul,1070.800, 2011.4,1055.600,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2011.4
Chris Paul,1086.000, 2011.5,1070.800,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2011.5
Chris Paul,1101.200, 2011.6,1086.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2011.6
Chris Paul,1116.400, 2011.7,1101.200,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2011.7
Chris Paul,1131.600, 2011.8,1116.400,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2011.8
Chris Paul,1146.800, 2011.9,1131.600,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2011.9
Chris Paul,1162.000, 2012,1146.800,13,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2012
Chris Paul,1178.900, 2012.1,1162.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2012.1
Chris Paul,1195.800, 2012.2,1178.900,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2012.2
Chris Paul,1212.700, 2012.3,1195.800,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2012.3
Chris Paul,1229.600, 2012.4,1212.700,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2012.4
Chris Paul,1246.500, 2012.5,1229.600,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2012.5
Chris Paul,1263.400, 2012.6,1246.500,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2012.6
Chris Paul,1280.300, 2012.7,1263.400,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2012.7
Chris Paul,1297.200, 2012.8,1280.300,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2012.8
Chris Paul,1314.100, 2012.9,1297.200,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2012.9
Chris Paul,1331.000, 2013,1314.100,11,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2013
Chris Paul,1346.400, 2013.1,1331.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2013.1
Chris Paul,1361.800, 2013.2,1346.400,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2013.2
Chris Paul,1377.200, 2013.3,1361.800,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2013.3
Chris Paul,1392.600, 2013.4,1377.200,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2013.4
Chris Paul,1408.000, 2013.5,1392.600,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2013.5
Chris Paul,1423.400, 2013.6,1408.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2013.6
Chris Paul,1438.800, 2013.7,1423.400,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2013.7
Chris Paul,1454.200, 2013.8,1438.800,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2013.8
Chris Paul,1469.600, 2013.9,1454.200,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2013.9
Chris Paul,1485.000, 2014,1469.600,9,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2014
Chris Paul,1500.600, 2014.1,1485.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2014.1
Chris Paul,1516.200, 2014.2,1500.600,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2014.2
Chris Paul,1531.800, 2014.3,1516.200,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2014.3
Chris Paul,1547.400, 2014.4,1531.800,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2014.4
Chris Paul,1563.000, 2014.5,1547.400,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2014.5
Chris Paul,1578.600, 2014.6,1563.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2014.6
Chris Paul,1594.200, 2014.7,1578.600,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2014.7
Chris Paul,1609.800, 2014.8,1594.200,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2014.8
Chris Paul,1625.400, 2014.9,1609.800,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2014.9
Chris Paul,1641.000, 2015,1625.400,5,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2015
Chris Paul,1656.200, 2015.1,1641.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2015.1
Chris Paul,1671.400, 2015.2,1656.200,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2015.2
Chris Paul,1686.600, 2015.3,1671.400,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2015.3
Chris Paul,1701.800, 2015.4,1686.600,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2015.4
Chris Paul,1717.000, 2015.5,1701.800,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2015.5
Chris Paul,1732.200, 2015.6,1717.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2015.6
Chris Paul,1747.400, 2015.7,1732.200,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2015.7
Chris Paul,1762.600, 2015.8,1747.400,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2015.8
Chris Paul,1777.800, 2015.9,1762.600,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2015.9
Chris Paul,1793.000, 2016,1777.800,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2016
Chris Paul,1804.900, 2016.1,1793.000,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2016.1
Chris Paul,1816.800, 2016.2,1804.900,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2016.2
Chris Paul,1828.700, 2016.3,1816.800,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2016.3
Chris Paul,1840.600, 2016.4,1828.700,0,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/paulch01.jpg, 2016.4
