name,value,year,lastValue,rank,image,largeDate
Kareem Abdul-Jabbar,29.0000,1,29.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,1
Kareem Abdul-Jabbar,48.0000,2,29.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,2
Kareem Abdul-Jabbar,84.0000,3,48.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,3
Kareem Abdul-Jabbar,107.0000,4,84.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,4
Kareem Abdul-Jabbar,123.0000,5,107.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,5
Kareem Abdul-Jabbar,151.0000,6,123.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,6
Kareem Abdul-Jabbar,194.0000,7,151.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,7
Kareem Abdul-Jabbar,217.0000,8,194.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,8
Kareem Abdul-Jabbar,242.0000,9,217.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,9
Kareem Abdul-Jabbar,278.0000,10,242.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,10
Kareem Abdul-Jabbar,295.0000,11,278.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,11
Kareem Abdul-Jabbar,324.0000,12,295.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,12
Kareem Abdul-Jabbar,348.0000,13,324.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,13
Kareem Abdul-Jabbar,376.0000,14,348.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,14
Kareem Abdul-Jabbar,392.0000,15,376.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,15
Kareem Abdul-Jabbar,418.0000,16,392.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,16
Kareem Abdul-Jabbar,446.0000,17,418.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,17
Kareem Abdul-Jabbar,467.0000,18,446.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,18
Kareem Abdul-Jabbar,498.0000,19,467.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,19
Kareem Abdul-Jabbar,519.0000,20,498.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,20
Kareem Abdul-Jabbar,532.0000,21,519.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,21
Kareem Abdul-Jabbar,565.0000,22,532.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,22
Kareem Abdul-Jabbar,594.0000,23,565.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,23
Kareem Abdul-Jabbar,617.0000,24,594.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,24
Kareem Abdul-Jabbar,640.0000,25,617.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,25
Kareem Abdul-Jabbar,664.0000,26,640.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,26
Kareem Abdul-Jabbar,700.0000,27,664.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,27
Kareem Abdul-Jabbar,726.0000,28,700.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,28
Kareem Abdul-Jabbar,751.0000,29,726.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,29
Kareem Abdul-Jabbar,764.0000,30,751.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,30
Kareem Abdul-Jabbar,788.0000,31,764.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,31
Kareem Abdul-Jabbar,820.0000,32,788.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,32
Kareem Abdul-Jabbar,849.0000,33,820.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,33
Kareem Abdul-Jabbar,874.0000,34,849.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,34
Kareem Abdul-Jabbar,887.0000,35,874.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,35
Kareem Abdul-Jabbar,909.0000,36,887.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,36
Kareem Abdul-Jabbar,938.0000,37,909.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,37
Kareem Abdul-Jabbar,973.0000,38,938.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,38
Kareem Abdul-Jabbar,1001.0000,39,973.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,39
Kareem Abdul-Jabbar,1036.0000,40,1001.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,40
Kareem Abdul-Jabbar,1077.0000,41,1036.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,41
Kareem Abdul-Jabbar,1110.0000,42,1077.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,42
Kareem Abdul-Jabbar,1137.0000,43,1110.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,43
Kareem Abdul-Jabbar,1161.0000,44,1137.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,44
Kareem Abdul-Jabbar,1184.0000,45,1161.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,45
Kareem Abdul-Jabbar,1212.0000,46,1184.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,46
Kareem Abdul-Jabbar,1258.0000,47,1212.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,47
Kareem Abdul-Jabbar,1276.0000,48,1258.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,48
Kareem Abdul-Jabbar,1299.0000,49,1276.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,49
Kareem Abdul-Jabbar,1326.0000,50,1299.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,50
Kareem Abdul-Jabbar,1354.0000,51,1326.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,51
Kareem Abdul-Jabbar,1385.0000,52,1354.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,52
Kareem Abdul-Jabbar,1419.0000,53,1385.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,53
Kareem Abdul-Jabbar,1452.0000,54,1419.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,54
Kareem Abdul-Jabbar,1479.0000,55,1452.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,55
Kareem Abdul-Jabbar,1503.0000,56,1479.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,56
Kareem Abdul-Jabbar,1528.0000,57,1503.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,57
Kareem Abdul-Jabbar,1546.0000,58,1528.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,58
Kareem Abdul-Jabbar,1575.0000,59,1546.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,59
Kareem Abdul-Jabbar,1611.0000,60,1575.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,60
Kareem Abdul-Jabbar,1647.0000,61,1611.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,61
Kareem Abdul-Jabbar,1679.0000,62,1647.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,62
Kareem Abdul-Jabbar,1720.0000,63,1679.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,63
Kareem Abdul-Jabbar,1740.0000,64,1720.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,64
Kareem Abdul-Jabbar,1766.0000,65,1740.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,65
Kareem Abdul-Jabbar,1797.0000,66,1766.0000,3,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,66
Kareem Abdul-Jabbar,1848.0000,67,1797.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,67
Kareem Abdul-Jabbar,1882.0000,68,1848.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,68
Kareem Abdul-Jabbar,1928.0000,69,1882.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,69
Kareem Abdul-Jabbar,1955.0000,70,1928.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,70
Kareem Abdul-Jabbar,1988.0000,71,1955.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,71
Kareem Abdul-Jabbar,2020.0000,72,1988.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,72
Kareem Abdul-Jabbar,2051.0000,73,2020.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,73
Kareem Abdul-Jabbar,2090.0000,74,2051.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,74
Kareem Abdul-Jabbar,2128.0000,75,2090.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,75
Kareem Abdul-Jabbar,2172.0000,76,2128.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,76
Kareem Abdul-Jabbar,2197.0000,77,2172.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,77
Kareem Abdul-Jabbar,2237.0000,78,2197.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,78
Kareem Abdul-Jabbar,2267.0000,79,2237.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,79
Kareem Abdul-Jabbar,2293.0000,80,2267.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,80
Kareem Abdul-Jabbar,2334.0000,81,2293.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,81
Kareem Abdul-Jabbar,2361.0000,82,2334.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,82
Kareem Abdul-Jabbar,2393.0000,83,2361.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,83
Kareem Abdul-Jabbar,2431.0000,84,2393.0000,2,https://www.basketball-reference.com/req/202012011/images/players/abdulka01.jpg,84
