name,value,year,lastValue,rank,image,largeDate
Steve Kerr,0.480,1996,0.000,1,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.480,1996.1,0.480,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.479,1996.2,0.480,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.479,1996.3,0.479,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.479,1996.4,0.479,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.479,1996.5,0.479,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.478,1996.6,0.479,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.478,1996.7,0.478,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.478,1996.8,0.478,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.477,1996.9,0.478,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.477,1997,0.477,1,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.477,1997.1,0.477,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.476,1997.2,0.477,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.476,1997.3,0.476,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.475,1997.4,0.476,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.475,1997.5,0.475,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.475,1997.6,0.475,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.474,1997.7,0.475,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.474,1997.8,0.474,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.473,1997.9,0.474,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.473,1998,0.473,1,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.472,1998.1,0.473,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.471,1998.2,0.472,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.470,1998.3,0.471,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.469,1998.4,0.470,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.468,1998.5,0.469,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.467,1998.6,0.468,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.466,1998.7,0.467,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.465,1998.8,0.466,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.464,1998.9,0.465,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.463,1999,0.464,1,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.463,1999.1,0.463,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.463,1999.2,0.463,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.463,1999.3,0.463,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.463,1999.4,0.463,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.464,1999.5,0.463,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.464,1999.6,0.464,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.464,1999.7,0.464,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.464,1999.8,0.464,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.464,1999.9,0.464,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.464,2000,0.464,1,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.464,2000.1,0.464,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.464,2000.2,0.464,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.463,2000.3,0.464,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.463,2000.4,0.463,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.463,2000.5,0.463,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.463,2000.6,0.463,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.463,2000.7,0.463,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.462,2000.8,0.463,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.462,2000.9,0.462,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.462,2001,0.462,1,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.462,2001.1,0.462,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.461,2001.2,0.462,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.461,2001.3,0.461,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.461,2001.4,0.461,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.461,2001.5,0.461,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.460,2001.6,0.461,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.460,2001.7,0.460,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.460,2001.8,0.460,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.459,2001.9,0.460,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.459,2002,0.459,1,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.459,2002.1,0.459,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.458,2002.2,0.459,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.458,2002.3,0.458,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.457,2002.4,0.458,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.457,2002.5,0.457,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.456,2002.6,0.457,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.456,2002.7,0.456,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.455,2002.8,0.456,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.455,2002.9,0.455,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2003,0.455,1,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2003.1,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2003.2,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2003.3,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2003.4,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2003.5,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2003.6,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2003.7,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2003.8,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2003.9,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2004,0.454,1,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2004.1,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2004.2,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2004.3,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2004.4,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2004.5,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2004.6,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2004.7,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2004.8,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2004.9,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2005,0.454,1,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2005.1,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2005.2,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2005.3,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2005.4,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2005.5,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2005.6,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2005.7,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2005.8,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2005.9,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2006,0.454,1,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
Steve Kerr,0.454,2006.1,0.454,0,https://www.basketball-reference.com/req/202006251/images/players/kerrst01.jpg,1996
