name,value,year,lastValue,rank,image,largeDate
Stephen Curry,0.0, 1979.00,0.0,951,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1980.00,0.0,935,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1981.00,0.0,920,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1982.00,0.0,906,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1983.00,0.0,881,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1984.00,0.0,864,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1985.00,0.0,846,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1986.00,0.0,830,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1987.00,0.0,819,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1988.00,0.0,801,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1989.00,0.0,787,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1990.00,0.0,779,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1991.00,0.0,765,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1992.00,0.0,750,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1993.00,0.0,736,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1994.00,0.0,724,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1995.00,0.0,717,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1996.00,0.0,709,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1997.00,0.0,698,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1998.00,0.0,691,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1999.00,0.0,674,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2000.00,0.0,661,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2001.00,0.0,640,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2002.00,0.0,621,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2003.00,0.0,611,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2004.00,0.0,600,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2005.00,0.0,588,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2006.00,0.0,573,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2007.00,0.0,558,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2008.00,0.0,548,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2009.00,0.0,538,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2010.00,0.0,526,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2011.00,0.0,516,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2012.00,0.0,506,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,163.0, 2013.00,0.0,120,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg, 2013.00
Stephen Curry,395.0, 2014.00,163.0,30,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg, 2014.00
Stephen Curry,593.0, 2015.00,395.0,12,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg, 2015.00
Stephen Curry,765.0, 2016.00,593.0,7,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg, 2016.00
Stephen Curry,927.0, 2017.00,765.0,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg, 2017.00
Stephen Curry,1171.0, 2018.00,927.0,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg, 2018.00
LeBron James,0.0, 1979.00,0.0,861,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/jamesle01.jpg,
LeBron James,0.0, 1980.00,0.0,845,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/jamesle01.jpg,
LeBron James,0.0, 1981.00,0.0,830,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/jamesle01.jpg,
LeBron James,0.0, 1982.00,0.0,816,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/jamesle01.jpg,
