name,value,year,lastValue,rank,image,largeDate
Stephen Curry,0.0, 1979.00,0.0,950,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1980.00,0.0,934,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1981.00,0.0,919,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1982.00,0.0,905,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1983.00,0.0,880,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1984.00,0.0,863,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1985.00,0.0,845,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1986.00,0.0,829,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1987.00,0.0,818,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1988.00,0.0,800,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1989.00,0.0,786,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1990.00,0.0,778,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1991.00,0.0,764,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1992.00,0.0,749,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1993.00,0.0,735,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1994.00,0.0,723,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1995.00,0.0,716,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1996.00,0.0,708,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1997.00,0.0,697,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1998.00,0.0,690,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 1999.00,0.0,673,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2000.00,0.0,660,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2001.00,0.0,639,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2002.00,0.0,620,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2003.00,0.0,610,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2004.00,0.0,599,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2005.00,0.0,587,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2006.00,0.0,572,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2007.00,0.0,557,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2008.00,0.0,547,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2009.00,0.0,537,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2010.00,0.0,525,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2011.00,0.0,515,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,0.0, 2012.00,0.0,505,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg,
Stephen Curry,64.0, 2013.00,0.0,107,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg, 2013.00
Stephen Curry,162.0, 2014.00,64.0,21,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg, 2014.00
Stephen Curry,242.0, 2015.00,162.0,10,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg, 2015.00
Stephen Curry,314.0, 2016.00,242.0,5,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg, 2016.00
Stephen Curry,378.0, 2017.00,314.0,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg, 2017.00
Stephen Curry,470.0, 2018.00,378.0,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/curryst01.jpg, 2018.00
Ray Allen,0.0, 1979.00,0.0,777,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/allenra02.jpg,
