name,value,year,lastValue,rank,image,largeDate
Derek Fisher,0.000,2008.0,0.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,
Derek Fisher,13.300,2008.1,0.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2008.1
Derek Fisher,26.600,2008.2,13.300,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2008.2
Derek Fisher,39.900,2008.3,26.600,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2008.3
Derek Fisher,53.200,2008.4,39.900,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2008.4
Derek Fisher,66.500,2008.5,53.200,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2008.5
Derek Fisher,79.800,2008.6,66.500,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2008.6
Derek Fisher,93.100,2008.7,79.800,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2008.7
Derek Fisher,106.400,2008.8,93.100,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2008.8
Derek Fisher,119.700,2008.9,106.400,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2008.9
Derek Fisher,154.000,2009,119.700,13,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2009
Derek Fisher,156.200,2009.1,154.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2009.1
Derek Fisher,158.400,2009.2,156.200,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2009.2
Derek Fisher,160.600,2009.3,158.400,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2009.3
Derek Fisher,162.800,2009.4,160.600,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2009.4
Derek Fisher,165.000,2009.5,162.800,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2009.5
Derek Fisher,167.200,2009.6,165.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2009.6
Derek Fisher,169.400,2009.7,167.200,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2009.7
Derek Fisher,171.600,2009.8,169.400,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2009.8
Derek Fisher,173.800,2009.9,171.600,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2009.9
Derek Fisher,176.000,2010,173.800,5,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2010
Derek Fisher,178.300,2010.1,176.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2010.1
Derek Fisher,180.600,2010.2,178.300,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2010.2
Derek Fisher,182.900,2010.3,180.600,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2010.3
Derek Fisher,185.200,2010.4,182.900,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2010.4
Derek Fisher,187.500,2010.5,185.200,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2010.5
Derek Fisher,189.800,2010.6,187.500,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2010.6
Derek Fisher,192.100,2010.7,189.800,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2010.7
Derek Fisher,194.400,2010.8,192.100,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2010.8
Derek Fisher,196.700,2010.9,194.400,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2010.9
Derek Fisher,199.000,2011,196.700,4,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2011
Derek Fisher,200.000,2011.1,199.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2011.1
Derek Fisher,201.000,2011.2,200.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2011.2
Derek Fisher,202.000,2011.3,201.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2011.3
Derek Fisher,203.000,2011.4,202.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2011.4
Derek Fisher,204.000,2011.5,203.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2011.5
Derek Fisher,205.000,2011.6,204.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2011.6
Derek Fisher,206.000,2011.7,205.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2011.7
Derek Fisher,207.000,2011.8,206.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2011.8
Derek Fisher,208.000,2011.9,207.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2011.9
Derek Fisher,209.000,2012,208.000,3,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2012
Derek Fisher,211.000,2012.1,209.000,0,https://www.basketball-reference.com/req/202006251/images/players/fishede01.jpg,2012.1
