name,value,year,lastValue,rank,image,largeDate
LeBron James,0.000,2011.0,0.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,
LeBron James,208.100,2011.1,0.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2011.1
LeBron James,416.200,2011.2,208.100,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2011.2
LeBron James,624.300,2011.3,416.200,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2011.3
LeBron James,832.400,2011.4,624.300,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2011.4
LeBron James,1040.500,2011.5,832.400,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2011.5
LeBron James,1248.600,2011.6,1040.500,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2011.6
LeBron James,1456.700,2011.7,1248.600,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2011.7
LeBron James,1664.800,2011.8,1456.700,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2011.8
LeBron James,1872.900,2011.9,1664.800,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2011.9
LeBron James,2578.000,2012,1872.900,16,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012
LeBron James,2647.700,2012.1,2578.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.1
LeBron James,2717.400,2012.2,2647.700,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.2
LeBron James,2787.100,2012.3,2717.400,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.3
LeBron James,2856.800,2012.4,2787.100,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.4
LeBron James,2926.500,2012.5,2856.800,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.5
LeBron James,2996.200,2012.6,2926.500,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.6
LeBron James,3065.900,2012.7,2996.200,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.7
LeBron James,3135.600,2012.8,3065.900,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.8
LeBron James,3205.300,2012.9,3135.600,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.9
LeBron James,3275.000,2013,3205.300,9,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013
LeBron James,3334.600,2013.1,3275.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.1
LeBron James,3394.200,2013.2,3334.600,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.2
LeBron James,3453.800,2013.3,3394.200,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.3
LeBron James,3513.400,2013.4,3453.800,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.4
LeBron James,3573.000,2013.5,3513.400,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.5
LeBron James,3632.600,2013.6,3573.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.6
