name,value,year,lastValue,rank,image,largeDate
LeBron James,195.000,2012,152.000,22,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012
LeBron James,199.100,2012.1,195.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.1
LeBron James,203.200,2012.2,199.100,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.2
LeBron James,207.300,2012.3,203.200,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.3
LeBron James,211.400,2012.4,207.300,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.4
LeBron James,215.500,2012.5,211.400,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.5
LeBron James,219.600,2012.6,215.500,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.6
LeBron James,223.700,2012.7,219.600,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.7
LeBron James,227.800,2012.8,223.700,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.8
LeBron James,231.900,2012.9,227.800,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2012.9
LeBron James,236.000,2013,231.900,15,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013
LeBron James,239.600,2013.1,236.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.1
LeBron James,243.200,2013.2,239.600,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.2
LeBron James,246.800,2013.3,243.200,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.3
LeBron James,250.400,2013.4,246.800,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.4
LeBron James,254.000,2013.5,250.400,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.5
LeBron James,257.600,2013.6,254.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.6
LeBron James,261.200,2013.7,257.600,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.7
LeBron James,264.800,2013.8,261.200,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.8
LeBron James,268.400,2013.9,264.800,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2013.9
LeBron James,272.000,2014,268.400,12,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2014
LeBron James,275.300,2014.1,272.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2014.1
LeBron James,278.600,2014.2,275.300,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2014.2
LeBron James,281.900,2014.3,278.600,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2014.3
LeBron James,285.200,2014.4,281.900,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2014.4
LeBron James,288.500,2014.5,285.200,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2014.5
LeBron James,291.800,2014.6,288.500,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2014.6
LeBron James,295.100,2014.7,291.800,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2014.7
LeBron James,298.400,2014.8,295.100,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2014.8
LeBron James,301.700,2014.9,298.400,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2014.9
LeBron James,305.000,2015,301.700,6,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2015
LeBron James,309.900,2015.1,305.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2015.1
LeBron James,314.800,2015.2,309.900,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2015.2
LeBron James,319.700,2015.3,314.800,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2015.3
LeBron James,324.600,2015.4,319.700,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2015.4
LeBron James,329.500,2015.5,324.600,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2015.5
LeBron James,334.400,2015.6,329.500,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2015.6
LeBron James,339.300,2015.7,334.400,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2015.7
LeBron James,344.200,2015.8,339.300,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2015.8
LeBron James,349.100,2015.9,344.200,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2015.9
LeBron James,354.000,2016,349.100,4,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2016
LeBron James,357.500,2016.1,354.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2016.1
LeBron James,361.000,2016.2,357.500,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2016.2
LeBron James,364.500,2016.3,361.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2016.3
LeBron James,368.000,2016.4,364.500,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2016.4
LeBron James,371.500,2016.5,368.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2016.5
LeBron James,375.000,2016.6,371.500,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2016.6
LeBron James,378.500,2016.7,375.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2016.7
LeBron James,382.000,2016.8,378.500,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2016.8
LeBron James,385.500,2016.9,382.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2016.9
LeBron James,389.000,2017,385.500,2,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2017
LeBron James,392.000,2017.1,389.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2017.1
LeBron James,395.000,2017.2,392.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2017.2
LeBron James,398.000,2017.3,395.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2017.3
LeBron James,401.000,2017.4,398.000,0,https://www.basketball-reference.com/req/202006251/images/players/jamesle01.jpg,2017.4
