name,value,year,lastValue,rank,image,largeDate,country
Minnesota Timberwolves,0.268,1990,10000,6,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990,Minnesota Timberwolves
Minnesota Timberwolves,0.27,1990.05,0.268,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.05,Minnesota Timberwolves
Minnesota Timberwolves,0.272,1990.1,0.27,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.1,Minnesota Timberwolves
Minnesota Timberwolves,0.274,1990.15,0.272,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.15,Minnesota Timberwolves
Minnesota Timberwolves,0.277,1990.2,0.274,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.2,Minnesota Timberwolves
Minnesota Timberwolves,0.279,1990.25,0.277,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.25,Minnesota Timberwolves
Minnesota Timberwolves,0.281,1990.3,0.279,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.3,Minnesota Timberwolves
Minnesota Timberwolves,0.283,1990.35,0.281,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.35,Minnesota Timberwolves
Minnesota Timberwolves,0.285,1990.4,0.283,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.4,Minnesota Timberwolves
Minnesota Timberwolves,0.287,1990.45,0.285,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.45,Minnesota Timberwolves
Minnesota Timberwolves,0.29,1990.5,0.287,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.5,Minnesota Timberwolves
Minnesota Timberwolves,0.292,1990.55,0.29,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.55,Minnesota Timberwolves
Minnesota Timberwolves,0.294,1990.6,0.292,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.6,Minnesota Timberwolves
Minnesota Timberwolves,0.296,1990.65,0.294,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.65,Minnesota Timberwolves
Minnesota Timberwolves,0.298,1990.7,0.296,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.7,Minnesota Timberwolves
Minnesota Timberwolves,0.3,1990.75,0.298,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.75,Minnesota Timberwolves
Minnesota Timberwolves,0.302,1990.8,0.3,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.8,Minnesota Timberwolves
Minnesota Timberwolves,0.305,1990.85,0.302,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.85,Minnesota Timberwolves
Minnesota Timberwolves,0.307,1990.9,0.305,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.9,Minnesota Timberwolves
Minnesota Timberwolves,0.309,1990.95,0.307,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1990.95,Minnesota Timberwolves
Minnesota Timberwolves,0.311,1991,0.309,9,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1991,Minnesota Timberwolves
Minnesota Timberwolves,0.309,1991.05,0.311,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202102032/tlogo/bbr/MIN.png,1991,Minnesota Timberwolves
