name,value,year,lastValue,rank,image,largeDate
Freddie Crawford,0.0, 1979.00,0.0,480,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/crawffr01.jpg,
Dave Wohl,0.0, 1979.00,0.0,481,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/wohlda01.jpg,
Nelson Bobb,0.0, 1979.00,0.0,482,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/bobbne01.jpg,
Mack Calvin,0.0, 1979.00,0.0,483,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/calvima01.jpg,
Dick Garrett,0.0, 1979.00,0.0,484,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/garredi01.jpg,
Duane Klueh,0.0, 1979.00,0.0,485,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/kluehdu01.jpg,
Ed Leede,0.0, 1979.00,0.0,489,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/leedeed01.jpg,
Bob Christian,0.0, 1979.00,0.0,490,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/chrisbo01.jpg,
Reggie Harding,0.0, 1979.00,0.0,491,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/hardire01.jpg,
Brady Walker,0.0, 1979.00,0.0,492,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/walkebr01.jpg,
Bob Brannum,0.0, 1979.00,0.0,493,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/brannbo01.jpg,
Howie Schultz,0.0, 1979.00,0.0,495,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/schulho01.jpg,
Stan Love,0.0, 1979.00,0.0,496,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/lovest01.jpg,
Alfred McGuire,0.0, 1979.00,0.0,497,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mcguial01.jpg,
Al Butler,0.0, 1979.00,0.0,447,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/butleal01.jpg,
Al Butler,0.0, 1980.00,0.0,458,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/butleal01.jpg,
Dave Piontek,0.0, 1979.00,0.0,448,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/piontda01.jpg,
Dave Piontek,0.0, 1980.00,0.0,459,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/piontda01.jpg,
Bruce Seals,0.0, 1979.00,0.0,449,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/sealsbr01.jpg,
Bruce Seals,0.0, 1980.00,0.0,460,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/sealsbr01.jpg,
Bob Carpenter,0.0, 1979.00,0.0,450,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/carpebo01.jpg,
Bob Carpenter,0.0, 1980.00,0.0,461,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/carpebo01.jpg,
Lamar Green,0.0, 1979.00,0.0,451,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/greenla01.jpg,
Lamar Green,0.0, 1980.00,0.0,462,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/greenla01.jpg,
Larry Staverman,0.0, 1979.00,0.0,452,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/stavela01.jpg,
Larry Staverman,0.0, 1980.00,0.0,463,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/stavela01.jpg,
Louie Dampier,0.0, 1979.00,0.0,455,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/dampilo01.jpg,
Louie Dampier,0.0, 1980.00,0.0,466,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/dampilo01.jpg,
Bill McGill,0.0, 1979.00,0.0,457,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mcgilbi01.jpg,
Bill McGill,0.0, 1980.00,0.0,468,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mcgilbi01.jpg,
Fran Curran,0.0, 1979.00,0.0,458,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/currafr01.jpg,
Fran Curran,0.0, 1980.00,0.0,469,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/currafr01.jpg,
George Lee,0.0, 1979.00,0.0,459,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/leege01.jpg,
George Lee,0.0, 1980.00,0.0,470,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/leege01.jpg,
Ed Peterson,0.0, 1979.00,0.0,460,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/petered01.jpg,
Ed Peterson,0.0, 1980.00,0.0,471,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/petered01.jpg,
John Wetzel,0.0, 1979.00,0.0,462,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/wetzejo01.jpg,
John Wetzel,0.0, 1980.00,0.0,473,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/wetzejo01.jpg,
Barney Cable,0.0, 1979.00,0.0,463,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/cableba01.jpg,
Barney Cable,0.0, 1980.00,0.0,474,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/cableba01.jpg,
George Kaftan,0.0, 1979.00,0.0,465,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/kaftage01.jpg,
George Kaftan,0.0, 1980.00,0.0,476,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/kaftage01.jpg,
Dorie Murrey,0.0, 1979.00,0.0,466,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/murredo01.jpg,
Dorie Murrey,0.0, 1980.00,0.0,477,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/murredo01.jpg,
Togo Palazzi,0.0, 1979.00,0.0,467,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/palazto01.jpg,
Togo Palazzi,0.0, 1980.00,0.0,478,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/palazto01.jpg,
Louie Nelson,0.0, 1979.00,0.0,468,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nelsolo01.jpg,
Louie Nelson,0.0, 1980.00,0.0,479,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/nelsolo01.jpg,
Ed Stanczak,0.0, 1979.00,0.0,469,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/stanced01.jpg,
Ed Stanczak,0.0, 1980.00,0.0,480,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/stanced01.jpg,
Mike Farmer,0.0, 1979.00,0.0,470,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/farmemi01.jpg,
Mike Farmer,0.0, 1980.00,0.0,481,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/farmemi01.jpg,
Jimmy Jones,0.0, 1979.00,0.0,473,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/jonesji01.jpg,
Jimmy Jones,0.0, 1980.00,0.0,483,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/jonesji01.jpg,
Jack McMahon,0.0, 1979.00,0.0,475,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mcmahja01.jpg,
Jack McMahon,0.0, 1980.00,0.0,485,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mcmahja01.jpg,
Al Skinner,0.0, 1979.00,0.0,476,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/skinnal01.jpg,
Al Skinner,0.0, 1980.00,0.0,486,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/skinnal01.jpg,
John Trapp,0.0, 1979.00,0.0,477,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/trappjo01.jpg,
John Trapp,0.0, 1980.00,0.0,487,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/trappjo01.jpg,
Harthorne Wingo,0.0, 1979.00,0.0,479,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/wingoha01.jpg,
