name,value,year,lastValue,rank,image,largeDate
Moses Malone,875.700,1978.1,817.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1978.1
Moses Malone,934.400,1978.2,875.700,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1978.2
Moses Malone,993.100,1978.3,934.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1978.3
Moses Malone,1051.800,1978.4,993.100,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1978.4
Moses Malone,1110.500,1978.5,1051.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1978.5
Moses Malone,1169.200,1978.6,1110.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1978.6
Moses Malone,1227.900,1978.7,1169.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1978.7
Moses Malone,1286.600,1978.8,1227.900,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1978.8
Moses Malone,1345.300,1978.9,1286.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1978.9
Moses Malone,1404.000,1979,1345.300,6,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1979
Moses Malone,1461.300,1979.1,1404.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1979.1
Moses Malone,1518.600,1979.2,1461.300,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1979.2
Moses Malone,1575.900,1979.3,1518.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1979.3
Moses Malone,1633.200,1979.4,1575.900,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1979.4
Moses Malone,1690.500,1979.5,1633.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1979.5
Moses Malone,1747.800,1979.6,1690.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1979.6
Moses Malone,1805.100,1979.7,1747.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1979.7
Moses Malone,1862.400,1979.8,1805.100,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1979.8
Moses Malone,1919.700,1979.9,1862.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1979.9
Moses Malone,1977.000,1980,1919.700,3,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1980
Moses Malone,2024.400,1980.1,1977.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1980.1
Moses Malone,2071.800,1980.2,2024.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1980.2
Moses Malone,2119.200,1980.3,2071.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1980.3
Moses Malone,2166.600,1980.4,2119.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1980.4
Moses Malone,2214.000,1980.5,2166.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1980.5
Moses Malone,2261.400,1980.6,2214.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1980.6
Moses Malone,2308.800,1980.7,2261.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1980.7
Moses Malone,2356.200,1980.8,2308.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1980.8
Moses Malone,2403.600,1980.9,2356.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1980.9
Moses Malone,2451.000,1981,2403.600,1,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1981
Moses Malone,2506.800,1981.1,2451.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1981.1
Moses Malone,2562.600,1981.2,2506.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1981.2
Moses Malone,2618.400,1981.3,2562.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1981.3
Moses Malone,2674.200,1981.4,2618.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1981.4
Moses Malone,2730.000,1981.5,2674.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1981.5
Moses Malone,2785.800,1981.6,2730.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1981.6
Moses Malone,2841.600,1981.7,2785.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1981.7
Moses Malone,2897.400,1981.8,2841.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1981.8
Moses Malone,2953.200,1981.9,2897.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1981.9
Moses Malone,3009.000,1982,2953.200,1,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1982
Moses Malone,3053.500,1982.1,3009.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1982.1
Moses Malone,3098.000,1982.2,3053.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1982.2
Moses Malone,3142.500,1982.3,3098.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1982.3
Moses Malone,3187.000,1982.4,3142.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1982.4
Moses Malone,3231.500,1982.5,3187.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1982.5
Moses Malone,3276.000,1982.6,3231.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1982.6
Moses Malone,3320.500,1982.7,3276.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1982.7
Moses Malone,3365.000,1982.8,3320.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1982.8
Moses Malone,3409.500,1982.9,3365.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1982.9
Moses Malone,3454.000,1983,3409.500,1,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1983
Moses Malone,3489.200,1983.1,3454.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1983.1
Moses Malone,3524.400,1983.2,3489.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1983.2
Moses Malone,3559.600,1983.3,3524.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1983.3
Moses Malone,3594.800,1983.4,3559.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1983.4
Moses Malone,3630.000,1983.5,3594.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1983.5
Moses Malone,3665.200,1983.6,3630.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1983.6
Moses Malone,3700.400,1983.7,3665.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1983.7
Moses Malone,3735.600,1983.8,3700.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1983.8
Moses Malone,3770.800,1983.9,3735.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1983.9
Moses Malone,3806.000,1984,3770.800,1,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1984
Moses Malone,3844.500,1984.1,3806.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1984.1
Moses Malone,3883.000,1984.2,3844.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1984.2
Moses Malone,3921.500,1984.3,3883.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1984.3
Moses Malone,3960.000,1984.4,3921.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1984.4
Moses Malone,3998.500,1984.5,3960.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1984.5
Moses Malone,4037.000,1984.6,3998.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1984.6
Moses Malone,4075.500,1984.7,4037.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1984.7
Moses Malone,4114.000,1984.8,4075.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1984.8
Moses Malone,4152.500,1984.9,4114.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1984.9
Moses Malone,4191.000,1985,4152.500,1,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1985
Moses Malone,4224.900,1985.1,4191.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1985.1
Moses Malone,4258.800,1985.2,4224.900,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1985.2
Moses Malone,4292.700,1985.3,4258.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1985.3
Moses Malone,4326.600,1985.4,4292.700,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1985.4
Moses Malone,4360.500,1985.5,4326.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1985.5
Moses Malone,4394.400,1985.6,4360.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1985.6
Moses Malone,4428.300,1985.7,4394.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1985.7
Moses Malone,4462.200,1985.8,4428.300,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1985.8
Moses Malone,4496.100,1985.9,4462.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1985.9
Moses Malone,4530.000,1986,4496.100,1,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1986
Moses Malone,4564.000,1986.1,4530.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1986.1
Moses Malone,4598.000,1986.2,4564.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1986.2
Moses Malone,4632.000,1986.3,4598.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1986.3
Moses Malone,4666.000,1986.4,4632.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1986.4
Moses Malone,4700.000,1986.5,4666.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1986.5
Moses Malone,4734.000,1986.6,4700.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1986.6
Moses Malone,4768.000,1986.7,4734.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1986.7
Moses Malone,4802.000,1986.8,4768.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1986.8
Moses Malone,4836.000,1986.9,4802.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1986.9
Moses Malone,4870.000,1987,4836.000,1,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1987
Moses Malone,4907.200,1987.1,4870.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1987.1
Moses Malone,4944.400,1987.2,4907.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1987.2
Moses Malone,4981.600,1987.3,4944.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1987.3
Moses Malone,5018.800,1987.4,4981.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1987.4
Moses Malone,5056.000,1987.5,5018.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1987.5
Moses Malone,5093.200,1987.6,5056.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1987.6
Moses Malone,5130.400,1987.7,5093.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1987.7
Moses Malone,5167.600,1987.8,5130.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1987.8
Moses Malone,5204.800,1987.9,5167.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1987.9
Moses Malone,5242.000,1988,5204.800,1,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1988
Moses Malone,5280.600,1988.1,5242.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonmo01.jpg,1988.1
