name,value,year,lastValue,rank,image,largeDate
John Stockton,1178.400,1990.1,1155.000,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1990.1
John Stockton,1201.800,1990.2,1178.400,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1990.2
John Stockton,1225.200,1990.3,1201.800,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1990.3
John Stockton,1248.600,1990.4,1225.200,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1990.4
John Stockton,1272.000,1990.5,1248.600,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1990.5
John Stockton,1295.400,1990.6,1272.000,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1990.6
John Stockton,1318.800,1990.7,1295.400,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1990.7
John Stockton,1342.200,1990.8,1318.800,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1990.8
John Stockton,1365.600,1990.9,1342.200,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1990.9
John Stockton,1389.000,1991,1365.600,14,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1991
John Stockton,1413.400,1991.1,1389.000,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1991.1
John Stockton,1437.800,1991.2,1413.400,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1991.2
John Stockton,1462.200,1991.3,1437.800,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1991.3
John Stockton,1486.600,1991.4,1462.200,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1991.4
John Stockton,1511.000,1991.5,1486.600,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1991.5
John Stockton,1535.400,1991.6,1511.000,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1991.6
John Stockton,1559.800,1991.7,1535.400,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1991.7
John Stockton,1584.200,1991.8,1559.800,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1991.8
John Stockton,1608.600,1991.9,1584.200,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1991.9
John Stockton,1633.000,1992,1608.600,6,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1992
John Stockton,1652.900,1992.1,1633.000,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1992.1
John Stockton,1672.800,1992.2,1652.900,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1992.2
John Stockton,1692.700,1992.3,1672.800,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1992.3
John Stockton,1712.600,1992.4,1692.700,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1992.4
John Stockton,1732.500,1992.5,1712.600,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1992.5
John Stockton,1752.400,1992.6,1732.500,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1992.6
John Stockton,1772.300,1992.7,1752.400,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1992.7
John Stockton,1792.200,1992.8,1772.300,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1992.8
John Stockton,1812.100,1992.9,1792.200,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1992.9
John Stockton,1832.000,1993,1812.100,3,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1993
John Stockton,1851.900,1993.1,1832.000,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1993.1
John Stockton,1871.800,1993.2,1851.900,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1993.2
John Stockton,1891.700,1993.3,1871.800,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1993.3
John Stockton,1911.600,1993.4,1891.700,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1993.4
John Stockton,1931.500,1993.5,1911.600,0,https://www.basketball-reference.com/req/202006251/images/players/stockjo01.jpg,1993.5
