name,value,year,lastValue,rank,image,largeDate
Karl Malone,2185.400,1993.1,2162.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1993.1
Karl Malone,2208.800,1993.2,2185.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1993.2
Karl Malone,2232.200,1993.3,2208.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1993.3
Karl Malone,2255.600,1993.4,2232.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1993.4
Karl Malone,2279.000,1993.5,2255.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1993.5
Karl Malone,2302.400,1993.6,2279.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1993.6
Karl Malone,2325.800,1993.7,2302.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1993.7
Karl Malone,2349.200,1993.8,2325.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1993.8
Karl Malone,2372.600,1993.9,2349.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1993.9
Karl Malone,2396.000,1994,2372.600,18,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1994
Karl Malone,2419.600,1994.1,2396.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1994.1
Karl Malone,2443.200,1994.2,2419.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1994.2
Karl Malone,2466.800,1994.3,2443.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1994.3
Karl Malone,2490.400,1994.4,2466.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1994.4
Karl Malone,2514.000,1994.5,2490.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1994.5
Karl Malone,2537.600,1994.6,2514.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1994.6
Karl Malone,2561.200,1994.7,2537.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1994.7
Karl Malone,2584.800,1994.8,2561.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1994.8
Karl Malone,2608.400,1994.9,2584.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1994.9
Karl Malone,2632.000,1995,2608.400,11,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1995
Karl Malone,2651.900,1995.1,2632.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1995.1
Karl Malone,2671.800,1995.2,2651.900,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1995.2
Karl Malone,2691.700,1995.3,2671.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1995.3
Karl Malone,2711.600,1995.4,2691.700,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1995.4
Karl Malone,2731.500,1995.5,2711.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1995.5
Karl Malone,2751.400,1995.6,2731.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1995.6
Karl Malone,2771.300,1995.7,2751.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1995.7
Karl Malone,2791.200,1995.8,2771.300,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1995.8
Karl Malone,2811.100,1995.9,2791.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1995.9
Karl Malone,2831.000,1996,2811.100,9,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1996
Karl Malone,2854.300,1996.1,2831.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1996.1
Karl Malone,2877.600,1996.2,2854.300,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1996.2
Karl Malone,2900.900,1996.3,2877.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1996.3
Karl Malone,2924.200,1996.4,2900.900,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1996.4
Karl Malone,2947.500,1996.5,2924.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1996.5
Karl Malone,2970.800,1996.6,2947.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1996.6
Karl Malone,2994.100,1996.7,2970.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1996.7
Karl Malone,3017.400,1996.8,2994.100,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1996.8
Karl Malone,3040.700,1996.9,3017.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1996.9
Karl Malone,3064.000,1997,3040.700,9,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1997
Karl Malone,3088.700,1997.1,3064.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1997.1
Karl Malone,3113.400,1997.2,3088.700,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1997.2
Karl Malone,3138.100,1997.3,3113.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1997.3
Karl Malone,3162.800,1997.4,3138.100,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1997.4
Karl Malone,3187.500,1997.5,3162.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1997.5
Karl Malone,3212.200,1997.6,3187.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1997.6
Karl Malone,3236.900,1997.7,3212.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1997.7
Karl Malone,3261.600,1997.8,3236.900,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1997.8
Karl Malone,3286.300,1997.9,3261.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1997.9
Karl Malone,3311.000,1998,3286.300,6,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1998
Karl Malone,3327.200,1998.1,3311.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1998.1
Karl Malone,3343.400,1998.2,3327.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1998.2
Karl Malone,3359.600,1998.3,3343.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1998.3
Karl Malone,3375.800,1998.4,3359.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1998.4
Karl Malone,3392.000,1998.5,3375.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1998.5
Karl Malone,3408.200,1998.6,3392.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1998.6
Karl Malone,3424.400,1998.7,3408.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1998.7
Karl Malone,3440.600,1998.8,3424.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1998.8
Karl Malone,3456.800,1998.9,3440.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1998.9
Karl Malone,3473.000,1999,3456.800,5,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1999
Karl Malone,3496.100,1999.1,3473.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1999.1
Karl Malone,3519.200,1999.2,3496.100,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1999.2
Karl Malone,3542.300,1999.3,3519.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1999.3
Karl Malone,3565.400,1999.4,3542.300,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1999.4
Karl Malone,3588.500,1999.5,3565.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1999.5
Karl Malone,3611.600,1999.6,3588.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1999.6
Karl Malone,3634.700,1999.7,3611.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1999.7
Karl Malone,3657.800,1999.8,3634.700,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1999.8
Karl Malone,3680.900,1999.9,3657.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,1999.9
Karl Malone,3704.000,2000,3680.900,2,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2000
Karl Malone,3728.400,2000.1,3704.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2000.1
Karl Malone,3752.800,2000.2,3728.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2000.2
Karl Malone,3777.200,2000.3,3752.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2000.3
Karl Malone,3801.600,2000.4,3777.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2000.4
Karl Malone,3826.000,2000.5,3801.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2000.5
Karl Malone,3850.400,2000.6,3826.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2000.6
Karl Malone,3874.800,2000.7,3850.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2000.7
Karl Malone,3899.200,2000.8,3874.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2000.8
Karl Malone,3923.600,2000.9,3899.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2000.9
Karl Malone,3948.000,2001,3923.600,1,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2001
Karl Malone,3974.300,2001.1,3948.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2001.1
Karl Malone,4000.600,2001.2,3974.300,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2001.2
Karl Malone,4026.900,2001.3,4000.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2001.3
Karl Malone,4053.200,2001.4,4026.900,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2001.4
Karl Malone,4079.500,2001.5,4053.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2001.5
Karl Malone,4105.800,2001.6,4079.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2001.6
Karl Malone,4132.100,2001.7,4105.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2001.7
Karl Malone,4158.400,2001.8,4132.100,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2001.8
Karl Malone,4184.700,2001.9,4158.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2001.9
Karl Malone,4211.000,2002,4184.700,1,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2002
Karl Malone,4232.000,2002.1,4211.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2002.1
Karl Malone,4253.000,2002.2,4232.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2002.2
Karl Malone,4274.000,2002.3,4253.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2002.3
Karl Malone,4295.000,2002.4,4274.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2002.4
Karl Malone,4316.000,2002.5,4295.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2002.5
Karl Malone,4337.000,2002.6,4316.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2002.6
Karl Malone,4358.000,2002.7,4337.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2002.7
Karl Malone,4379.000,2002.8,4358.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2002.8
Karl Malone,4400.000,2002.9,4379.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2002.9
Karl Malone,4421.000,2003,4400.000,1,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2003
Karl Malone,4431.300,2003.1,4421.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2003.1
Karl Malone,4441.600,2003.2,4431.300,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2003.2
Karl Malone,4451.900,2003.3,4441.600,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2003.3
Karl Malone,4462.200,2003.4,4451.900,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2003.4
Karl Malone,4472.500,2003.5,4462.200,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2003.5
Karl Malone,4482.800,2003.6,4472.500,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2003.6
Karl Malone,4493.100,2003.7,4482.800,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2003.7
Karl Malone,4503.400,2003.8,4493.100,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2003.8
Karl Malone,4513.700,2003.9,4503.400,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2003.9
Karl Malone,4524.000,2004,4513.700,1,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2004
Karl Malone,4524.000,2004.1,4524.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2004
Karl Malone,4524.000,2004.2,4524.000,0,https://www.basketball-reference.com/req/202006251/images/players/malonka01.jpg,2004
