name,value,year,lastValue,rank,image,largeDate
Jack Stephens,0, 1977.00,0,300,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/stephja01.jpg,
Bill Turner,0, 1977.00,0,301,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/turnebi01.jpg,
Tony Lavelli,0, 1977.00,0,302,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/lavelto01.jpg,
Johnny McCarthy,0, 1977.00,0,303,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mccarjo01.jpg,
Luther Rackley,0, 1977.00,0,304,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/rackllu01.jpg,
Cliff Meely,0, 1977.00,0,305,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/meelycl01.jpg,
John Brisker,0, 1977.00,0,306,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/briskjo01.jpg,
Donnie Butcher,0, 1977.00,0,307,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/butchdo01.jpg,
Jim Palmer,0, 1977.00,0,308,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/palmeji01.jpg,
Pat Riley,0, 1977.00,0,309,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/rileypa01.jpg,
Bob Portman,0, 1977.00,0,310,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/portmbo01.jpg,
Don Henriksen,0, 1977.00,0,311,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/henrido01.jpg,
Hot Rod Hundley,0, 1977.00,0,312,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/hundlho01.jpg,
Ed Sadowski,0, 1977.00,0,313,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/sadowed01.jpg,
Cliff Pondexter,30, 1977.00,30,878,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/pondecl01.jpg,
Jim Eakins,33, 1977.00,33,879,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/eakinji01.jpg,
Mo Layton,59, 1977.00,59,892,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/laytomo01.jpg,
Wil Jones,137, 1977.00,137,942,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/joneswi02.jpg,
Rowland Garrett,0, 1977.00,0,275,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/garrero01.jpg,
Rowland Garrett,0, 1978.00,0,292,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/garrero01.jpg,
Herm Schaefer,0, 1977.00,0,276,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/schaehe01.jpg,
Herm Schaefer,0, 1978.00,0,293,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/schaehe01.jpg,
Dave Sorenson,0, 1977.00,0,277,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/sorenda01.jpg,
Dave Sorenson,0, 1978.00,0,294,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/sorenda01.jpg,
Dick Hemric,0, 1977.00,0,278,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/hemridi01.jpg,
Dick Hemric,0, 1978.00,0,295,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/hemridi01.jpg,
Ralph Johnson,0, 1977.00,0,279,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/johnsra01.jpg,
Ralph Johnson,0, 1978.00,0,296,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/johnsra01.jpg,
Ed Kalafat,0, 1977.00,0,280,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/kalafed01.jpg,
Ed Kalafat,0, 1978.00,0,297,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/kalafed01.jpg,
Kenny Sailors,0, 1977.00,0,281,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/sailoke01.jpg,
Kenny Sailors,0, 1978.00,0,298,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/sailoke01.jpg,
Mike Todorovich,0, 1977.00,0,282,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/todormi01.jpg,
Mike Todorovich,0, 1978.00,0,299,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/todormi01.jpg,
Bill Hewitt,0, 1977.00,0,283,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/hewitbi01.jpg,
Bill Hewitt,0, 1978.00,0,300,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/hewitbi01.jpg,
John Logan,0, 1977.00,0,284,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/loganjo01.jpg,
John Logan,0, 1978.00,0,301,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/loganjo01.jpg,
Bill Tosheff,0, 1977.00,0,285,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/toshebi01.jpg,
Bill Tosheff,0, 1978.00,0,302,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/toshebi01.jpg,
Gene Conley,0, 1977.00,0,286,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/conlege01.jpg,
Gene Conley,0, 1978.00,0,303,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/conlege01.jpg,
Eddie Miller,0, 1977.00,0,287,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/milleed01.jpg,
Eddie Miller,0, 1978.00,0,304,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/milleed01.jpg,
Terry Driscoll,0, 1977.00,0,288,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/driscte01.jpg,
Terry Driscoll,0, 1978.00,0,305,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/driscte01.jpg,
Joe Ellis,0, 1977.00,0,289,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/ellisjo01.jpg,
Joe Ellis,0, 1978.00,0,306,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/ellisjo01.jpg,
Arnie Ferrin,0, 1977.00,0,290,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/ferriar01.jpg,
Arnie Ferrin,0, 1978.00,0,307,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/ferriar01.jpg,
Howard Komives,0, 1977.00,0,291,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/komivho01.jpg,
Howard Komives,0, 1978.00,0,308,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/komivho01.jpg,
Charlie Tyra,0, 1977.00,0,292,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/tyrach01.jpg,
Charlie Tyra,0, 1978.00,0,309,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/tyrach01.jpg,
Mike Davis,0, 1977.00,0,293,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/davismi01.jpg,
Mike Davis,0, 1978.00,0,310,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/davismi01.jpg,
Walt Davis,0, 1977.00,0,294,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/daviswa01.jpg,
Walt Davis,0, 1978.00,0,311,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/daviswa01.jpg,
Archie Dees,0, 1977.00,0,295,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/deesar01.jpg,
Archie Dees,0, 1978.00,0,312,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/deesar01.jpg,
Bruce Hale,0, 1977.00,0,296,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/halebr01.jpg,
Bruce Hale,0, 1978.00,0,313,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/halebr01.jpg,
John Hummer,0, 1977.00,0,297,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/hummejo01.jpg,
John Hummer,0, 1978.00,0,314,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/hummejo01.jpg,
