name,value,year,lastValue,rank,image,largeDate,country
Bruce Smith,57.500,1989,44.500,18,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989,BruceSmith
Bruce Smith,58.450,1989.05,57.500,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.05,BruceSmith
Bruce Smith,59.400,1989.1,58.450,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.1,BruceSmith
Bruce Smith,60.350,1989.15,59.400,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.15,BruceSmith
Bruce Smith,61.300,1989.2,60.350,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.2,BruceSmith
Bruce Smith,62.250,1989.25,61.300,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.25,BruceSmith
Bruce Smith,63.200,1989.3,62.250,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.3,BruceSmith
Bruce Smith,64.150,1989.35,63.200,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.35,BruceSmith
Bruce Smith,65.100,1989.4,64.150,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.4,BruceSmith
Bruce Smith,66.050,1989.45,65.100,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.45,BruceSmith
Bruce Smith,67.000,1989.5,66.050,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.5,BruceSmith
Bruce Smith,67.950,1989.55,67.000,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.55,BruceSmith
Bruce Smith,68.900,1989.6,67.950,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.6,BruceSmith
Bruce Smith,69.850,1989.65,68.900,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.65,BruceSmith
Bruce Smith,70.800,1989.7,69.850,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.7,BruceSmith
Bruce Smith,71.750,1989.75,70.800,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.75,BruceSmith
Bruce Smith,72.700,1989.8,71.750,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.8,BruceSmith
Bruce Smith,73.650,1989.85,72.700,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.85,BruceSmith
Bruce Smith,74.600,1989.9,73.650,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.9,BruceSmith
Bruce Smith,75.550,1989.95,74.600,0,https://www.pro-football-reference.com/req/20180910/images/headshots/SmitBr00_2019.jpg,1989.95,BruceSmith
