name,value,year,lastValue,rank,image,largeDate,country
Matt Prater,59.000,2010,56.000,12,https://www.pro-football-reference.com/req/20180910/images/headshots/PratMa20_2020.jpg,2010,Matt Prater
Matt Prater,59.000,2011,59.000,12,https://www.pro-football-reference.com/req/20180910/images/headshots/PratMa20_2020.jpg,2010,Matt Prater
Matt Prater,59.000,2012,59.000,15,https://www.pro-football-reference.com/req/20180910/images/headshots/PratMa20_2020.jpg,2010,Matt Prater
Matt Prater,64.000,2013,59.000,1,https://www.pro-football-reference.com/req/20180910/images/headshots/PratMa20_2020.jpg,2013,Matt Prater
Matt Prater,64.000,2014,64.000,1,https://www.pro-football-reference.com/req/20180910/images/headshots/PratMa20_2020.jpg,2013,Matt Prater
Matt Prater,64.000,2015,64.000,1,https://www.pro-football-reference.com/req/20180910/images/headshots/PratMa20_2020.jpg,2013,Matt Prater
Matt Prater,64.000,2016,64.000,1,https://www.pro-football-reference.com/req/20180910/images/headshots/PratMa20_2020.jpg,2013,Matt Prater
Matt Prater,64.000,2017,64.000,1,https://www.pro-football-reference.com/req/20180910/images/headshots/PratMa20_2020.jpg,2013,Matt Prater
Matt Prater,64.000,2018,64.000,1,https://www.pro-football-reference.com/req/20180910/images/headshots/PratMa20_2020.jpg,2013,Matt Prater
Matt Prater,64.000,2019,64.000,1,https://www.pro-football-reference.com/req/20180910/images/headshots/PratMa20_2020.jpg,2013,Matt Prater
Matt Prater,64.000,2020,64.000,1,https://www.pro-football-reference.com/req/20180910/images/headshots/PratMa20_2020.jpg,2013,Matt Prater
Tom Dempsey,55.000,1969,0.000,2,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1969,Tom Dempsey
Tom Dempsey,63.000,1970,55.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1971,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1972,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1973,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1974,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1975,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1976,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1977,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1978,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1979,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1980,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1981,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1982,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1983,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1984,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1985,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1986,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
Tom Dempsey,63.000,1987,63.000,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1970,Tom Dempsey
