name,value,year,lastValue,rank,image,largeDate
Lamar Jackson,7.400,2019,0.000,1,https://www.pro-football-reference.com/req/20180910/images/headshots/JackLa00_2020.jpg,2019
Lamar Jackson,7.380,2019.1,7.400,0,https://www.pro-football-reference.com/req/20180910/images/headshots/JackLa00_2020.jpg,2019
Lamar Jackson,7.360,2019.2,7.380,0,https://www.pro-football-reference.com/req/20180910/images/headshots/JackLa00_2020.jpg,2019
Lamar Jackson,7.340,2019.3,7.360,0,https://www.pro-football-reference.com/req/20180910/images/headshots/JackLa00_2020.jpg,2019
Lamar Jackson,7.320,2019.4,7.340,0,https://www.pro-football-reference.com/req/20180910/images/headshots/JackLa00_2020.jpg,2019
Lamar Jackson,7.300,2019.5,7.320,0,https://www.pro-football-reference.com/req/20180910/images/headshots/JackLa00_2020.jpg,2019
Lamar Jackson,7.280,2019.6,7.300,0,https://www.pro-football-reference.com/req/20180910/images/headshots/JackLa00_2020.jpg,2019
Lamar Jackson,7.260,2019.7,7.280,0,https://www.pro-football-reference.com/req/20180910/images/headshots/JackLa00_2020.jpg,2019
Lamar Jackson,7.240,2019.8,7.260,0,https://www.pro-football-reference.com/req/20180910/images/headshots/JackLa00_2020.jpg,2019
Lamar Jackson,7.220,2019.9,7.240,0,https://www.pro-football-reference.com/req/20180910/images/headshots/JackLa00_2020.jpg,2019
Lamar Jackson,7.200,2020,7.220,1,https://www.pro-football-reference.com/req/20180910/images/headshots/JackLa00_2020.jpg,2019
Patrick Mahomes ,8.100,2018,0.000,1,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,7.980,2018.1,8.100,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,7.860,2018.2,7.980,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,7.740,2018.3,7.860,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,7.620,2018.4,7.740,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,7.500,2018.5,7.620,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,7.380,2018.6,7.500,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,7.260,2018.7,7.380,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,7.140,2018.8,7.260,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,7.020,2018.9,7.140,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,6.900,2019,7.020,2,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,6.890,2019.1,6.900,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,6.880,2019.2,6.890,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,6.870,2019.3,6.880,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,6.860,2019.4,6.870,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,6.850,2019.5,6.860,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,6.840,2019.6,6.850,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,6.830,2019.7,6.840,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,6.820,2019.8,6.830,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,6.810,2019.9,6.820,0,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Patrick Mahomes ,6.800,2020,6.810,2,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2018.jpg,2018
Aaron Rodgers ,4.900,2008,0.000,18,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2008
Aaron Rodgers ,4.930,2008.1,4.900,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2008.1
Aaron Rodgers ,4.960,2008.2,4.930,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2008.2
Aaron Rodgers ,4.990,2008.3,4.960,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2008.3
Aaron Rodgers ,5.020,2008.4,4.990,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2008.4
Aaron Rodgers ,5.050,2008.5,5.020,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2008.5
Aaron Rodgers ,5.080,2008.6,5.050,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2008.6
Aaron Rodgers ,5.110,2008.7,5.080,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2008.7
Aaron Rodgers ,5.140,2008.8,5.110,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2008.8
Aaron Rodgers ,5.170,2008.9,5.140,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2008.9
Aaron Rodgers ,5.200,2009,5.170,9,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2009
Aaron Rodgers ,5.220,2009.1,5.200,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2009.1
Aaron Rodgers ,5.240,2009.2,5.220,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2009.2
Aaron Rodgers ,5.260,2009.3,5.240,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2009.3
Aaron Rodgers ,5.280,2009.4,5.260,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2009.4
Aaron Rodgers ,5.300,2009.5,5.280,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2009.5
Aaron Rodgers ,5.320,2009.6,5.300,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2009.6
Aaron Rodgers ,5.340,2009.7,5.320,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2009.7
Aaron Rodgers ,5.360,2009.8,5.340,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2009.8
Aaron Rodgers ,5.380,2009.9,5.360,0,https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2020.jpg,2009.9
