name,value,year,lastValue,rank,image,largeDate
Jaromir Jagr,0.000, 1918,0.000,17,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1918.1,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1918.2,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1918.3,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1918.4,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1918.5,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1918.6,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1918.7,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1918.8,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1918.9,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1919,0.000,24,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1919.1,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1919.2,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1919.3,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1919.4,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1919.5,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1919.6,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1919.7,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1919.8,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,0.000, 1919.9,0.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg,
Jaromir Jagr,78.000, 2001,0.000,20,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2001
Jaromir Jagr,78.300, 2001.1,78.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2001.1
Jaromir Jagr,78.600, 2001.2,78.300,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2001.2
Jaromir Jagr,78.900, 2001.3,78.600,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2001.3
Jaromir Jagr,79.200, 2001.4,78.900,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2001.4
Jaromir Jagr,79.500, 2001.5,79.200,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2001.5
Jaromir Jagr,79.800, 2001.6,79.500,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2001.6
Jaromir Jagr,80.100, 2001.7,79.800,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2001.7
Jaromir Jagr,80.400, 2001.8,80.100,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2001.8
Jaromir Jagr,80.700, 2001.9,80.400,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2001.9
Jaromir Jagr,81.000, 2002,80.700,19,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2002
Jaromir Jagr,81.900, 2002.1,81.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2002.1
Jaromir Jagr,82.800, 2002.2,81.900,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2002.2
Jaromir Jagr,83.700, 2002.3,82.800,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2002.3
Jaromir Jagr,84.600, 2002.4,83.700,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2002.4
Jaromir Jagr,85.500, 2002.5,84.600,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2002.5
Jaromir Jagr,86.400, 2002.6,85.500,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2002.6
Jaromir Jagr,87.300, 2002.7,86.400,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2002.7
Jaromir Jagr,88.200, 2002.8,87.300,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2002.8
Jaromir Jagr,89.100, 2002.9,88.200,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2002.9
Jaromir Jagr,90.000, 2003,89.100,9,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2003
Jaromir Jagr,90.300, 2003.1,90.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2003.1
Jaromir Jagr,90.600, 2003.2,90.300,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2003.2
Jaromir Jagr,90.900, 2003.3,90.600,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2003.3
Jaromir Jagr,91.200, 2003.4,90.900,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2003.4
Jaromir Jagr,91.500, 2003.5,91.200,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/jagrja01.jpg, 2003.5
