name,value,year,lastValue,rank,image,largeDate
Gordie Howe,649.000, 1956.1,642.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1956.1
Gordie Howe,656.000, 1956.2,649.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1956.2
Gordie Howe,663.000, 1956.3,656.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1956.3
Gordie Howe,670.000, 1956.4,663.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1956.4
Gordie Howe,677.000, 1956.5,670.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1956.5
Gordie Howe,684.000, 1956.6,677.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1956.6
Gordie Howe,691.000, 1956.7,684.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1956.7
Gordie Howe,698.000, 1956.8,691.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1956.8
Gordie Howe,705.000, 1956.9,698.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1956.9
Gordie Howe,712.000, 1957,705.000,13,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1957
Gordie Howe,718.400, 1957.1,712.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1957.1
Gordie Howe,724.800, 1957.2,718.400,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1957.2
Gordie Howe,731.200, 1957.3,724.800,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1957.3
Gordie Howe,737.600, 1957.4,731.200,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1957.4
Gordie Howe,744.000, 1957.5,737.600,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1957.5
Gordie Howe,750.400, 1957.6,744.000,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/howego01.jpg, 1957.6
