name,value,year,lastValue,rank,image,largeDate
Wayne Gretzky,429, 1985,356,18,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1985
Wayne Gretzky,434.2, 1985.1,429,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1985.1
Wayne Gretzky,439.4, 1985.2,434.2,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1985.2
Wayne Gretzky,444.6, 1985.3,439.4,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1985.3
Wayne Gretzky,449.8, 1985.4,444.6,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1985.4
Wayne Gretzky,455, 1985.5,449.8,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1985.5
Wayne Gretzky,460.2, 1985.6,455,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1985.6
Wayne Gretzky,465.4, 1985.7,460.2,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1985.7
Wayne Gretzky,470.6, 1985.8,465.4,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1985.8
Wayne Gretzky,475.8, 1985.9,470.6,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1985.9
Wayne Gretzky,481, 1986,475.8,16,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1986
Wayne Gretzky,487.2, 1986.1,481,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1986.1
Wayne Gretzky,493.4, 1986.2,487.2,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1986.2
Wayne Gretzky,499.6, 1986.3,493.4,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1986.3
Wayne Gretzky,505.8, 1986.4,499.6,0,https://d9kjk42l7bfqz.cloudfront.net/req/202006011/images/headshots/gretzwa01.jpg, 1986.4
