name,value,year,lastValue,rank,image,largeDate
Tiger Williams,1473.000,1979,1175.000,10,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1979
Tiger Williams,1500.800,1979.1,1473.000,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1979.1
Tiger Williams,1528.600,1979.2,1500.800,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1979.2
Tiger Williams,1556.400,1979.3,1528.600,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1979.3
Tiger Williams,1584.200,1979.4,1556.400,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1979.4
Tiger Williams,1612.000,1979.5,1584.200,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1979.5
Tiger Williams,1639.800,1979.6,1612.000,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1979.6
Tiger Williams,1667.600,1979.7,1639.800,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1979.7
Tiger Williams,1695.400,1979.8,1667.600,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1979.8
Tiger Williams,1723.200,1979.9,1695.400,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1979.9
Tiger Williams,1751.000,1980,1723.200,4,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1980
Tiger Williams,1785.300,1980.1,1751.000,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1980.1
Tiger Williams,1819.600,1980.2,1785.300,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1980.2
Tiger Williams,1853.900,1980.3,1819.600,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1980.3
Tiger Williams,1888.200,1980.4,1853.900,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1980.4
Tiger Williams,1922.500,1980.5,1888.200,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1980.5
Tiger Williams,1956.800,1980.6,1922.500,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1980.6
Tiger Williams,1991.100,1980.7,1956.800,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1980.7
Tiger Williams,2025.400,1980.8,1991.100,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1980.8
Tiger Williams,2059.700,1980.9,2025.400,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1980.9
Tiger Williams,2094.000,1981,2059.700,3,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1981
Tiger Williams,2128.100,1981.1,2094.000,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1981.1
Tiger Williams,2162.200,1981.2,2128.100,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1981.2
Tiger Williams,2196.300,1981.3,2162.200,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1981.3
Tiger Williams,2230.400,1981.4,2196.300,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1981.4
Tiger Williams,2264.500,1981.5,2230.400,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1981.5
Tiger Williams,2298.600,1981.6,2264.500,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1981.6
Tiger Williams,2332.700,1981.7,2298.600,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1981.7
Tiger Williams,2366.800,1981.8,2332.700,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1981.8
Tiger Williams,2400.900,1981.9,2366.800,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1981.9
Tiger Williams,2435.000,1982,2400.900,1,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1982
Tiger Williams,2461.500,1982.1,2435.000,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1982.1
Tiger Williams,2488.000,1982.2,2461.500,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1982.2
Tiger Williams,2514.500,1982.3,2488.000,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1982.3
Tiger Williams,2541.000,1982.4,2514.500,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1982.4
Tiger Williams,2567.500,1982.5,2541.000,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1982.5
Tiger Williams,2594.000,1982.6,2567.500,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1982.6
Tiger Williams,2620.500,1982.7,2594.000,0,https://d2p3bygnnzw9w3.cloudfront.net/req/999999999/images/klecko/placeholder.jpg,1982.7
