name,value,year,lastValue,rank,image,largeDate
Wayne Gretzky,1.890,1981,0.000,1,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1981
Wayne Gretzky,1.916,1981.1,1.890,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1981.1
Wayne Gretzky,1.942,1981.2,1.916,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1981.2
Wayne Gretzky,1.968,1981.3,1.942,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1981.3
Wayne Gretzky,1.994,1981.4,1.968,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1981.4
Wayne Gretzky,2.020,1981.5,1.994,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1981.5
Wayne Gretzky,2.046,1981.6,2.020,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1981.6
Wayne Gretzky,2.072,1981.7,2.046,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1981.7
Wayne Gretzky,2.098,1981.8,2.072,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1981.8
Wayne Gretzky,2.124,1981.9,2.098,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1981.9
Wayne Gretzky,2.150,1982,2.124,1,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1982
Wayne Gretzky,2.157,1982.1,2.150,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1982.1
Wayne Gretzky,2.164,1982.2,2.157,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1982.2
Wayne Gretzky,2.171,1982.3,2.164,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1982.3
Wayne Gretzky,2.178,1982.4,2.171,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1982.4
Wayne Gretzky,2.185,1982.5,2.178,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1982.5
Wayne Gretzky,2.192,1982.6,2.185,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1982.6
Wayne Gretzky,2.199,1982.7,2.192,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1982.7
Wayne Gretzky,2.206,1982.8,2.199,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1982.8
Wayne Gretzky,2.213,1982.9,2.206,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1982.9
Wayne Gretzky,2.220,1983,2.213,1,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1983
Wayne Gretzky,2.231,1983.1,2.220,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1983.1
Wayne Gretzky,2.242,1983.2,2.231,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1983.2
Wayne Gretzky,2.253,1983.3,2.242,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1983.3
Wayne Gretzky,2.264,1983.4,2.253,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1983.4
Wayne Gretzky,2.275,1983.5,2.264,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1983.5
Wayne Gretzky,2.286,1983.6,2.275,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1983.6
Wayne Gretzky,2.297,1983.7,2.286,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1983.7
Wayne Gretzky,2.308,1983.8,2.297,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1983.8
Wayne Gretzky,2.319,1983.9,2.308,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1983.9
Wayne Gretzky,2.330,1984,2.319,1,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1984
Wayne Gretzky,2.334,1984.1,2.330,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1984.1
Wayne Gretzky,2.338,1984.2,2.334,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1984.2
Wayne Gretzky,2.342,1984.3,2.338,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1984.3
Wayne Gretzky,2.346,1984.4,2.342,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1984.4
Wayne Gretzky,2.350,1984.5,2.346,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1984.5
Wayne Gretzky,2.354,1984.6,2.350,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1984.6
Wayne Gretzky,2.358,1984.7,2.354,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1984.7
Wayne Gretzky,2.362,1984.8,2.358,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1984.8
Wayne Gretzky,2.366,1984.9,2.362,0,https://www.hockey-reference.com/req/202008181/images/headshots/gretzwa01.jpg,1984.9
